classname,method,docstring,annotations,method_definition
org.asynchttpclient.PostRedirectGetTest,filter(FilterContext<T> ctx),,,"@Override
      public <T> FilterContext<T> filter(FilterContext<T> ctx) {
        // pass on the x-expect-get and remove the x-redirect
        // headers if found in the response
        ctx.getResponseHeaders().get(""x-expect-post"");
        ctx.getRequest().getHeaders().add(""x-expect-post"", ""true"");
        ctx.getRequest().getHeaders().remove(""x-redirect"");
        return ctx;
      }"
org.asynchttpclient.PostRedirectGetTest,onCompleted(Response response),,,"@Override
        public Integer onCompleted(Response response) {
          return response.getStatusCode();
        }"
org.asynchttpclient.PostRedirectGetTest,void onThrowable(Throwable t),,,"@Override
        public void onThrowable(Throwable t) {
          t.printStackTrace();
          fail(""Unexpected exception: "" + t.getMessage(), t);
        }"
org.asynchttpclient.PostRedirectGetTest,void doTestPositive(final int status),,,"private void doTestPositive(final int status) throws Exception {

    ResponseFilter responseFilter = new ResponseFilter() {
      @Override
      public <T> FilterContext<T> filter(FilterContext<T> ctx) {
        // pass on the x-expect-get and remove the x-redirect
        // headers if found in the response
        ctx.getResponseHeaders().get(""x-expect-get"");
        ctx.getRequest().getHeaders().add(""x-expect-get"", ""true"");
        ctx.getRequest().getHeaders().remove(""x-redirect"");
        return ctx;
      }
    };

    try (AsyncHttpClient p = asyncHttpClient(config().setFollowRedirect(true).addResponseFilter(responseFilter))) {
      Request request = post(getTargetUrl()).addFormParam(""q"", ""a b"").addHeader(""x-redirect"", +status + ""@"" + ""http://localhost:"" + port1 + ""/foo/bar/baz"").build();
      Future<Integer> responseFuture = p.executeRequest(request, new AsyncCompletionHandler<Integer>() {

        @Override
        public Integer onCompleted(Response response) {
          return response.getStatusCode();
        }

        @Override
        public void onThrowable(Throwable t) {
          t.printStackTrace();
          fail(""Unexpected exception: "" + t.getMessage(), t);
        }

      });
      int statusCode = responseFuture.get();
      assertEquals(statusCode, 200);
    }
  }"
org.asynchttpclient.PostRedirectGetTest,filter(FilterContext<T> ctx),,,"@Override
      public <T> FilterContext<T> filter(FilterContext<T> ctx) {
        // pass on the x-expect-get and remove the x-redirect
        // headers if found in the response
        ctx.getResponseHeaders().get(""x-expect-get"");
        ctx.getRequest().getHeaders().add(""x-expect-get"", ""true"");
        ctx.getRequest().getHeaders().remove(""x-redirect"");
        return ctx;
      }"
org.asynchttpclient.PostRedirectGetTest,onCompleted(Response response),,,"@Override
        public Integer onCompleted(Response response) {
          return response.getStatusCode();
        }"
org.asynchttpclient.PostRedirectGetTest,void onThrowable(Throwable t),,,"@Override
        public void onThrowable(Throwable t) {
          t.printStackTrace();
          fail(""Unexpected exception: "" + t.getMessage(), t);
        }"
org.asynchttpclient.PostRedirectGetTest.PostRedirectGetHandler,"void handle(String pathInContext, org.eclipse.jetty.server.Request request, HttpServletRequest httpRequest, HttpServletResponse httpResponse)",,,"@Override
    public void handle(String pathInContext, org.eclipse.jetty.server.Request request, HttpServletRequest httpRequest, HttpServletResponse httpResponse) throws IOException, ServletException {

      final boolean expectGet = (httpRequest.getHeader(""x-expect-get"") != null);
      final boolean expectPost = (httpRequest.getHeader(""x-expect-post"") != null);
      if (expectGet) {
        final String method = request.getMethod();
        if (!""GET"".equals(method)) {
          httpResponse.sendError(500, ""Incorrect method.  Expected GET, received "" + method);
          return;
        }
        httpResponse.setStatus(200);
        httpResponse.getOutputStream().write(""OK"".getBytes());
        httpResponse.getOutputStream().flush();
        return;
      } else if (expectPost) {
        final String method = request.getMethod();
        if (!""POST"".equals(method)) {
          httpResponse.sendError(500, ""Incorrect method.  Expected POST, received "" + method);
          return;
        }
        httpResponse.setStatus(200);
        httpResponse.getOutputStream().write(""OK"".getBytes());
        httpResponse.getOutputStream().flush();
        return;
      }

      String header = httpRequest.getHeader(""x-redirect"");
      if (header != null) {
        // format for header is <status code>|<location url>
        String[] parts = header.split(""@"");
        int redirectCode;
        try {
          redirectCode = Integer.parseInt(parts[0]);
        } catch (Exception ex) {
          ex.printStackTrace();
          httpResponse.sendError(500, ""Unable to parse redirect code"");
          return;
        }
        httpResponse.setStatus(redirectCode);
        if (httpRequest.getHeader(""x-negative"") == null) {
          httpResponse.addHeader(""x-expect-get"", ""true"");
        } else {
          httpResponse.addHeader(""x-expect-post"", ""true"");
        }
        httpResponse.setContentLength(0);
        httpResponse.addHeader(""Location"", parts[1] + counter.getAndIncrement());
        httpResponse.getOutputStream().flush();
        return;
      }

      httpResponse.sendError(500);
      httpResponse.getOutputStream().flush();
      httpResponse.getOutputStream().close();
    }"
org.asynchttpclient.DefaultAsyncHttpClientTest,void testWithSharedNettyTimerShouldScheduleCookieEvictionOnlyOnce(),,,"@Test
  public void testWithSharedNettyTimerShouldScheduleCookieEvictionOnlyOnce() throws IOException {
    Timer nettyTimerMock = mock(Timer.class);
    CookieStore cookieStore = new ThreadSafeCookieStore();
    AsyncHttpClientConfig config = config().setNettyTimer(nettyTimerMock).setCookieStore(cookieStore).build();

    try (AsyncHttpClient client1 = asyncHttpClient(config)) {
      try (AsyncHttpClient client2 = asyncHttpClient(config)) {
        assertEquals(cookieStore.count(), 2);
        verify(nettyTimerMock, times(1)).newTimeout(any(CookieEvictionTask.class), anyLong(), any(TimeUnit.class));
      }
    }
  }"
org.asynchttpclient.DefaultAsyncHttpClientTest,void testWitDefaultConfigShouldScheduleCookieEvictionForEachAHC(),,,"@Test
  public void testWitDefaultConfigShouldScheduleCookieEvictionForEachAHC() throws IOException {
    AsyncHttpClientConfig config1 = config().build();
    try (AsyncHttpClient client1 = asyncHttpClient(config1)) {
      AsyncHttpClientConfig config2 = config().build();
      try (AsyncHttpClient client2 = asyncHttpClient(config2)) {
        assertEquals(config1.getCookieStore().count(), 1);
        assertEquals(config2.getCookieStore().count(), 1);
      }
    }
  }"
org.asynchttpclient.DefaultAsyncHttpClientTest,void testWithSharedCookieStoreButNonSharedTimerShouldScheduleCookieEvictionForFirstAHC(),,,"@Test
  public void testWithSharedCookieStoreButNonSharedTimerShouldScheduleCookieEvictionForFirstAHC() throws IOException {
    CookieStore cookieStore = new ThreadSafeCookieStore();
    Timer nettyTimerMock1 = mock(Timer.class);
    AsyncHttpClientConfig config1 = config()
      .setCookieStore(cookieStore).setNettyTimer(nettyTimerMock1).build();

    try (AsyncHttpClient client1 = asyncHttpClient(config1)) {
      Timer nettyTimerMock2 = mock(Timer.class);
      AsyncHttpClientConfig config2 = config()
        .setCookieStore(cookieStore).setNettyTimer(nettyTimerMock2).build();
      try (AsyncHttpClient client2 = asyncHttpClient(config2)) {
        assertEquals(config1.getCookieStore().count(), 2);
        verify(nettyTimerMock1, times(1)).newTimeout(any(CookieEvictionTask.class), anyLong(), any(TimeUnit.class));
        verify(nettyTimerMock2, never()).newTimeout(any(CookieEvictionTask.class), anyLong(), any(TimeUnit.class));
      }
    }

    Timer nettyTimerMock3 = mock(Timer.class);
    AsyncHttpClientConfig config3 = config()
      .setCookieStore(cookieStore).setNettyTimer(nettyTimerMock3).build();

    try (AsyncHttpClient client2 = asyncHttpClient(config3)) {
      assertEquals(config1.getCookieStore().count(), 1);
      verify(nettyTimerMock3, times(1)).newTimeout(any(CookieEvictionTask.class), anyLong(), any(TimeUnit.class));
    }
  }"
org.asynchttpclient.DefaultAsyncHttpClientTest,void testWithSharedCookieStoreButNonSharedTimerShouldReScheduleCookieEvictionWhenFirstInstanceGetClosed(),,,"@Test
  public void testWithSharedCookieStoreButNonSharedTimerShouldReScheduleCookieEvictionWhenFirstInstanceGetClosed() throws IOException {
    CookieStore cookieStore = new ThreadSafeCookieStore();
    Timer nettyTimerMock1 = mock(Timer.class);
    AsyncHttpClientConfig config1 = config()
      .setCookieStore(cookieStore).setNettyTimer(nettyTimerMock1).build();

    try (AsyncHttpClient client1 = asyncHttpClient(config1)) {
      assertEquals(config1.getCookieStore().count(), 1);
      verify(nettyTimerMock1, times(1)).newTimeout(any(CookieEvictionTask.class), anyLong(), any(TimeUnit.class));
    }

    assertEquals(config1.getCookieStore().count(), 0);

    Timer nettyTimerMock2 = mock(Timer.class);
    AsyncHttpClientConfig config2 = config()
      .setCookieStore(cookieStore).setNettyTimer(nettyTimerMock2).build();

    try (AsyncHttpClient client2 = asyncHttpClient(config2)) {
      assertEquals(config1.getCookieStore().count(), 1);
      verify(nettyTimerMock2, times(1)).newTimeout(any(CookieEvictionTask.class), anyLong(), any(TimeUnit.class));
    }
  }"
