focal_method,test_prefix,docstring
"    public final boolean isClosed() {
        return closed;
    }","  public void test7()  throws Throwable  {
      PooledObjectFactory<Integer> pooledObjectFactory0 = (PooledObjectFactory<Integer>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      SoftReferenceObjectPool<Integer> softReferenceObjectPool0 = new SoftReferenceObjectPool<Integer>(pooledObjectFactory0);
      softReferenceObjectPool0.close();
      boolean boolean0 = softReferenceObjectPool0.isClosed();
      assertTrue(boolean0);
}","/**
     * Has this pool instance been closed.
     *
     * @return {@code true} when this pool has been closed.
     */"
"    public int getNumIdle() {
        return -1;
    }","  public void test8()  throws Throwable  {
      PooledObjectFactory<Object> pooledObjectFactory0 = (PooledObjectFactory<Object>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      SoftReferenceObjectPool<Object> softReferenceObjectPool0 = new SoftReferenceObjectPool<Object>(pooledObjectFactory0);
      int int0 = softReferenceObjectPool0.getNumIdle();
      assertEquals(0, int0);
}","/**
     * Not supported in this base implementation.
     *
     * @return a negative value.
     */"
"    public int getNumActive() {
        return -1;
    }","  public void test9()  throws Throwable  {
      PooledObjectFactory<Integer> pooledObjectFactory0 = (PooledObjectFactory<Integer>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      SoftReferenceObjectPool<Integer> softReferenceObjectPool0 = new SoftReferenceObjectPool<Integer>(pooledObjectFactory0);
      int int0 = softReferenceObjectPool0.getNumActive();
      assertEquals(0, int0);
}","/**
     * Not supported in this base implementation.
     *
     * @return a negative value.
     */"
"    public int getNumActive() {
        return -1;
    }","  public void test10()  throws Throwable  {
      PooledObject<String> pooledObject0 = (PooledObject<String>) mock(PooledObject.class, new ViolatedAssumptionAnswer());
      doReturn(""SYM<C*>"").when(pooledObject0).getObject();
      PooledObjectFactory<String> pooledObjectFactory0 = (PooledObjectFactory<String>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      doReturn(pooledObject0).when(pooledObjectFactory0).makeObject();
      doReturn(true).when(pooledObjectFactory0).validateObject(nullable(org.apache.commons.pool2.PooledObject.class));
      SoftReferenceObjectPool<String> softReferenceObjectPool0 = new SoftReferenceObjectPool<String>(pooledObjectFactory0);
      softReferenceObjectPool0.borrowObject();
      int int0 = softReferenceObjectPool0.getNumActive();
      assertEquals(1, int0);
}","/**
     * Not supported in this base implementation.
     *
     * @return a negative value.
     */"
,"  public void test11()  throws Throwable  {
      PooledObjectFactory<String> pooledObjectFactory0 = (PooledObjectFactory<String>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      SoftReferenceObjectPool<String> softReferenceObjectPool0 = new SoftReferenceObjectPool<String>(pooledObjectFactory0);
      // Undeclared exception!
      try { 
        ((BaseObjectPool)softReferenceObjectPool0).toStringAppendFields((StringBuilder) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.pool2.BaseObjectPool"", e);
      }
  }",
"    public abstract void returnObject(T obj) throws Exception;

    @Override
    protected void toStringAppendFields(final StringBuilder builder) {
        builder.append(""closed="");
        builder.append(closed);
    }","  public void test12()  throws Throwable  {
      PooledObjectFactory<Integer> pooledObjectFactory0 = (PooledObjectFactory<Integer>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      SoftReferenceObjectPool<Integer> softReferenceObjectPool0 = new SoftReferenceObjectPool<Integer>(pooledObjectFactory0);
      Integer integer0 = new Integer((-3038));
      try { 
        softReferenceObjectPool0.returnObject(integer0);
        fail(""Expecting exception: IllegalStateException"");
      } catch(IllegalStateException e) {
         //
         // Returned object not currently part of this pool
         //
         verifyException(""org.apache.commons.pool2.impl.SoftReferenceObjectPool"", e);
      }
  }",
"    public abstract void invalidateObject(T obj) throws Exception;

    /**
     * Has this pool instance been closed.
     *
     * @return {@code true}","  public void test13()  throws Throwable  {
      PooledObjectFactory<String> pooledObjectFactory0 = (PooledObjectFactory<String>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      SoftReferenceObjectPool<String> softReferenceObjectPool0 = new SoftReferenceObjectPool<String>(pooledObjectFactory0);
      try { 
        softReferenceObjectPool0.invalidateObject(""aoBLG*"");
        fail(""Expecting exception: IllegalStateException"");
      } catch(IllegalStateException e) {
         //
         // Object to invalidate is not currently part of this pool
         //
         verifyException(""org.apache.commons.pool2.impl.SoftReferenceObjectPool"", e);
      }
  }",
"    public abstract T borrowObject() throws Exception;

    /**
     * Not supported in this base implementation.
     *
     * @throws UnsupportedOperationException if the pool does not implement this
     *          method
     */
    @Override
    public void clear() throws Exception, UnsupportedOperationException {
        throw new UnsupportedOperationException();
    }","  public void test14()  throws Throwable  {
      PooledObjectFactory<String> pooledObjectFactory0 = (PooledObjectFactory<String>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      SoftReferenceObjectPool<String> softReferenceObjectPool0 = new SoftReferenceObjectPool<String>(pooledObjectFactory0);
      PooledObject<Integer> pooledObject0 = (PooledObject<Integer>) mock(PooledObject.class, new ViolatedAssumptionAnswer());
      PooledObjectFactory<Integer> pooledObjectFactory1 = (PooledObjectFactory<Integer>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      doReturn((PooledObject) null).when(pooledObjectFactory1).makeObject();
      SoftReferenceObjectPool<Integer> softReferenceObjectPool1 = new SoftReferenceObjectPool<Integer>(pooledObjectFactory1);
      try { 
        softReferenceObjectPool1.borrowObject();
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.pool2.impl.SoftReferenceObjectPool"", e);
      }
  }",
"    public abstract T borrowObject() throws Exception;

    /**
     * Not supported in this base implementation.
     *
     * @throws UnsupportedOperationException if the pool does not implement this
     *          method
     */
    @Override
    public void clear() throws Exception, UnsupportedOperationException {
        throw new UnsupportedOperationException();
    }","  public void test15()  throws Throwable  {
      SoftReferenceObjectPool<String> softReferenceObjectPool0 = new SoftReferenceObjectPool<String>((PooledObjectFactory<String>) null);
      try { 
        softReferenceObjectPool0.borrowObject();
        fail(""Expecting exception: NoSuchElementException"");
      } catch(NoSuchElementException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.pool2.impl.SoftReferenceObjectPool"", e);
      }
  }",
"    public void addObject() throws Exception, UnsupportedOperationException {
        throw new UnsupportedOperationException();
    }","  public void test17()  throws Throwable  {
      PooledObjectFactory<Object> pooledObjectFactory0 = (PooledObjectFactory<Object>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      doReturn((PooledObject) null).when(pooledObjectFactory0).makeObject();
      SoftReferenceObjectPool<Object> softReferenceObjectPool0 = new SoftReferenceObjectPool<Object>(pooledObjectFactory0);
      try { 
        softReferenceObjectPool0.addObject();
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.pool2.impl.SoftReferenceObjectPool"", e);
      }
  }","/**
     * Not supported in this base implementation. Subclasses should override
     * this behavior.
     *
     * @throws UnsupportedOperationException if the pool does not implement this
     *          method
     */"
"    public void addObject() throws Exception, UnsupportedOperationException {
        throw new UnsupportedOperationException();
    }","  public void test18()  throws Throwable  {
      PooledObjectFactory<Object> pooledObjectFactory0 = (PooledObjectFactory<Object>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      SoftReferenceObjectPool<Object> softReferenceObjectPool0 = new SoftReferenceObjectPool<Object>(pooledObjectFactory0);
      softReferenceObjectPool0.close();
      try { 
        softReferenceObjectPool0.addObject();
        fail(""Expecting exception: IllegalStateException"");
      } catch(IllegalStateException e) {
         //
         // Pool not open
         //
         verifyException(""org.apache.commons.pool2.BaseObjectPool"", e);
      }
  }","/**
     * Not supported in this base implementation. Subclasses should override
     * this behavior.
     *
     * @throws UnsupportedOperationException if the pool does not implement this
     *          method
     */"
"    public final boolean isClosed() {
        return closed;
    }","  public void test19()  throws Throwable  {
      PooledObjectFactory<Integer> pooledObjectFactory0 = (PooledObjectFactory<Integer>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      SoftReferenceObjectPool<Integer> softReferenceObjectPool0 = new SoftReferenceObjectPool<Integer>(pooledObjectFactory0);
      boolean boolean0 = softReferenceObjectPool0.isClosed();
      assertFalse(boolean0);
}","/**
     * Has this pool instance been closed.
     *
     * @return {@code true} when this pool has been closed.
     */"
"    public abstract T borrowObject() throws Exception;

    /**
     * Not supported in this base implementation.
     *
     * @throws UnsupportedOperationException if the pool does not implement this
     *          method
     */
    @Override
    public void clear() throws Exception, UnsupportedOperationException {
        throw new UnsupportedOperationException();
    }","  public void test20()  throws Throwable  {
      PooledObjectFactory<String> pooledObjectFactory0 = (PooledObjectFactory<String>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      SoftReferenceObjectPool<String> softReferenceObjectPool0 = new SoftReferenceObjectPool<String>(pooledObjectFactory0);
      softReferenceObjectPool0.close();
      try { 
        softReferenceObjectPool0.borrowObject();
        fail(""Expecting exception: IllegalStateException"");
      } catch(IllegalStateException e) {
         //
         // Pool not open
         //
         verifyException(""org.apache.commons.pool2.BaseObjectPool"", e);
      }
  }",
,"  public void test0()  throws Throwable  {
      ThreadDeath threadDeath0 = new ThreadDeath();
      assertEquals(""java.lang.ThreadDeath"", threadDeath0.toString());
}",
,"  public void test1()  throws Throwable  {
      ThreadDeath threadDeath0 = new ThreadDeath();
      assertNull(threadDeath0.getMessage());
}",
,"  public void test2()  throws Throwable  {
      ThreadDeath threadDeath0 = new ThreadDeath();
      assertNotNull(threadDeath0);
}",
,"  public void test3()  throws Throwable  {
      ThreadDeath threadDeath0 = new ThreadDeath();
      DefaultPooledObject<ThreadDeath> defaultPooledObject0 = new DefaultPooledObject<ThreadDeath>(threadDeath0);
      assertEquals(""java.lang.ThreadDeath"", threadDeath0.toString());
}",
,"  public void test4()  throws Throwable  {
      ThreadDeath threadDeath0 = new ThreadDeath();
      DefaultPooledObject<ThreadDeath> defaultPooledObject0 = new DefaultPooledObject<ThreadDeath>(threadDeath0);
      assertNull(threadDeath0.getMessage());
}",
,"  public void test5()  throws Throwable  {
      ThreadDeath threadDeath0 = new ThreadDeath();
      DefaultPooledObject<ThreadDeath> defaultPooledObject0 = new DefaultPooledObject<ThreadDeath>(threadDeath0);
      assertEquals(PooledObjectState.IDLE, defaultPooledObject0.getState());
}",
,"  public void test6()  throws Throwable  {
      ThreadDeath threadDeath0 = new ThreadDeath();
      DefaultPooledObject<ThreadDeath> defaultPooledObject0 = new DefaultPooledObject<ThreadDeath>(threadDeath0);
      assertEquals(0L, defaultPooledObject0.getBorrowedCount());
}",
,"  public void test7()  throws Throwable  {
      ThreadDeath threadDeath0 = new ThreadDeath();
      DefaultPooledObject<ThreadDeath> defaultPooledObject0 = new DefaultPooledObject<ThreadDeath>(threadDeath0);
      assertNotNull(defaultPooledObject0);
}",
"    public static <K, V> KeyedPooledObjectFactory<K, V> synchronizedKeyedPooledFactory(
            final KeyedPooledObjectFactory<K, V> keyedFactory) {
        return new SynchronizedKeyedPooledObjectFactory<>(keyedFactory);
    }","  public void test8()  throws Throwable  {
      ThreadDeath threadDeath0 = new ThreadDeath();
      DefaultPooledObject<ThreadDeath> defaultPooledObject0 = new DefaultPooledObject<ThreadDeath>(threadDeath0);
      KeyedPooledObjectFactory<String, ThreadDeath> keyedPooledObjectFactory0 = (KeyedPooledObjectFactory<String, ThreadDeath>) mock(KeyedPooledObjectFactory.class, new ViolatedAssumptionAnswer());
      doReturn(""'"", ""'"", "", lifo="", "", pool="").when(keyedPooledObjectFactory0).toString();
      doReturn(defaultPooledObject0, (PooledObject) null).when(keyedPooledObjectFactory0).makeObject(anyString());
      KeyedPooledObjectFactory<String, ThreadDeath> keyedPooledObjectFactory1 = PoolUtils.synchronizedKeyedPooledFactory(keyedPooledObjectFactory0);
      assertFalse(keyedPooledObjectFactory1.equals((Object)keyedPooledObjectFactory0));
}","/**
     * Returns a synchronized (thread-safe) KeyedPooledObjectFactory backed by
     * the specified KeyedPoolableObjectFactory.
     *
     * @param keyedFactory
     *            the KeyedPooledObjectFactory to be ""wrapped"" in a
     *            synchronized KeyedPooledObjectFactory.
     * @param <K> the type of the pool key
     * @param <V> the type of pool entries
     * @return a synchronized view of the specified KeyedPooledObjectFactory.
     */"
"    public static <K, V> KeyedPooledObjectFactory<K, V> synchronizedKeyedPooledFactory(
            final KeyedPooledObjectFactory<K, V> keyedFactory) {
        return new SynchronizedKeyedPooledObjectFactory<>(keyedFactory);
    }","  public void test9()  throws Throwable  {
      ThreadDeath threadDeath0 = new ThreadDeath();
      DefaultPooledObject<ThreadDeath> defaultPooledObject0 = new DefaultPooledObject<ThreadDeath>(threadDeath0);
      KeyedPooledObjectFactory<String, ThreadDeath> keyedPooledObjectFactory0 = (KeyedPooledObjectFactory<String, ThreadDeath>) mock(KeyedPooledObjectFactory.class, new ViolatedAssumptionAnswer());
      doReturn(""'"", ""'"", "", lifo="", "", pool="").when(keyedPooledObjectFactory0).toString();
      doReturn(defaultPooledObject0, (PooledObject) null).when(keyedPooledObjectFactory0).makeObject(anyString());
      KeyedPooledObjectFactory<String, ThreadDeath> keyedPooledObjectFactory1 = PoolUtils.synchronizedKeyedPooledFactory(keyedPooledObjectFactory0);
      assertEquals(""java.lang.ThreadDeath"", threadDeath0.toString());
}","/**
     * Returns a synchronized (thread-safe) KeyedPooledObjectFactory backed by
     * the specified KeyedPoolableObjectFactory.
     *
     * @param keyedFactory
     *            the KeyedPooledObjectFactory to be ""wrapped"" in a
     *            synchronized KeyedPooledObjectFactory.
     * @param <K> the type of the pool key
     * @param <V> the type of pool entries
     * @return a synchronized view of the specified KeyedPooledObjectFactory.
     */"
"    public static <K, V> KeyedPooledObjectFactory<K, V> synchronizedKeyedPooledFactory(
            final KeyedPooledObjectFactory<K, V> keyedFactory) {
        return new SynchronizedKeyedPooledObjectFactory<>(keyedFactory);
    }","  public void test10()  throws Throwable  {
      ThreadDeath threadDeath0 = new ThreadDeath();
      DefaultPooledObject<ThreadDeath> defaultPooledObject0 = new DefaultPooledObject<ThreadDeath>(threadDeath0);
      KeyedPooledObjectFactory<String, ThreadDeath> keyedPooledObjectFactory0 = (KeyedPooledObjectFactory<String, ThreadDeath>) mock(KeyedPooledObjectFactory.class, new ViolatedAssumptionAnswer());
      doReturn(""'"", ""'"", "", lifo="", "", pool="").when(keyedPooledObjectFactory0).toString();
      doReturn(defaultPooledObject0, (PooledObject) null).when(keyedPooledObjectFactory0).makeObject(anyString());
      KeyedPooledObjectFactory<String, ThreadDeath> keyedPooledObjectFactory1 = PoolUtils.synchronizedKeyedPooledFactory(keyedPooledObjectFactory0);
      assertNull(threadDeath0.getMessage());
}","/**
     * Returns a synchronized (thread-safe) KeyedPooledObjectFactory backed by
     * the specified KeyedPoolableObjectFactory.
     *
     * @param keyedFactory
     *            the KeyedPooledObjectFactory to be ""wrapped"" in a
     *            synchronized KeyedPooledObjectFactory.
     * @param <K> the type of the pool key
     * @param <V> the type of pool entries
     * @return a synchronized view of the specified KeyedPooledObjectFactory.
     */"
"    public static <K, V> KeyedPooledObjectFactory<K, V> synchronizedKeyedPooledFactory(
            final KeyedPooledObjectFactory<K, V> keyedFactory) {
        return new SynchronizedKeyedPooledObjectFactory<>(keyedFactory);
    }","  public void test11()  throws Throwable  {
      ThreadDeath threadDeath0 = new ThreadDeath();
      DefaultPooledObject<ThreadDeath> defaultPooledObject0 = new DefaultPooledObject<ThreadDeath>(threadDeath0);
      KeyedPooledObjectFactory<String, ThreadDeath> keyedPooledObjectFactory0 = (KeyedPooledObjectFactory<String, ThreadDeath>) mock(KeyedPooledObjectFactory.class, new ViolatedAssumptionAnswer());
      doReturn(""'"", ""'"", "", lifo="", "", pool="").when(keyedPooledObjectFactory0).toString();
      doReturn(defaultPooledObject0, (PooledObject) null).when(keyedPooledObjectFactory0).makeObject(anyString());
      KeyedPooledObjectFactory<String, ThreadDeath> keyedPooledObjectFactory1 = PoolUtils.synchronizedKeyedPooledFactory(keyedPooledObjectFactory0);
      assertEquals(PooledObjectState.IDLE, defaultPooledObject0.getState());
}","/**
     * Returns a synchronized (thread-safe) KeyedPooledObjectFactory backed by
     * the specified KeyedPoolableObjectFactory.
     *
     * @param keyedFactory
     *            the KeyedPooledObjectFactory to be ""wrapped"" in a
     *            synchronized KeyedPooledObjectFactory.
     * @param <K> the type of the pool key
     * @param <V> the type of pool entries
     * @return a synchronized view of the specified KeyedPooledObjectFactory.
     */"
"    public static <K, V> KeyedPooledObjectFactory<K, V> synchronizedKeyedPooledFactory(
            final KeyedPooledObjectFactory<K, V> keyedFactory) {
        return new SynchronizedKeyedPooledObjectFactory<>(keyedFactory);
    }","  public void test12()  throws Throwable  {
      ThreadDeath threadDeath0 = new ThreadDeath();
      DefaultPooledObject<ThreadDeath> defaultPooledObject0 = new DefaultPooledObject<ThreadDeath>(threadDeath0);
      KeyedPooledObjectFactory<String, ThreadDeath> keyedPooledObjectFactory0 = (KeyedPooledObjectFactory<String, ThreadDeath>) mock(KeyedPooledObjectFactory.class, new ViolatedAssumptionAnswer());
      doReturn(""'"", ""'"", "", lifo="", "", pool="").when(keyedPooledObjectFactory0).toString();
      doReturn(defaultPooledObject0, (PooledObject) null).when(keyedPooledObjectFactory0).makeObject(anyString());
      KeyedPooledObjectFactory<String, ThreadDeath> keyedPooledObjectFactory1 = PoolUtils.synchronizedKeyedPooledFactory(keyedPooledObjectFactory0);
      assertEquals(0L, defaultPooledObject0.getBorrowedCount());
}","/**
     * Returns a synchronized (thread-safe) KeyedPooledObjectFactory backed by
     * the specified KeyedPoolableObjectFactory.
     *
     * @param keyedFactory
     *            the KeyedPooledObjectFactory to be ""wrapped"" in a
     *            synchronized KeyedPooledObjectFactory.
     * @param <K> the type of the pool key
     * @param <V> the type of pool entries
     * @return a synchronized view of the specified KeyedPooledObjectFactory.
     */"
"    public static <K, V> KeyedPooledObjectFactory<K, V> synchronizedKeyedPooledFactory(
            final KeyedPooledObjectFactory<K, V> keyedFactory) {
        return new SynchronizedKeyedPooledObjectFactory<>(keyedFactory);
    }","  public void test13()  throws Throwable  {
      ThreadDeath threadDeath0 = new ThreadDeath();
      DefaultPooledObject<ThreadDeath> defaultPooledObject0 = new DefaultPooledObject<ThreadDeath>(threadDeath0);
      KeyedPooledObjectFactory<String, ThreadDeath> keyedPooledObjectFactory0 = (KeyedPooledObjectFactory<String, ThreadDeath>) mock(KeyedPooledObjectFactory.class, new ViolatedAssumptionAnswer());
      doReturn(""'"", ""'"", "", lifo="", "", pool="").when(keyedPooledObjectFactory0).toString();
      doReturn(defaultPooledObject0, (PooledObject) null).when(keyedPooledObjectFactory0).makeObject(anyString());
      KeyedPooledObjectFactory<String, ThreadDeath> keyedPooledObjectFactory1 = PoolUtils.synchronizedKeyedPooledFactory(keyedPooledObjectFactory0);
      assertNotNull(keyedPooledObjectFactory1);
}","/**
     * Returns a synchronized (thread-safe) KeyedPooledObjectFactory backed by
     * the specified KeyedPoolableObjectFactory.
     *
     * @param keyedFactory
     *            the KeyedPooledObjectFactory to be ""wrapped"" in a
     *            synchronized KeyedPooledObjectFactory.
     * @param <K> the type of the pool key
     * @param <V> the type of pool entries
     * @return a synchronized view of the specified KeyedPooledObjectFactory.
     */"
"    public static <K, V> KeyedPooledObjectFactory<K, V> synchronizedKeyedPooledFactory(
            final KeyedPooledObjectFactory<K, V> keyedFactory) {
        return new SynchronizedKeyedPooledObjectFactory<>(keyedFactory);
    }","  public void test14()  throws Throwable  {
      ThreadDeath threadDeath0 = new ThreadDeath();
      DefaultPooledObject<ThreadDeath> defaultPooledObject0 = new DefaultPooledObject<ThreadDeath>(threadDeath0);
      KeyedPooledObjectFactory<String, ThreadDeath> keyedPooledObjectFactory0 = (KeyedPooledObjectFactory<String, ThreadDeath>) mock(KeyedPooledObjectFactory.class, new ViolatedAssumptionAnswer());
      doReturn(""'"", ""'"", "", lifo="", "", pool="").when(keyedPooledObjectFactory0).toString();
      doReturn(defaultPooledObject0, (PooledObject) null).when(keyedPooledObjectFactory0).makeObject(anyString());
      KeyedPooledObjectFactory<String, ThreadDeath> keyedPooledObjectFactory1 = PoolUtils.synchronizedKeyedPooledFactory(keyedPooledObjectFactory0);
      GenericKeyedObjectPool<String, ThreadDeath> genericKeyedObjectPool0 = new GenericKeyedObjectPool<String, ThreadDeath>(keyedPooledObjectFactory1);
      assertFalse(keyedPooledObjectFactory1.equals((Object)keyedPooledObjectFactory0));
}","/**
     * Returns a synchronized (thread-safe) KeyedPooledObjectFactory backed by
     * the specified KeyedPoolableObjectFactory.
     *
     * @param keyedFactory
     *            the KeyedPooledObjectFactory to be ""wrapped"" in a
     *            synchronized KeyedPooledObjectFactory.
     * @param <K> the type of the pool key
     * @param <V> the type of pool entries
     * @return a synchronized view of the specified KeyedPooledObjectFactory.
     */"
