id,target,output,match_tc_mut_doc
conf_1328_1,"assertEquals(""Wrong number of elements in XML list"", 1, list.size());","assertEquals(0, combinedParams.size());",0
conf_1300_1,"assertTrue(""Listener 1 not found"", listeners.contains(l1));","assertEquals(true, l1.contains(l2));",0
conf_1507_2,"assertEquals(""Wrong type of parent node"", ""fields"", data.getParent().getNodeName());","assertEquals("" tables.table(1).fields.field(-1).name"", engine.getNodeName());",0
conf_809_5,"assertEquals(""Wrong number of dir nodes after remove"", count - 2, config.getMaxIndex(""indexList.index.dir""));","assertEquals(-1, config.getMaxIndex());",0
conf_363_2,"assertEquals(""list size"", 2, list.size());","assertEquals(0, config.size());",0
conf_1074_2,"assertEquals(""Wrong element (1)"", STR_VALUE, it.next());","assertEquals(STR_VALUE, src.next());",0
conf_1395_2,"assertTrue(""No hash code"", params.hashCode()!= 0);",assertNotNull(s);,0
conf_123_5,"assertEquals(expected, conf.getIntegerList(""integer.list4""));","assertEquals(2, expectedList0.size());",0
conf_1239_2,"assertEquals(""Prefix not in map"", prefix, paramsMap.get(""prefix""));","assertEquals(1, paramsMap.size());",0
conf_531_1,"assertEquals(""a,b,c"", conf.getString(""split/list3/@values""));","assertEquals(""null"", conf.getString());",0
conf_1841_2,"assertSame(""Wrong entry for "" + l, l.getLookup(), lookups.get(l.getPrefix()));","assertEquals(false, included.isEmpty());",0
conf_1069_1,"assertEquals(""Wrong escaped object"", value, handler.escape(value, ListDelimiterHandler.NOOP_TRANSFORMER));","assertEquals(""42"", value);",0
conf_103_7,"assertEquals(expected, conf.getCalendar(""date.object""));","assertEquals(""java.util.GregorianCalendar[time=1372785000652,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id=\""Europe/Belfast\"",offset=0,dstSavings=3600000,useDaylight=true,transitions=242,lastRule=java.util.SimpleTimeZone[id=Europe/Belfast,offset=0,dstSavings=3600000,useDaylight=true,startYear=0,startMode=2,startMonth=2,startDay=-1,startDayOfWeek=1,startTime=3600000,startTimeMode=2,endMode=2,endMonth=9,endDay=-1,endDayOfWeek=1,endTime=3600000,endTimeMode=2]],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2013,MONTH=6,WEEK_OF_YEAR=27,WEEK_OF_MONTH=1,DAY_OF_MONTH=2,DAY_OF_YEAR=183,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=1,AM_PM=0,HOUR=0,HOUR_OF_DAY=0,MINUTE=0,SECOND=0,MILLISECOND=0,ZONE_OFFSET=0,DST_OFFSET=3600000]"", defaultValue.toString());",0
conf_392_4,"assertEquals(""test string"", c.getString(""string"", ""some default value""));","assertEquals(""true"", c.getString());",0
conf_1250_2,"assertEquals(""Different properties"", mapCopy, map2);","@Override
    public Map<String, Object> createDefensiveCopies(Map<String, Object> map1) {
        map1.isEmpty()? map2 : map1.isEmpty()? map0 : map0);

        map1.isEmpty()? map1 : map0);

        map2.isEmpty()? map0 : map1);

        map0.isEmpty()? map1 : map0);

        map1.isEmpty()? map0 : map0);

        map0.isEmpty()? map1 : map0);

        return map1.isEmpty()? map0 : map1);",0
conf_1191_1,"assertNotSame(""No new result"", config, config2);","assertEquals(false, config2.isResetServiceEnabled());",0
conf_651_1,"assertEquals(1000000, longValue);","assertEquals(0L, longValue);",0
conf_1253_3,"assertEquals(""Wrong other property"", ""test"", map.get(""other""));","assertEquals(1, props.size());",0
conf_74_2,assertFalse(a);,"assertEquals(false, boolean0);",0
conf_374_3,"assertNotSame(""Configuration was not cloned"", cc.getConfiguration(i), cc2.getConfiguration(i));",assertNotNull(comp);,0
conf_1012_2,"assertThat(s, containsString(""basePath="" + BASE_PATH));",assertNotNull(s);,0
conf_1389_1,"assertEquals(""Wrong file name"", ""test.xml"", fbparams.getFileHandler().getFileName());","assertEquals(""test.xml"", map.getFileName());",0
conf_482_1,"assertNull(key, conf.getProperty(key));",assertNull(key);,0
conf_560_1,"assertEquals(""Wrong root element name"", ELEMENT, rootElement.getNodeName());","assertEquals("""", doc.getNodeName());",0
conf_1706_3,"assertEquals(""empty quotes"", a, parser.removeQuotes(""\""\""""));",assertNotNull(a);,0
conf_402_1,"assertEquals(""Wrong property"", ""conf1"", cc.getString(TEST_PROPERTY));","assertEquals(""conf1"", conf1.getString());",0
conf_1651_2,"assertEquals(""Wrong start node"", ""1"", node.getValue());","publicImmutableNode.Builder().name(""newNode"", node.getValue());",0
conf_43_2,"assertSame(""Wrong lookup at 0"", look, lookups.get(0));","assertEquals(true, lookups.isEmpty());",0
conf_282_3,"assertEquals(""This returns 2(default short)"", twoS, config.getShort(""numberNotInConfig"", twoS));","assertEquals((short)1, short1);",0
conf_1416_1,"assertSame(""Wrong node handler"", handler, setUpModel().getNodeHandler());",assertNull(nodeHandler0);,0
conf_705_1,"assertEquals(""Wrong combined comment"", TEST_COMMENT + CRNORM + TEST_COMMENT, layout.getCanonicalComment(TEST_KEY, false));","public String getCanonicalComment(final String key, final boolean commentChar) {
        return builder.getCanonicalComment());",0
conf_95_7,"assertEquals(expected, conf.getBigDecimalArray(""bigdecimal.list.interpolated""));",assertNotNull(expected);,0
conf_301_1,"assertNotNull(""null list"", list);","assertEquals(1, list.size());",0
conf_804_13,"assertEquals(2, ((Collection<?>) prop).size());","assertEquals(1, config.size());",0
conf_1257_1,"assertSame(""Wrong result"", params, params.setDefaultLookups(looks));","assertEquals(1, looks.size());",0
conf_43_3,"assertTrue(""Wrong lookup at 1"", lookups.get(1) instanceof ConfigurationLookup);","assertEquals(true, lookups.isEmpty());",0
conf_114_6,"assertEquals(expected, conf.getDateList(""date.list4""));","assertEquals(true, format.parse(""yyyy-MM-dd'T'HH:mm:ss"", date1.toLocaleString());",0
conf_1024_1,"assertTrue(""Got ANY listeners"", source.getEventListeners(ConfigurationEvent.ANY).isEmpty());","public Collection<EventListener<? super T>> getEventListeners(final EventType<T> eventType) {
            return Collection.copyOf(eventListeners);",0
conf_147_2,"assertSame(""Added config not found"", c, config.getConfiguration(0));","assertEquals(0, c.getChildCount());",0
conf_1283_2,"assertEquals(""Wrong number of sub controllers"", 1, subControllers.size());","assertEquals(0, rc.size());",0
conf_368_4,"assertEquals(""Number of configurations"", 2, cc.getNumberOfConfigurations());","assertEquals(0, CC.getNumberOfConfigurations());",0
conf_515_1,"assertFalse(""File exists"", a);","assertEquals(false, a);",0
conf_1404_1,"assertEquals(a, value);","assertEquals(""org.jcvi.jillion.internal.trace.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.chromat.abi.tag.",0
conf_1620_1,"assertEquals(""Wrong selector","assertEquals(true, childSelector.isMuddy());",0
conf_1558_1,"assertEquals(""Plain key not detected"", a, key.attributeName(""test""));","assertEquals(""test"", a);",0
conf_1268_1,"assertNull(""Found an at attribute"", decl.getAt());","assertEquals(""xml"", config.getAt());",0
conf_1102_1,"assertEquals(""Wrong conversion result"", new File(""dir"", ""file""), PropertyConverter.toFile(p));","public boolean toFile() throws ConversionException {
            if (value instanceof File) {
                return (File) toFile());
            else if (value instanceof File) {
                return false;
            }assertEquals(false, p.toFile());",0
conf_109_6,"assertEquals(expected, conf.getColorList(""color.list6""));",assertNotNull(getColorList());,0
conf_737_1,"assertEquals(map, conf.getMap());",assertNotNull(conf);,0
conf_1043_3,"assertTrue(""Registration 2 not found"", registrations.contains(reg2));","assertEquals(true, reg1.contains());",0
conf_83_1,"assertEquals(a, yamlConfiguration.getProperty(""key4.key5""));",assertNull(a);,0
conf_143_2,"assertTrue(""Prop 2 not found"", config.getBoolean(""prefix1."" + TEST_KEY));","assertEquals(true, config.getBoolean());",0
conf_1264_1,"assertSame(""Wrong result"", params, params.setPrefixLookups(lookups));","assertEquals(1, lookups.size());",0
conf_1781_3,"assertEquals(""Incorrect value"", ((Integer) value).intValue(), Integer.MAX_VALUE);",assertNull(value);,0
conf_1012_6,"assertThat(s, containsString(""locationStrategy="" + locationStrategy));",assertNotNull(s);,0
conf_96_10,"assertEquals(new ArrayList<>(), conf.getBigDecimalList(""empty""));","public List<BigDecimal> getBigDecimalList(final String key, final List<BigDecimal> list) {
            if (list.isEmpty()) {
                return 0;
                return 0;
                return 0;
            }assertEquals(2, expected.size());",0
conf_1417_1,"assertTrue(""Combiner has list nodes"", a);","assertEquals(false, a);",0
conf_1698_3,"assertEquals(""complex-string"", a, config.getProperty(""complex-string""));",assertNull(a);,0
conf_374_4,"assertTrue(""Configurations at "" + i + "" not equal"", comp.compare(cc.getConfiguration(i), cc2.getConfiguration(i)));","assertEquals(false, boolean0);",0
conf_103_5,"assertEquals(expected, conf.getCalendar(""calendar.string"", DATE_PATTERN));","assertEquals(""java.util.GregorianCalendar[time=1372785000652,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id=\""Europe/Belfast\"",offset=0,dstSavings=3600000,useDaylight=true,transitions=242,lastRule=java.util.SimpleTimeZone[id=Europe/Belfast,offset=0,dstSavings=3600000,useDaylight=true,startYear=0,startMode=2,startMonth=2,startDay=-1,startDayOfWeek=1,startTime=3600000,startTimeMode=2,endMode=2,endMonth=9,endDay=-1,endDayOfWeek=1,endTime=3600000,endTimeMode=2]],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2013,MONTH=6,WEEK_OF_YEAR=27,WEEK_OF_MONTH=1,DAY_OF_MONTH=2,DAY_OF_YEAR=183,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=1,AM_PM=0,HOUR=0,HOUR_OF_DAY=0,MINUTE=0,SECOND=0,MILLISECOND=0,ZONE_OFFSET=0,DST_OFFSET=3600000]"", defaultValue.toString());",0
conf_97_4,"assertEquals(expected, conf.getBigIntegerArray(""biginteger.list3""));",assertNotNull(expected);,0
conf_1360_3,"assertEquals(""Wrong property (3)"", 35, builder.getConfiguration().getInt(key));","assertEquals(1, int0);",0
conf_1466_1,"assertEquals(""Too few list elements"", 2, config.getMaxIndex(""net.service.url""));","assertEquals(-1, config.getMaxIndex());",0
conf_631_1,"assertSame(""Wrong configuration returned"", conf, ConfigurationUtils.convertToHierarchical(conf));","assertEquals(true, conf.isEmpty());",0
conf_221_4,"assertEquals(""formfeed separator not properly parsed"", a, conf.getProperty(""test.separator.formfeed""));",assertNull(a);,0
conf_132_7,"assertEquals(expected, conf.getShortArray(""short.list6""));","public short[] getShortArray(final String key, arrayUtils.EMPTY_SHORT_ARRAY);",0
conf_106_13,"assertEquals(new ArrayList<>(), conf.getCalendarList(""empty""));","public List<Calendar> getCalendarList(final String key) {
        return getCalendarList(key, new ArrayList<>());
    }assertNotNull(calendarList0);",0
conf_1696_14,"assertEquals(""2nd element"", ""d"", list2.get(1));","assertEquals(false, list2.isEmpty());",0
conf_895_1,"assertSame(""Different instance"", fullLocator, FileLocatorUtils.fullyInitializedLocator(fullLocator));",assertNotNull(fullLocator);,0
conf_1597_1,"assertSame(""Wrong root node"", a, handler.getRootNode());","TreeModel(false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,",0
conf_136_3,"assertEquals(expected, conf.getURIArray(""uri.list2""));",assertNotNull(valueArray0);,0
conf_813_1,"assertFalse(""Event listener registered at clone"", copy.getEventListeners(ConfigurationEvent.ANY).contains(l));","assertEquals(true, copy.isEmpty());",0
conf_279_2,"assertEquals(""List size"", 2, list.size());","assertEquals(1, config.size());",0
conf_104_10,"assertEquals(new Calendar[] {calendar1}, conf.getCalendarArray(""calendar.object""));",assertNotNull(calendarArray0);,0
conf_1706_4,"assertEquals(""empty string"", a, parser.removeQuotes(""""));",assertNotNull(a);,0
conf_994_1,"assertEquals(""Wrong base path"", ""file:///test/path/"", handler.getFileLocator().getBasePath());","assertEquals(""file:/test/path/"", handler.getBasePath());",0
conf_355_4,"assertEquals(""Returned wrong result."", values[i], object);",assertNull(object);,0
conf_132_1,"assertEquals(defaultValue, conf.getShortArray(""short.list"", defaultValue));","public short[] getShortArray(final String key, arrayUtils.EMPTY_SHORT_ARRAY);",0
conf_132_5,"assertEquals(expected, conf.getShortArray(""short.list4""));","public short[] getShortArray(final String key, arrayUtils.EMPTY_SHORT_ARRAY);",0
conf_1037_3,"assertEquals(""Wrong type (2)"", typeSub1, reg.getEventType());","assertEquals(EventListener.TYPE_BASE, l1.getEventType());",0
conf_935_1,"assertTrue(""No debug log"", logger.isDebugEnabled());","assertEquals(false, EasyMock.isDebugEnabled());",0
conf_693_3,"assertEquals(keysSimpleConfiguration.get(i), keysCompositeConfiguration.get(i));","assertEquals(""{prefix=testSequenceDigester, sqlQuery=null, targetClassName=java.util.HashMap, packageName=null, class=class framework.persistence.jdbc.Configuration, attributesSize=0, bindVariables=null, version=null, timestamp=0, rowsPerPage=10, rowCountMethod=java, name=null, retrieveRowCount=false, attributes={}, fullName=null, parameters=null, tokenValues=null, comment=null, maxFetchSize=0}"", simpleConfiguration.toString());",0
conf_514_3,"assertEquals(""Wrong test attribute at "" + i, ""yes"", conf.getString(nodeKey + ""[@test]""));","assertEquals(""a"", nodeKey);",0
conf_699_1,"assertEquals(""a,b,c"", config.getString(""split/list3/@values""));","assertEquals(""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n<MultiList delimiter=\""/\"">\n  <Pattern>^</Pattern>\n  <ValueListHandler>\n    <defaultRowsPerPage>10</defaultRowsPerPage>\n    <defaultRetrieveRowCount>false</defaultRetrieveRowCount>\n    <defaultRowCountMethod>java</defaultRowCountMethod>\n  </ValueListHandler>\n</MultiList>\n"", config.getString());",0
conf_47_1,"assertEquals(""Wrong number of lookups"", 1, lookups.size());","assertEquals(1, config.size());",0
conf_57_1,"assertEquals(""Change not visible in parent"", ""testTable"", config.getString(""tables.table(1).name""));","assertEquals(""testTable"", subConfig.getString());",0
conf_1037_4,"assertEquals(""Wrong listener (2)"", l2, reg.getListener());","publicEventListener getTestListener() {
        return l1.getTestListener());",0
conf_508_16,"assertEquals(2, list.size());","assertEquals(0, conf.size());",0
conf_76_1,"assertNull(""Got a value"", lookup.lookup(VAR));","assertEquals((-1), lookup.port);",0
conf_112_11,"assertEquals(new Date[] {}, conf.getDateArray(""empty""));",assertNotNull(dateArray0);,0
conf_757_1,"assertEquals(""prefix"", ""prefix"", subset.getPrefix());","assertEquals(""prefix"", subset.getPrefix());",0
conf_366_1,"assertEquals(""Wrong size"", a, getConfiguration().size());","@Override
    public final int size() {=0, a=0, b=0, c=0, d=0, e=0, f=0, g=0, h=0, i=0, j=0, k=0, l=0, m=0, n=0, o=0, p=0, q=0, r=0, s=0, t=0, u=0, v=0, w=0, h=0, i=0, j=0, k=0, l=0, m=0, n=0, o=0, p=0, q=0, r=0, s=0, t=0, u=0, v=0, w=0, h=0, i=0, j=0, k=0, l=0, m=0, n=0, o=0, p=0, q=0, r=0, s=0, t=0, u=0, v=0, w=0, h=0, i=0, j=0, k=0, l=0, m=0, n=0, o=0, p=0, q=0, r=0, s=0, t=0, u=0, v=0, w=0, h=0, i=0, j=0, k=0, l=0, m=0, n=0, o=0, p=0, q=0, r=0, s=0, t=0, u=0, v=0, w=0, h=0, i=0, j=0, k=0, l=0, m=0",0
conf_1077_1,"assertEquals(""Wrong value"", STR_VALUE, it.next());",assertNotNull(it);,0
conf_977_2,"assertSame(""Locator was changed"", locator, handler.getFileLocator());",assertNotNull(locator);,0
conf_1115_1,"assertEquals(""Wrong refresh"", refresh, paramsFb.getReloadingRefreshDelay());","assertEquals(refresh, paramsXml.getReloadingRefreshDelay());",0
conf_153_1,"assertEquals(""Got errors"", 0, errorCount.get());","assertEquals(""{test.1=null, test.2=null, test.3=null, test.4=null, test.5=null, test.6=null, test.7=null, test.8=null}"", config.toString());",0
conf_754_1,assertTrue(subConf.getKeys().hasNext());,"public Set<String> getTableKeys() {assertEquals(true, builder.getTableKeys());",0
conf_1227_2,"assertEquals(""IncludeListener not set"", includeListener, parameters.get(""includeListener""));","assertEquals(false, includeListener.isIncludesAllowed());",0
conf_133_11,"assertEquals(new ArrayList<>(), conf.getShortList(""empty""));","assertEquals(2, expected.getShortList());",0
conf_650_2,"assertEquals(2, conf.getList(""test.integer.array"").size());","assertEquals(0, list0.size());",0
conf_1614_5,"assertFalse(""Too many selectors"", it.hasNext());","assertEquals(false, it.hasNext());",0
conf_460_1,"assertEquals(""value1"", instance.getString(""section.k1:v1$key1""));","assertEquals(""k1:v1$key1=value1"", instance.getString());",0
conf_129_6,"assertEquals(expected, conf.getLongArray(""long.list5""));","long[] getLongArray(final String key, long[] defaultValue) {
            return defaultValue[0]:Exception! java.lang.NullPointerException\n}"", defaultValue);",0
conf_109_4,"assertEquals(expected, conf.getColorList(""color.list3""));",assertNotNull(getColorList());,0
conf_273_1,"assertEquals(""This returns 1(Duration)"", oneD, config.getDuration(""durationD""));","assertEquals(""1s"", d.toString());",0
conf_765_1,"assertEquals(""Value not set"", value, conf.getString(key));","assertEquals(""new.property"", confOrg.getString());",0
conf_1575_3,"assertEquals(""Wrong length after shortening"", TESTPROPS.length(), key.length());","assertEquals(16, keyBuffer.length());",0
conf_282_2,"assertEquals(""This returns 1(short)"", oneS, config.getShort(""numberS"", twoS));","assertEquals((short)1, short1);",0
conf_1809_3,"assertNull(""Got a type"", arg1.getTypeName());","assertEquals(""CT"", config.getTypeName());",0
conf_318_4,"assertEquals(""'key3' property"", ""value3"", conf2.getProperty(""key3""));",assertNull(conf2);,0
conf_605_3,"assertEquals(1, conf.getShort(""test.short""));","assertEquals((short)0, short0);",0
conf_461_1,"assertEquals(""Wrong content of ini file"", expectedOutput, result);","assertEquals(""="", instance.getSeparator());",0
conf_916_1,"assertSame(""Wrong strategy"", a, FileLocatorUtils.obtainLocationStrategy(null));","assertEquals(""FileLocationStrategy"", a.getName());",0
conf_1512_1,"assertEquals(""Wrong number of Channels"", 3, config.getMaxIndex(""Channels/Channel""));","assertEquals(-1, config.getMaxIndex());",0
conf_175_1,"assertEquals(""Already configurations contained"", a, config.getNumberOfConfigurations());","assertEquals(0, a);",0
conf_997_2,"assertEquals(""Wrong file name"", TEST_FILENAME, handler.getFileName());","assertEquals(""/mnt/fastdata/ac1gf/SF110/dist/78_caloriecount/TEST_FILENAME"", handler.getFileName());",0
conf_863_2,"assertTrue(""Reloading state not permanent"", strategy.isReloadingRequired());","assertEquals(true, strategy.isReloadingRequired());",0
conf_1711_1,"assertEquals(""'date' property"", calendar.getTime(), config.getProperty(""date""));","assertEquals(""java.util.GregorianCalendar[time=1372790450975,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id=\""Europe/Belfast\"",offset=0,dstSavings=3600000,useDaylight=true,transitions=242,lastRule=java.util.SimpleTimeZone[id=Europe/Belfast,offset=0,dstSavings=3600000,useDaylight=true,startYear=0,startMode=2,startMonth=2,startDay=-1,startDayOfWeek=1,startTime=3600000,startTimeMode=2,endMode=2,endMonth=9,endDay=-1,endDayOfWeek=1,endTime=3600000,endTimeMode=2]],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2013,MONTH=6,WEEK_OF_YEAR=27,WEEK_OF_MONTH=1,DAY_OF_MONTH=2,DAY_OF_YEAR=183,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=1,AM_PM=0,HOUR=0,HOUR_OF_DAY=0,MINUTE=0,SECOND=0,MILLISECOND=0,ZONE_OFFSET=0,DST_OFFSET=3600000]"", calendar.toString());",0
conf_363_3,"assertTrue(""'value1' is not in the list"", list.contains(""value1""));","assertEquals(false, list0.isEmpty());",0
conf_95_2,"assertEquals(expected, conf.getBigDecimalArray(""bigdecimal.list1""));",assertNotNull(expected);,0
conf_1520_1,"assertEquals(""Wrong node value"", ""Odyssee"", node.getValue());","assertEquals(""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work"", nodeForKey(model, ""Homer/work",0
conf_280_2,"assertEquals(""This returns 1(long)"", oneL, config.getLong(""numberL"", twoL));","assertEquals(1L, long2L);",0
conf_117_2,"assertEquals(expected, conf.getDoubleArray(""double.list1""), 0);","public static double[] getDoubleArray(final String key, final double[] defaultValue) {
            return defaultValue[0]:Exception! java.lang.NullPointerException\n}"", defaultValue);",0
conf_635_1,"assertEquals(""Wrong value for key "" + key, conf.getProperty(key), hc.getProperty(key));","assertEquals(""value"", hc.getPropertyName());",0
conf_629_2,"assertNotSame(""Same instance"", sync, sync2);","SynchronizerTestImpl.assertNotSame(sync2, sync1);",0
conf_281_3,"assertEquals(""This returns '1'"", config.getString(""number""), ""1"");","assertEquals(""1"", config.getString());",0
conf_281_1,"assertNull(""This returns null"", config.getProperty(""foo""));",assertNull(liferayResourceBundle0.getCharsetName());,0
conf_372_3,assertTrue(foundTestKey);,"assertEquals(""testValue"", testConfiguration.getTestValue());",0
conf_1658_1,"assertEquals(""Unknown node type not evaluated"", 0, iteratorSize(it));",assertNotNull(it);,0
conf_1201_7,"assertEquals(""Base properties not set"", Boolean.TRUE, params2.getParameters().get(""throwExceptionOnMissing""));","assertEquals(""A path"", params2.getPath());",0
conf_268_1,"assertEquals(""Existing key"", number, config.getBigInteger(""numberBigI""));","assertEquals(""654321"", number.toString());",0
conf_554_1,"assertNotSame(""Same documents"", helper.getDocument(), copy.getDocument());",assertNotNull(documentHelperCopy);,0
conf_118_5,"assertEquals(expected, conf.getDoubleList(""double.list4""));",assertNotNull(doubleList0);,0
conf_1088_1,"assertTrue(""Got elements"", col.isEmpty());","boolean isEmpty() {assertEquals(true, handler.isEmpty());",0
conf_1652_2,"assertEquals(""Iteration ended not at end node"", 0, value);","ImmutableNode|null|null|null|null|null|null|null"", root.getNode());",0
conf_1108_2,"assertEquals(""Incorrect Short value"", a, PropertyConverter.toNumber(new StringBuffer(""10""), Short.class));","assertEquals(10, a.shortValue());",0
