classname,method,docstring,method_definition
org.apache.commons.net.DefaultSocketFactory,createServerSocket(final int port),"/**
     * Creates a ServerSocket bound to a specified port.  A port
     * of 0 will create the ServerSocket on a system-determined free port.
     *
     * @param port  The port on which to listen, or 0 to use any free port.
     * @return A ServerSocket that will listen on a specified port.
     * @throws IOException If an I/O error occurs while creating
     *                        the ServerSocket.
     */","public ServerSocket createServerSocket(final int port) throws IOException
    {
        return new ServerSocket(port);
    }"
org.apache.commons.net.DefaultSocketFactory,"createServerSocket(final int port, final int backlog)","/**
     * Creates a ServerSocket bound to a specified port with a given
     * maximum queue length for incoming connections.  A port of 0 will
     * create the ServerSocket on a system-determined free port.
     *
     * @param port  The port on which to listen, or 0 to use any free port.
     * @param backlog  The maximum length of the queue for incoming connections.
     * @return A ServerSocket that will listen on a specified port.
     * @throws IOException If an I/O error occurs while creating
     *                        the ServerSocket.
     */","public ServerSocket createServerSocket(final int port, final int backlog)
    throws IOException
    {
        return new ServerSocket(port, backlog);
    }"
org.apache.commons.net.DefaultSocketFactory,"createServerSocket(final int port, final int backlog,
                                           final InetAddress bindAddr)","/**
     * Creates a ServerSocket bound to a specified port on a given local
     * address with a given maximum queue length for incoming connections.
     * A port of 0 will
     * create the ServerSocket on a system-determined free port.
     *
     * @param port  The port on which to listen, or 0 to use any free port.
     * @param backlog  The maximum length of the queue for incoming connections.
     * @param bindAddr  The local address to which the ServerSocket should bind.
     * @return A ServerSocket that will listen on a specified port.
     * @throws IOException If an I/O error occurs while creating
     *                        the ServerSocket.
     */","public ServerSocket createServerSocket(final int port, final int backlog,
                                           final InetAddress bindAddr)
    throws IOException
    {
        return new ServerSocket(port, backlog, bindAddr);
    }"
org.apache.commons.net.DatagramSocketFactory,createDatagramSocket(),"/**
     * Creates a DatagramSocket on the local host at the first available port.
     * @return the socket
     *
     * @throws SocketException If the socket could not be created.
     */",DatagramSocket createDatagramSocket() throws SocketException;
org.apache.commons.net.DatagramSocketFactory,createDatagramSocket(int port),"/**
     * Creates a DatagramSocket on the local host at a specified port.
     *
     * @param port The port to use for the socket.
     * @return the socket
     * @throws SocketException If the socket could not be created.
     */",DatagramSocket createDatagramSocket(int port) throws SocketException;
org.apache.commons.net.DatagramSocketFactory,"createDatagramSocket(int port, InetAddress laddr)","/**
     * Creates a DatagramSocket at the specified address on the local host
     * at a specified port.
     *
     * @param port The port to use for the socket.
     * @param laddr  The local address to use.
     * @return the socket
     * @throws SocketException If the socket could not be created.
     */","DatagramSocket createDatagramSocket(int port, InetAddress laddr)
    throws SocketException;"
org.apache.commons.net.ProtocolCommandEvent,getCommand(),"/**
     * Returns the string representation of the command type sent (e.g., ""STAT""
     * or ""GET"").  If the ProtocolCommandEvent is a reply event, then null
     * is returned.
     *
     * @return The string representation of the command type sent, or null
     *         if this is a reply event.
     */","public String getCommand()
    {
        return command;
    }"
org.apache.commons.net.ProtocolCommandEvent,getReplyCode(),"/**
     * Returns the reply code of the received server reply.  Undefined if
     * this is not a reply event.
     *
     * @return The reply code of the received server reply.  Undefined if
     *         not a reply event.
     */","public int getReplyCode()
    {
        return replyCode;
    }"
org.apache.commons.net.ProtocolCommandEvent,isCommand(),"/**
     * Returns true if the ProtocolCommandEvent was generated as a result
     * of sending a command.
     *
     * @return true If the ProtocolCommandEvent was generated as a result
     * of sending a command.  False otherwise.
     */","public boolean isCommand()
    {
        return isCommand;
    }"
org.apache.commons.net.ProtocolCommandEvent,isReply(),"/**
     * Returns true if the ProtocolCommandEvent was generated as a result
     * of receiving a reply.
     *
     * @return true If the ProtocolCommandEvent was generated as a result
     * of receiving a reply.  False otherwise.
     */","public boolean isReply()
    {
        return !isCommand();
    }"
org.apache.commons.net.ProtocolCommandEvent,getMessage(),"/**
     * Returns the entire message sent to or received from the server.
     * Includes the line terminator.
     *
     * @return The entire message sent to or received from the server.
     */","public String getMessage()
    {
        return message;
    }"
org.apache.commons.net.PrintCommandListener,void protocolCommandSent(final ProtocolCommandEvent event),,"@Override
    public void protocolCommandSent(final ProtocolCommandEvent event)
    {
        if (directionMarker) {
            writer.print(""> "");
        }
        if (nologin) {
            final String cmd = event.getCommand();
            if (""PASS"".equalsIgnoreCase(cmd) || ""USER"".equalsIgnoreCase(cmd)) {
                writer.print(cmd);
                writer.println("" *******""); // Don't bother with EOL marker for this!
            } else {
                final String IMAP_LOGIN = ""LOGIN"";
                if (IMAP_LOGIN.equalsIgnoreCase(cmd)) { // IMAP
                    String msg = event.getMessage();
                    msg=msg.substring(0, msg.indexOf(IMAP_LOGIN)+IMAP_LOGIN.length());
                    writer.print(msg);
                    writer.println("" *******""); // Don't bother with EOL marker for this!
                } else {
                    writer.print(getPrintableString(event.getMessage()));
                }
            }
        } else {
            writer.print(getPrintableString(event.getMessage()));
        }
        writer.flush();
    }"
org.apache.commons.net.PrintCommandListener,getPrintableString(final String msg),,"private String getPrintableString(final String msg){
        if (eolMarker == 0) {
            return msg;
        }
        final int pos = msg.indexOf(SocketClient.NETASCII_EOL);
        if (pos > 0) {
            final StringBuilder sb = new StringBuilder();
            sb.append(msg.substring(0,pos));
            sb.append(eolMarker);
            sb.append(msg.substring(pos));
            return sb.toString();
        }
        return msg;
    }"
org.apache.commons.net.PrintCommandListener,void protocolReplyReceived(final ProtocolCommandEvent event),,"@Override
    public void protocolReplyReceived(final ProtocolCommandEvent event)
    {
        if (directionMarker) {
            writer.print(""< "");
        }
        writer.print(event.getMessage());
        writer.flush();
    }"
org.apache.commons.net.ProtocolCommandSupport,"void fireCommandSent(final String command, final String message)","/**
     * Fires a ProtocolCommandEvent signalling the sending of a command to all
     * registered listeners, invoking their
     * {@link org.apache.commons.net.ProtocolCommandListener#protocolCommandSent protocolCommandSent() }
     *  methods.
     *
     * @param command The string representation of the command type sent, not
     *      including the arguments (e.g., ""STAT"" or ""GET"").
     * @param message The entire command string verbatim as sent to the server,
     *        including all arguments.
     */","public void fireCommandSent(final String command, final String message)
    {
        final ProtocolCommandEvent event;

        event = new ProtocolCommandEvent(source, command, message);

        for (final EventListener listener : listeners)
        {
           ((ProtocolCommandListener)listener).protocolCommandSent(event);
        }
    }"
org.apache.commons.net.ProtocolCommandSupport,"void fireReplyReceived(final int replyCode, final String message)","/**
     * Fires a ProtocolCommandEvent signalling the reception of a command reply
     * to all registered listeners, invoking their
     * {@link org.apache.commons.net.ProtocolCommandListener#protocolReplyReceived protocolReplyReceived() }
     *  methods.
     *
     * @param replyCode The integer code indicating the natureof the reply.
     *   This will be the protocol integer value for protocols
     *   that use integer reply codes, or the reply class constant
     *   corresponding to the reply for protocols like POP3 that use
     *   strings like OK rather than integer codes (i.e., POP3Repy.OK).
     * @param message The entire reply as received from the server.
     */","public void fireReplyReceived(final int replyCode, final String message)
    {
        final ProtocolCommandEvent event;
        event = new ProtocolCommandEvent(source, replyCode, message);

        for (final EventListener listener : listeners)
        {
            ((ProtocolCommandListener)listener).protocolReplyReceived(event);
        }
    }"
org.apache.commons.net.ProtocolCommandSupport,void addProtocolCommandListener(final ProtocolCommandListener listener),"/**
     * Adds a ProtocolCommandListener.
     *
     * @param listener  The ProtocolCommandListener to add.
     */","public void addProtocolCommandListener(final ProtocolCommandListener listener)
    {
        listeners.addListener(listener);
    }"
org.apache.commons.net.ProtocolCommandSupport,void removeProtocolCommandListener(final ProtocolCommandListener listener),"/**
     * Removes a ProtocolCommandListener.
     *
     * @param listener  The ProtocolCommandListener to remove.
     */","public void removeProtocolCommandListener(final ProtocolCommandListener listener)
    {
        listeners.removeListener(listener);
    }"
org.apache.commons.net.ProtocolCommandSupport,getListenerCount(),"/**
     * Returns the number of ProtocolCommandListeners currently registered.
     *
     * @return The number of ProtocolCommandListeners currently registered.
     */","public int getListenerCount()
    {
        return listeners.getListenerCount();
    }"
org.apache.commons.net.DatagramSocketClient,void open(),"/**
     * Opens a DatagramSocket on the local host at the first available port.
     * Also sets the timeout on the socket to the default timeout set
     * by {@link #setDefaultTimeout  setDefaultTimeout() }.
     * <p>
     * _isOpen_ is set to true after calling this method and _socket_
     * is set to the newly opened socket.
     *
     * @throws SocketException If the socket could not be opened or the
     *   timeout could not be set.
     */","public void open() throws SocketException
    {
        _socket_ = _socketFactory_.createDatagramSocket();
        _socket_.setSoTimeout(_timeout_);
        _isOpen_ = true;
    }"
org.apache.commons.net.DatagramSocketClient,void open(final int port),"/**
     * Opens a DatagramSocket on the local host at a specified port.
     * Also sets the timeout on the socket to the default timeout set
     * by {@link #setDefaultTimeout  setDefaultTimeout() }.
     * <p>
     * _isOpen_ is set to true after calling this method and _socket_
     * is set to the newly opened socket.
     *
     * @param port The port to use for the socket.
     * @throws SocketException If the socket could not be opened or the
     *   timeout could not be set.
     */","public void open(final int port) throws SocketException
    {
        _socket_ = _socketFactory_.createDatagramSocket(port);
        _socket_.setSoTimeout(_timeout_);
        _isOpen_ = true;
    }"
org.apache.commons.net.DatagramSocketClient,"void open(final int port, final InetAddress laddr)","/**
     * Opens a DatagramSocket at the specified address on the local host
     * at a specified port.
     * Also sets the timeout on the socket to the default timeout set
     * by {@link #setDefaultTimeout  setDefaultTimeout() }.
     * <p>
     * _isOpen_ is set to true after calling this method and _socket_
     * is set to the newly opened socket.
     *
     * @param port The port to use for the socket.
     * @param laddr  The local address to use.
     * @throws SocketException If the socket could not be opened or the
     *   timeout could not be set.
     */","public void open(final int port, final InetAddress laddr) throws SocketException
    {
        _socket_ = _socketFactory_.createDatagramSocket(port, laddr);
        _socket_.setSoTimeout(_timeout_);
        _isOpen_ = true;
    }"
org.apache.commons.net.DatagramSocketClient,void close(),"/**
     * Closes the DatagramSocket used for the connection.
     * You should call this method after you've finished using the class
     * instance and also before you call {@link #open open() }
     * again.   _isOpen_ is set to false and  _socket_ is set to null.
     */","public void close()
    {
        if (_socket_ != null) {
            _socket_.close();
        }
        _socket_ = null;
        _isOpen_ = false;
    }"
org.apache.commons.net.DatagramSocketClient,isOpen(),"/**
     * Returns true if the client has a currently open socket.
     *
     * @return True if the client has a currently open socket, false otherwise.
     */","public boolean isOpen()
    {
        return _isOpen_;
    }"
org.apache.commons.net.DatagramSocketClient,void setDefaultTimeout(final int timeout),"/**
     * Set the default timeout in milliseconds to use when opening a socket.
     * After a call to open, the timeout for the socket is set using this value.
     * This method should be used prior to a call to {@link #open open()}
     * and should not be confused with {@link #setSoTimeout setSoTimeout()}
     * which operates on the currently open socket.  _timeout_ contains
     * the new timeout value.
     *
     * @param timeout  The timeout in milliseconds to use for the datagram socket
     *                 connection.
     */","public void setDefaultTimeout(final int timeout)
    {
        _timeout_ = timeout;
    }"
org.apache.commons.net.DatagramSocketClient,getDefaultTimeout(),"/**
     * Returns the default timeout in milliseconds that is used when
     * opening a socket.
     *
     * @return The default timeout in milliseconds that is used when
     *         opening a socket.
     */","public int getDefaultTimeout()
    {
        return _timeout_;
    }"
org.apache.commons.net.DatagramSocketClient,void setSoTimeout(final int timeout),"/**
     * Set the timeout in milliseconds of a currently open connection.
     * Only call this method after a connection has been opened
     * by {@link #open open()}.
     *
     * @param timeout  The timeout in milliseconds to use for the currently
     *                 open datagram socket connection.
     * @throws SocketException if an error setting the timeout
     */","public void setSoTimeout(final int timeout) throws SocketException
    {
        _socket_.setSoTimeout(timeout);
    }"
org.apache.commons.net.DatagramSocketClient,getSoTimeout(),"/**
     * Returns the timeout in milliseconds of the currently opened socket.
     * If you call this method when the client socket is not open,
     * a NullPointerException is thrown.
     *
     * @return The timeout in milliseconds of the currently opened socket.
     * @throws SocketException if an error getting the timeout
     */","public int getSoTimeout() throws SocketException
    {
        return _socket_.getSoTimeout();
    }"
org.apache.commons.net.DatagramSocketClient,getLocalPort(),"/**
     * Returns the port number of the open socket on the local host used
     * for the connection.  If you call this method when the client socket
     * is not open, a NullPointerException is thrown.
     *
     * @return The port number of the open socket on the local host used
     *         for the connection.
     */","public int getLocalPort()
    {
        return _socket_.getLocalPort();
    }"
org.apache.commons.net.DatagramSocketClient,getLocalAddress(),"/**
     * Returns the local address to which the client's socket is bound.
     * If you call this method when the client socket is not open, a
     * NullPointerException is thrown.
     *
     * @return The local address to which the client's socket is bound.
     */","public InetAddress getLocalAddress()
    {
        return _socket_.getLocalAddress();
    }"
org.apache.commons.net.DatagramSocketClient,void setDatagramSocketFactory(final DatagramSocketFactory factory),"/**
     * Sets the DatagramSocketFactory used by the DatagramSocketClient
     * to open DatagramSockets.  If the factory value is null, then a default
     * factory is used (only do this to reset the factory after having
     * previously altered it).
     *
     * @param factory  The new DatagramSocketFactory the DatagramSocketClient
     * should use.
     */","public void setDatagramSocketFactory(final DatagramSocketFactory factory)
    {
        if (factory == null) {
            _socketFactory_ = DEFAULT_SOCKET_FACTORY;
        } else {
            _socketFactory_ = factory;
        }
    }"
org.apache.commons.net.DatagramSocketClient,getCharsetName(),"/**
     * Gets the charset name.
     *
     * @return the charset name.
     * @since 3.3
     * @deprecated Use {@link #getCharset()} instead
     */","@Deprecated
    public String getCharsetName() {
        return charset.name();
    }"
org.apache.commons.net.DatagramSocketClient,getCharset(),"/**
     * Gets the charset.
     *
     * @return the charset.
     * @since 3.3
     */","public Charset getCharset() {
        return charset;
    }"
org.apache.commons.net.DatagramSocketClient,void setCharset(final Charset charset),"/**
     * Sets the charset.
     *
     * @param charset the charset.
     * @since 3.3
     */","public void setCharset(final Charset charset) {
        this.charset = charset;
    }"
org.apache.commons.net.SocketClient,void _connectAction_(),"/**
     * Because there are so many connect() methods, the _connectAction_()
     * method is provided as a means of performing some action immediately
     * after establishing a connection, rather than reimplementing all
     * of the connect() methods.  The last action performed by every
     * connect() method after opening a socket is to call this method.
     * <p>
     * This method sets the timeout on the just opened socket to the default
     * timeout set by {@link #setDefaultTimeout  setDefaultTimeout() },
     * sets _input_ and _output_ to the socket's InputStream and OutputStream
     * respectively, and sets _isConnected_ to true.
     * <p>
     * Subclasses overriding this method should start by calling
     * <code> super._connectAction_() </code> first to ensure the
     * initialization of the aforementioned protected variables.
     * @throws IOException (SocketException) if a problem occurs with the socket
     */","protected void _connectAction_() throws IOException
    {
        applySocketAttributes();
        _input_ = _socket_.getInputStream();
        _output_ = _socket_.getOutputStream();
    }"
org.apache.commons.net.SocketClient,void applySocketAttributes(),"/**
     * Applies socket attributes.
     *
     * @throws SocketException if there is an error in the underlying protocol, such as a TCP error.
     * @since 3.8.0
     */","protected void applySocketAttributes() throws SocketException {
        _socket_.setSoTimeout(_timeout_);
    }"
org.apache.commons.net.SocketClient,"void connect(final InetAddress host, final int port)","/**
     * Opens a Socket connected to a remote host at the specified port and
     * originating from the current host at a system assigned port.
     * Before returning, {@link #_connectAction_  _connectAction_() }
     * is called to perform connection initialization actions.
     * <p>
     * @param host  The remote host.
     * @param port  The port to connect to on the remote host.
     * @throws SocketException If the socket timeout could not be set.
     * @throws IOException If the socket could not be opened.  In most
     *  cases you will only want to catch IOException since SocketException is
     *  derived from it.
     */","public void connect(final InetAddress host, final int port)
    throws SocketException, IOException
    {
        _hostname_ = null;
        _connect(host, port, null, -1);
    }"
org.apache.commons.net.SocketClient,"void connect(final String hostname, final int port)","/**
     * Opens a Socket connected to a remote host at the specified port and
     * originating from the current host at a system assigned port.
     * Before returning, {@link #_connectAction_  _connectAction_() }
     * is called to perform connection initialization actions.
     * <p>
     * @param hostname  The name of the remote host.
     * @param port  The port to connect to on the remote host.
     * @throws SocketException If the socket timeout could not be set.
     * @throws IOException If the socket could not be opened.  In most
     *  cases you will only want to catch IOException since SocketException is
     *  derived from it.
     * @throws java.net.UnknownHostException If the hostname cannot be resolved.
     */","public void connect(final String hostname, final int port)
    throws SocketException, IOException
    {
        _hostname_ = hostname;
        _connect(InetAddress.getByName(hostname), port, null, -1);
    }"
org.apache.commons.net.SocketClient,"void connect(final InetAddress host, final int port,
                        final InetAddress localAddr, final int localPort)","/**
     * Opens a Socket connected to a remote host at the specified port and
     * originating from the specified local address and port.
     * Before returning, {@link #_connectAction_  _connectAction_() }
     * is called to perform connection initialization actions.
     * <p>
     * @param host  The remote host.
     * @param port  The port to connect to on the remote host.
     * @param localAddr  The local address to use.
     * @param localPort  The local port to use.
     * @throws SocketException If the socket timeout could not be set.
     * @throws IOException If the socket could not be opened.  In most
     *  cases you will only want to catch IOException since SocketException is
     *  derived from it.
     */","public void connect(final InetAddress host, final int port,
                        final InetAddress localAddr, final int localPort)
    throws SocketException, IOException
    {
        _hostname_ = null;
        _connect(host, port, localAddr, localPort);
    }"
org.apache.commons.net.SocketClient,"void _connect(final InetAddress host, final int port, final InetAddress localAddr, final int localPort)",,"private void _connect(final InetAddress host, final int port, final InetAddress localAddr, final int localPort)
        throws SocketException, IOException
    {
        _socket_ = _socketFactory_.createSocket();
        if (receiveBufferSize != -1) {
            _socket_.setReceiveBufferSize(receiveBufferSize);
        }
        if (sendBufferSize != -1) {
            _socket_.setSendBufferSize(sendBufferSize);
        }
        if (localAddr != null) {
            _socket_.bind(new InetSocketAddress(localAddr, localPort));
        }
        _socket_.connect(new InetSocketAddress(host, port), connectTimeout);
        _connectAction_();
    }"
org.apache.commons.net.SocketClient,"void connect(final String hostname, final int port,
                        final InetAddress localAddr, final int localPort)","/**
     * Opens a Socket connected to a remote host at the specified port and
     * originating from the specified local address and port.
     * Before returning, {@link #_connectAction_  _connectAction_() }
     * is called to perform connection initialization actions.
     * <p>
     * @param hostname  The name of the remote host.
     * @param port  The port to connect to on the remote host.
     * @param localAddr  The local address to use.
     * @param localPort  The local port to use.
     * @throws SocketException If the socket timeout could not be set.
     * @throws IOException If the socket could not be opened.  In most
     *  cases you will only want to catch IOException since SocketException is
     *  derived from it.
     * @throws java.net.UnknownHostException If the hostname cannot be resolved.
     */","public void connect(final String hostname, final int port,
                        final InetAddress localAddr, final int localPort)
    throws SocketException, IOException
    {
        _hostname_ = hostname;
       _connect(InetAddress.getByName(hostname), port, localAddr, localPort);
    }"
org.apache.commons.net.SocketClient,void connect(final InetAddress host),"/**
     * Opens a Socket connected to a remote host at the current default port
     * and originating from the current host at a system assigned port.
     * Before returning, {@link #_connectAction_  _connectAction_() }
     * is called to perform connection initialization actions.
     * <p>
     * @param host  The remote host.
     * @throws SocketException If the socket timeout could not be set.
     * @throws IOException If the socket could not be opened.  In most
     *  cases you will only want to catch IOException since SocketException is
     *  derived from it.
     */","public void connect(final InetAddress host) throws SocketException, IOException
    {
        _hostname_ = null;
        connect(host, _defaultPort_);
    }"
org.apache.commons.net.SocketClient,void connect(final String hostname),"/**
     * Opens a Socket connected to a remote host at the current default
     * port and originating from the current host at a system assigned port.
     * Before returning, {@link #_connectAction_  _connectAction_() }
     * is called to perform connection initialization actions.
     * <p>
     * @param hostname  The name of the remote host.
     * @throws SocketException If the socket timeout could not be set.
     * @throws IOException If the socket could not be opened.  In most
     *  cases you will only want to catch IOException since SocketException is
     *  derived from it.
     * @throws java.net.UnknownHostException If the hostname cannot be resolved.
     */","public void connect(final String hostname) throws SocketException, IOException
    {
        connect(hostname, _defaultPort_);
    }"
org.apache.commons.net.SocketClient,void disconnect(),"/**
     * Disconnects the socket connection.
     * You should call this method after you've finished using the class
     * instance and also before you call
     * {@link #connect connect() }
     * again.  _isConnected_ is set to false, _socket_ is set to null,
     * _input_ is set to null, and _output_ is set to null.
     * <p>
     * @throws IOException  If there is an error closing the socket.
     */","public void disconnect() throws IOException
    {
        closeQuietly(_socket_);
        closeQuietly(_input_);
        closeQuietly(_output_);
        _socket_ = null;
        _hostname_ = null;
        _input_ = null;
        _output_ = null;
    }"
org.apache.commons.net.SocketClient,void closeQuietly(final Socket socket),,"private void closeQuietly(final Socket socket) {
        if (socket != null){
            try {
                socket.close();
            } catch (final IOException e) {
                // Ignored
            }
        }
    }"
org.apache.commons.net.SocketClient,void closeQuietly(final Closeable close),,"private void closeQuietly(final Closeable close){
        if (close != null){
            try {
                close.close();
            } catch (final IOException e) {
                // Ignored
            }
        }
    }"
org.apache.commons.net.SocketClient,isConnected(),"/**
     * Returns true if the client is currently connected to a server.
     * <p>
     * Delegates to {@link Socket#isConnected()}
     * @return True if the client is currently connected to a server,
     *         false otherwise.
     */","public boolean isConnected()
    {
        if (_socket_ == null) {
            return false;
        }

        return _socket_.isConnected();
    }"
org.apache.commons.net.SocketClient,isAvailable(),"/**
     * Make various checks on the socket to test if it is available for use.
     * Note that the only sure test is to use it, but these checks may help
     * in some cases.
     * @see <a href=""https://issues.apache.org/jira/browse/NET-350"">NET-350</a>
     * @return {@code true} if the socket appears to be available for use
     * @since 3.0
     */","@SuppressWarnings(""resource"")
    public boolean isAvailable(){
        if (isConnected()) {
            try
            {
                if (_socket_.getInetAddress() == null) {
                    return false;
                }
                if (_socket_.getPort() == 0) {
                    return false;
                }
                if (_socket_.getRemoteSocketAddress() == null) {
                    return false;
                }
                if (_socket_.isClosed()) {
                    return false;
                }
                /* these aren't exact checks (a Socket can be half-open),
                   but since we usually require two-way data transfer,
                   we check these here too: */
                if (_socket_.isInputShutdown()) {
                    return false;
                }
                if (_socket_.isOutputShutdown()) {
                    return false;
                }
                /* ignore the result, catch exceptions: */
                // No need to close
                _socket_.getInputStream();
                // No need to close
                _socket_.getOutputStream();
            }
            catch (final IOException ioex)
            {
                return false;
            }
            return true;
        }
        return false;
    }"
org.apache.commons.net.SocketClient,void setDefaultPort(final int port),"/**
     * Sets the default port the SocketClient should connect to when a port
     * is not specified.  The {@link #_defaultPort_  _defaultPort_ }
     * variable stores this value.  If never set, the default port is equal
     * to zero.
     * <p>
     * @param port  The default port to set.
     */","public void setDefaultPort(final int port)
    {
        _defaultPort_ = port;
    }"
org.apache.commons.net.SocketClient,getDefaultPort(),"/**
     * Returns the current value of the default port (stored in
     * {@link #_defaultPort_  _defaultPort_ }).
     * <p>
     * @return The current value of the default port.
     */","public int getDefaultPort()
    {
        return _defaultPort_;
    }"
org.apache.commons.net.SocketClient,void setDefaultTimeout(final int timeout),"/**
     * Set the default timeout in milliseconds to use when opening a socket.
     * This value is only used previous to a call to
     * {@link #connect connect()}
     * and should not be confused with {@link #setSoTimeout setSoTimeout()}
     * which operates on an the currently opened socket.  _timeout_ contains
     * the new timeout value.
     * <p>
     * @param timeout  The timeout in milliseconds to use for the socket
     *                 connection.
     */","public void setDefaultTimeout(final int timeout)
    {
        _timeout_ = timeout;
    }"
org.apache.commons.net.SocketClient,getDefaultTimeout(),"/**
     * Returns the default timeout in milliseconds that is used when
     * opening a socket.
     * <p>
     * @return The default timeout in milliseconds that is used when
     *         opening a socket.
     */","public int getDefaultTimeout()
    {
        return _timeout_;
    }"
org.apache.commons.net.SocketClient,void setSoTimeout(final int timeout),"/**
     * Set the timeout in milliseconds of a currently open connection.
     * Only call this method after a connection has been opened
     * by {@link #connect connect()}.
     * <p>
     * To set the initial timeout, use {@link #setDefaultTimeout(int)} instead.
     *
     * @param timeout  The timeout in milliseconds to use for the currently
     *                 open socket connection.
     * @throws SocketException If the operation fails.
     * @throws NullPointerException if the socket is not currently open
     */","public void setSoTimeout(final int timeout) throws SocketException
    {
        _socket_.setSoTimeout(timeout);
    }"
