folder_path,pom_path,project_version,junit_versions,pit_version,maven_plugin_versions
commons-geometry-1.0-src/dist-archive,commons-geometry-1.0-src/dist-archive/pom.xml,1.0,,,
commons-geometry-1.0-src/commons-geometry-euclidean,commons-geometry-1.0-src/commons-geometry-euclidean/pom.xml,1.0,org.junit.jupiter:junit-jupiter:<no-version>;org.junit.platform:junit-platform-launcher:1.8.0-M1,1.22.0,maven-jar-plugin:<no-version>
commons-geometry-1.0-src/commons-geometry-core,commons-geometry-1.0-src/commons-geometry-core/pom.xml,1.0,org.junit.jupiter:junit-jupiter:<no-version>;org.junit.platform:junit-platform-launcher:1.8.0-M1,1.22.0,maven-jar-plugin:<no-version>
commons-geometry-1.0-src/commons-geometry-examples,commons-geometry-1.0-src/commons-geometry-examples/pom.xml,1.0,org.junit.jupiter:junit-jupiter:<no-version>;org.junit.platform:junit-platform-launcher:1.8.0-M1,,
commons-geometry-1.0-src/commons-geometry-examples/examples-tutorials,commons-geometry-1.0-src/commons-geometry-examples/examples-tutorials/pom.xml,1.0,org.junit.jupiter:junit-jupiter:<no-version>,,
commons-geometry-1.0-src/commons-geometry-examples/examples-jmh,commons-geometry-1.0-src/commons-geometry-examples/examples-jmh/pom.xml,1.0,org.junit.jupiter:junit-jupiter:<no-version>,,maven-compiler-plugin:<no-version>;maven-shade-plugin:<no-version>
commons-geometry-1.0-src/commons-geometry-spherical,commons-geometry-1.0-src/commons-geometry-spherical/pom.xml,1.0,org.junit.jupiter:junit-jupiter:<no-version>;org.junit.platform:junit-platform-launcher:1.8.0-M1,1.22.0,
commons-geometry-1.0-src/commons-geometry-io-euclidean,commons-geometry-1.0-src/commons-geometry-io-euclidean/pom.xml,1.0,org.junit.jupiter:junit-jupiter:<no-version>;org.junit.platform:junit-platform-launcher:1.8.0-M1,1.22.0,
commons-validator-1.7,commons-validator-1.7/pom.xml,1.7,junit:junit:4.12;junit:junit:4.13,1.22.0,maven-antrun-plugin:3.0.0;maven-checkstyle-plugin:${commons.checkstyle-plugin.version};maven-scm-publish-plugin:<no-version>;maven-surefire-plugin:2.22.0;maven-surefire-plugin:<no-version>
springside4,springside4/pom.xml,5.0.0-SNAPSHOT,junit:junit:4.12,,maven-surefire-plugin:2.22.0
springside4/support/h2,springside4/support/h2/pom.xml,5.0.0-SNAPSHOT,,,
springside4/modules,springside4/modules/pom.xml,5.0.0-SNAPSHOT,junit:junit:4.12,,maven-surefire-plugin:2.22.0
springside4/modules/core,springside4/modules/core/pom.xml,5.0.0-SNAPSHOT,junit:junit:4.12,1.22.0,maven-source-plugin:3.0.1;maven-surefire-plugin:2.22.0
springside4/modules/metrics,springside4/modules/metrics/pom.xml,5.0.0-SNAPSHOT,junit:junit:4.12,1.22.0,maven-source-plugin:3.0.1;maven-surefire-plugin:2.22.0
springside4/modules/utils,springside4/modules/utils/pom.xml,5.0.0-SNAPSHOT,junit:junit:4.12,1.22.0,maven-compiler-plugin:3.10.1;maven-jar-plugin:3.0.2;maven-source-plugin:3.0.1;maven-surefire-plugin:2.22.0
async-http-client,async-http-client/pom.xml,2.12.3,junit:junit:4.12,,maven-javadoc-plugin:3.1.1;maven-surefire-plugin:2.17
async-http-client/netty-utils,async-http-client/netty-utils/pom.xml,2.12.3,junit:junit:4.12,,
async-http-client/example,async-http-client/example/pom.xml,2.12.3,,,
async-http-client/client,async-http-client/client/pom.xml,2.12.3,,1.9.8,
async-http-client/bom,async-http-client/bom/pom.xml,2.12.3,,,
async-http-client/extras,async-http-client/extras/pom.xml,2.12.3,,,
async-http-client/extras/rxjava2,async-http-client/extras/rxjava2/pom.xml,2.12.3,,1.9.8,
async-http-client/extras/guava,async-http-client/extras/guava/pom.xml,2.12.3,,1.9.8,
async-http-client/extras/rxjava,async-http-client/extras/rxjava/pom.xml,2.12.3,,1.9.8,
async-http-client/extras/simple,async-http-client/extras/simple/pom.xml,2.12.3,,1.9.8,
async-http-client/extras/retrofit2,async-http-client/extras/retrofit2/pom.xml,2.12.3,,1.9.8,
async-http-client/extras/jdeferred,async-http-client/extras/jdeferred/pom.xml,2.12.3,,1.9.8,
async-http-client/extras/registry,async-http-client/extras/registry/pom.xml,2.12.3,,1.9.8,
async-http-client/extras/typesafeconfig,async-http-client/extras/typesafeconfig/pom.xml,2.12.3,,,
commons-collections4-4.4-src,commons-collections4-4.4-src/pom.xml,4.4,junit:junit:4.12,1.22.0,maven-antrun-plugin:1.8;maven-changes-plugin:${commons.changes.version};maven-jar-plugin:<no-version>;maven-javadoc-plugin:<no-version>;maven-scm-publish-plugin:<no-version>;maven-surefire-plugin:<no-version>
jsoup,jsoup/pom.xml,1.15.3,junit:junit:4.12;org.junit.jupiter:junit-jupiter-api:5.10.2;org.junit.jupiter:junit-jupiter-engine:5.10.2;org.junit.jupiter:junit-jupiter-params:5.10.2,1.22.0,maven-compiler-plugin:3.10.1;maven-gpg-plugin:<no-version>;maven-jar-plugin:3.2.2;maven-javadoc-plugin:3.4.0;maven-resources-plugin:3.3.0;maven-source-plugin:3.2.1;maven-surefire-plugin:3.0.0-M7
commons-numbers-1.0-src,commons-numbers-1.0-src/pom.xml,1.0,junit:junit:4.12;org.junit.jupiter:junit-jupiter-engine:<no-version>;org.junit.jupiter:junit-jupiter-params:<no-version>;org.junit:junit-bom:${numbers.junit.bom.version},,maven-antrun-plugin:<no-version>;maven-changes-plugin:${commons.changes.version};maven-checkstyle-plugin:${numbers.checkstyle.version};maven-checkstyle-plugin:<no-version>;maven-compiler-plugin:<no-version>;maven-jar-plugin:<no-version>;maven-javadoc-plugin:<no-version>;maven-scm-publish-plugin:<no-version>;maven-surefire-plugin:2.22.0;maven-surefire-plugin:<no-version>
commons-numbers-1.0-src/commons-numbers-arrays,commons-numbers-1.0-src/commons-numbers-arrays/pom.xml,1.0,junit:junit:4.12,1.22.0,
commons-numbers-1.0-src/commons-numbers-rootfinder,commons-numbers-1.0-src/commons-numbers-rootfinder/pom.xml,1.0,junit:junit:4.12,1.22.0,
commons-numbers-1.0-src/commons-numbers-complex,commons-numbers-1.0-src/commons-numbers-complex/pom.xml,1.0,junit:junit:4.12,1.22.0,
commons-numbers-1.0-src/dist-archive,commons-numbers-1.0-src/dist-archive/pom.xml,1.0,,,
commons-numbers-1.0-src/commons-numbers-quaternion,commons-numbers-1.0-src/commons-numbers-quaternion/pom.xml,1.0,junit:junit:4.12,1.22.0,
commons-numbers-1.0-src/commons-numbers-examples,commons-numbers-1.0-src/commons-numbers-examples/pom.xml,1.0,,,
commons-numbers-1.0-src/commons-numbers-examples/examples-jmh,commons-numbers-1.0-src/commons-numbers-examples/examples-jmh/pom.xml,1.0,,,maven-compiler-plugin:<no-version>;maven-javadoc-plugin:<no-version>;maven-shade-plugin:<no-version>
commons-numbers-1.0-src/commons-numbers-primes,commons-numbers-1.0-src/commons-numbers-primes/pom.xml,1.0,junit:junit:4.12,1.22.0,
commons-numbers-1.0-src/commons-numbers-angle,commons-numbers-1.0-src/commons-numbers-angle/pom.xml,1.0,junit:junit:4.12,1.22.0,
commons-numbers-1.0-src/commons-numbers-combinatorics,commons-numbers-1.0-src/commons-numbers-combinatorics/pom.xml,1.0,junit:junit:4.12,1.22.0,
commons-numbers-1.0-src/commons-numbers-gamma,commons-numbers-1.0-src/commons-numbers-gamma/pom.xml,1.0,junit:junit:4.12,1.22.0,
commons-numbers-1.0-src/commons-numbers-core,commons-numbers-1.0-src/commons-numbers-core/pom.xml,1.0,junit:junit:4.12,1.22.0,maven-jar-plugin:<no-version>
commons-numbers-1.0-src/commons-numbers-fraction,commons-numbers-1.0-src/commons-numbers-fraction/pom.xml,1.0,junit:junit:4.12,1.22.0,
commons-numbers-1.0-src/commons-numbers-field,commons-numbers-1.0-src/commons-numbers-field/pom.xml,1.0,junit:junit:4.12,1.22.0,
spark,spark/pom.xml,2.9.3,junit:junit:4.12,1.22.0,maven-compiler-plugin:3.8.0;maven-enforcer-plugin:1.4.1;maven-javadoc-plugin:3.0.1;maven-surefire-plugin:2.22.0
JSON-java,JSON-java/pom.xml,20220924,junit:junit:4.12,1.22.0,maven-compiler-plugin:2.3.2;maven-gpg-plugin:1.5;maven-jar-plugin:3.2.0;maven-javadoc-plugin:2.7;maven-source-plugin:2.1.2;maven-surefire-plugin:2.22.0
commons-jcs3-3.1-src,commons-jcs3-3.1-src/pom.xml,3.1,junit:junit:4.12,,maven-assembly-plugin:<no-version>;maven-javadoc-plugin:3.3.1;maven-pmd-plugin:${commons.pmd.version};maven-surefire-plugin:2.22.0;maven-surefire-plugin:<no-version>
commons-jcs3-3.1-src/commons-jcs-jcache,commons-jcs3-3.1-src/commons-jcs-jcache/pom.xml,3.1,junit:junit:4.12;junit:junit:<no-version>,1.22.0,maven-jar-plugin:<no-version>;maven-surefire-plugin:${commons.surefire.version}
commons-jcs3-3.1-src/commons-jcs-tck-tests,commons-jcs3-3.1-src/commons-jcs-tck-tests/pom.xml,3.1,junit:junit:4.12;junit:junit:<no-version>,,maven-dependency-plugin:<no-version>;maven-jar-plugin:<no-version>;maven-javadoc-plugin:<no-version>;maven-source-plugin:<no-version>;maven-surefire-plugin:2.22.0
commons-jcs3-3.1-src/commons-jcs-core,commons-jcs3-3.1-src/commons-jcs-core/pom.xml,3.1,junit:junit:4.12;junit:junit:<no-version>,1.22.0,maven-jar-plugin:<no-version>;maven-surefire-plugin:${commons.surefire.version};maven-surefire-plugin:<no-version>
commons-jcs3-3.1-src/commons-jcs-jcache-extras,commons-jcs3-3.1-src/commons-jcs-jcache-extras/pom.xml,3.1,junit:junit:4.12;junit:junit:<no-version>,1.22.0,maven-surefire-plugin:${commons.surefire.version}
commons-jcs3-3.1-src/commons-jcs-dist,commons-jcs3-3.1-src/commons-jcs-dist/pom.xml,3.1,junit:junit:4.12,,maven-assembly-plugin:3.3.0;maven-deploy-plugin:<no-version>;maven-site-plugin:<no-version>
commons-jcs3-3.1-src/commons-jcs-jcache-openjpa,commons-jcs3-3.1-src/commons-jcs-jcache-openjpa/pom.xml,3.1,junit:junit:4.12;junit:junit:<no-version>,1.22.0,maven-surefire-plugin:${commons.surefire.version}
scribejava,scribejava/pom.xml,8.3.1,junit:junit:4.12;junit:junit:4.13.2,,maven-checkstyle-plugin:3.1.2;maven-clean-plugin:3.1.0;maven-gpg-plugin:3.0.1;maven-install-plugin:2.5.2;maven-jar-plugin:3.2.0;maven-javadoc-plugin:3.2.0;maven-pmd-plugin:3.14.0;maven-release-plugin:2.5.3;maven-resources-plugin:3.2.0;maven-source-plugin:3.2.1;maven-surefire-plugin:2.22.2
scribejava/scribejava-core,scribejava/scribejava-core/pom.xml,8.3.1,,1.22.0,maven-jar-plugin:<no-version>
commons-numbers-1.0-test,commons-numbers-1.0-test/pom.xml,1.0,org.junit.jupiter:junit-jupiter-engine:<no-version>;org.junit.jupiter:junit-jupiter-params:<no-version>;org.junit:junit-bom:${numbers.junit.bom.version},,maven-antrun-plugin:<no-version>;maven-changes-plugin:${commons.changes.version};maven-checkstyle-plugin:${numbers.checkstyle.version};maven-checkstyle-plugin:<no-version>;maven-compiler-plugin:<no-version>;maven-jar-plugin:<no-version>;maven-javadoc-plugin:<no-version>;maven-scm-publish-plugin:<no-version>;maven-surefire-plugin:<no-version>
commons-numbers-1.0-test/commons-numbers-core,commons-numbers-1.0-test/commons-numbers-core/pom.xml,1.0,,,maven-jar-plugin:<no-version>
commons-numbers-1.0-test/commons-numbers-field,commons-numbers-1.0-test/commons-numbers-field/pom.xml,1.0,,,
commons-numbers-1.0-test/commons-numbers-quaternion,commons-numbers-1.0-test/commons-numbers-quaternion/pom.xml,1.0,,,
commons-numbers-1.0-test/dist-archive,commons-numbers-1.0-test/dist-archive/pom.xml,1.0,,,
commons-numbers-1.0-test/commons-numbers-gamma,commons-numbers-1.0-test/commons-numbers-gamma/pom.xml,1.0,,,
commons-numbers-1.0-test/commons-numbers-primes,commons-numbers-1.0-test/commons-numbers-primes/pom.xml,1.0,,,
commons-numbers-1.0-test/commons-numbers-angle,commons-numbers-1.0-test/commons-numbers-angle/pom.xml,1.0,,1.22.0,
commons-numbers-1.0-test/commons-numbers-rootfinder,commons-numbers-1.0-test/commons-numbers-rootfinder/pom.xml,1.0,,,
commons-numbers-1.0-test/commons-numbers-arrays,commons-numbers-1.0-test/commons-numbers-arrays/pom.xml,1.0,,,
commons-numbers-1.0-test/commons-numbers-combinatorics,commons-numbers-1.0-test/commons-numbers-combinatorics/pom.xml,1.0,,,
commons-numbers-1.0-test/commons-numbers-examples,commons-numbers-1.0-test/commons-numbers-examples/pom.xml,1.0,,,
commons-numbers-1.0-test/commons-numbers-examples/examples-jmh,commons-numbers-1.0-test/commons-numbers-examples/examples-jmh/pom.xml,1.0,,,maven-compiler-plugin:<no-version>;maven-javadoc-plugin:<no-version>;maven-shade-plugin:<no-version>
commons-numbers-1.0-test/commons-numbers-complex,commons-numbers-1.0-test/commons-numbers-complex/pom.xml,1.0,,,
commons-numbers-1.0-test/commons-numbers-fraction,commons-numbers-1.0-test/commons-numbers-fraction/pom.xml,1.0,,,
commons-rng-1.4-src,commons-rng-1.4-src/pom.xml,1.4,junit:junit:4.12;org.junit.jupiter:junit-jupiter-api:5.9.3;org.junit.jupiter:junit-jupiter-engine:5.9.3;org.junit.jupiter:junit-jupiter-params:5.9.3,,maven-antrun-plugin:${rng.antrun.version};maven-changes-plugin:${commons.changes.version};maven-checkstyle-plugin:${rng.checkstyle.version};maven-compiler-plugin:<no-version>;maven-jar-plugin:<no-version>;maven-javadoc-plugin:<no-version>;maven-scm-publish-plugin:<no-version>;maven-surefire-plugin:${rng.surefire.version};maven-surefire-plugin:2.17;maven-surefire-plugin:<no-version>
commons-rng-1.4-src/commons-rng-simple,commons-rng-1.4-src/commons-rng-simple/pom.xml,1.4,,1.22.0,
commons-rng-1.4-src/dist-archive,commons-rng-1.4-src/dist-archive/pom.xml,1.4,,,
commons-rng-1.4-src/commons-rng-core,commons-rng-1.4-src/commons-rng-core/pom.xml,1.4,junit:junit:4.12;org.junit.jupiter:junit-jupiter-api:5.9.3;org.junit.jupiter:junit-jupiter-engine:5.9.3;org.junit.jupiter:junit-jupiter-params:5.9.3,1.22.0,
commons-rng-1.4-src/commons-rng-examples,commons-rng-1.4-src/commons-rng-examples/pom.xml,1.4,,,
commons-rng-1.4-src/commons-rng-examples/examples-stress,commons-rng-1.4-src/commons-rng-examples/examples-stress/pom.xml,1.4,,,maven-shade-plugin:${rng.shade.version}
commons-rng-1.4-src/commons-rng-examples/examples-quadrature,commons-rng-1.4-src/commons-rng-examples/examples-quadrature/pom.xml,1.4,,,maven-shade-plugin:${rng.shade.version}
commons-rng-1.4-src/commons-rng-examples/examples-jmh,commons-rng-1.4-src/commons-rng-examples/examples-jmh/pom.xml,1.4,,,maven-shade-plugin:${rng.shade.version}
commons-rng-1.4-src/commons-rng-examples/examples-sampling,commons-rng-1.4-src/commons-rng-examples/examples-sampling/pom.xml,1.4,,,maven-shade-plugin:${rng.shade.version}
commons-rng-1.4-src/commons-rng-examples/examples-jpms,commons-rng-1.4-src/commons-rng-examples/examples-jpms/pom.xml,1.4,,,
commons-rng-1.4-src/commons-rng-examples/examples-jpms/jpms-app,commons-rng-1.4-src/commons-rng-examples/examples-jpms/jpms-app/pom.xml,1.4,,,
commons-rng-1.4-src/commons-rng-examples/examples-jpms/jpms-lib,commons-rng-1.4-src/commons-rng-examples/examples-jpms/jpms-lib/pom.xml,1.4,,,
commons-rng-1.4-src/commons-rng-sampling,commons-rng-1.4-src/commons-rng-sampling/pom.xml,1.4,,1.22.0,
commons-rng-1.4-src/commons-rng-client-api,commons-rng-1.4-src/commons-rng-client-api/pom.xml,1.4,,,
commons-rng-1.4-src/docs-archive,commons-rng-1.4-src/docs-archive/pom.xml,1.4,,,maven-javadoc-plugin:<no-version>;maven-source-plugin:<no-version>
commons-weaver-2.0-src,commons-weaver-2.0-src/pom.xml,2.0,junit:junit:4.12,,maven-antrun-plugin:1.8;maven-antrun-plugin:<no-version>;maven-gpg-plugin:<no-version>;maven-javadoc-plugin:<no-version>;maven-project-info-reports-plugin:<no-version>;maven-release-plugin:<no-version>;maven-scm-publish-plugin:<no-version>;maven-shade-plugin:3.1.1;maven-site-plugin:<no-version>;maven-surefire-plugin:2.22.0
commons-weaver-2.0-src/ant,commons-weaver-2.0-src/ant/pom.xml,2.0,,1.22.0,maven-checkstyle-plugin:${checkstyle.version};maven-clean-plugin:<no-version>;maven-jar-plugin:<no-version>;maven-pmd-plugin:<no-version>;maven-shade-plugin:<no-version>;maven-source-plugin:<no-version>
commons-weaver-2.0-src/processor,commons-weaver-2.0-src/processor/pom.xml,2.0,junit:junit:<no-version>,1.22.0,maven-checkstyle-plugin:${checkstyle.version};maven-pmd-plugin:<no-version>
commons-weaver-2.0-src/parent,commons-weaver-2.0-src/parent/pom.xml,2.0,junit:junit:4.12,,maven-checkstyle-plugin:${checkstyle.version};maven-dependency-plugin:2.10;maven-jar-plugin:<no-version>;maven-javadoc-plugin:<no-version>;maven-pmd-plugin:3.10.0;maven-pmd-plugin:<no-version>;maven-source-plugin:<no-version>;maven-surefire-report-plugin:<no-version>
commons-weaver-2.0-src/dist,commons-weaver-2.0-src/dist/pom.xml,2.0,,1.22.0,
commons-weaver-2.0-src/build-tools,commons-weaver-2.0-src/build-tools/pom.xml,2.0,,1.22.0,maven-jar-plugin:<no-version>;maven-javadoc-plugin:<no-version>
commons-weaver-2.0-src/modules,commons-weaver-2.0-src/modules/pom.xml,2.0,,,
commons-weaver-2.0-src/modules/privilizer,commons-weaver-2.0-src/modules/privilizer/pom.xml,2.0,,,
commons-weaver-2.0-src/modules/privilizer/api,commons-weaver-2.0-src/modules/privilizer/api/pom.xml,2.0,,1.22.0,maven-checkstyle-plugin:${checkstyle.version};maven-jar-plugin:<no-version>;maven-pmd-plugin:<no-version>;maven-source-plugin:<no-version>
commons-weaver-2.0-src/modules/privilizer/weaver,commons-weaver-2.0-src/modules/privilizer/weaver/pom.xml,2.0,,1.22.0,maven-checkstyle-plugin:${checkstyle.version};maven-clean-plugin:<no-version>;maven-jar-plugin:<no-version>;maven-pmd-plugin:<no-version>;maven-shade-plugin:<no-version>;maven-source-plugin:<no-version>
commons-weaver-2.0-src/modules/privilizer/weaver/src/it/sample,commons-weaver-2.0-src/modules/privilizer/weaver/src/it/sample/pom.xml,1.0-SNAPSHOT,junit:junit:4.12,,maven-antrun-plugin:1.8;maven-resources-plugin:<no-version>;maven-surefire-plugin:2.19;maven-surefire-plugin:<no-version>
commons-weaver-2.0-src/modules/normalizer,commons-weaver-2.0-src/modules/normalizer/pom.xml,2.0,junit:junit:<no-version>,1.22.0,maven-antrun-plugin:<no-version>;maven-checkstyle-plugin:${checkstyle.version};maven-clean-plugin:<no-version>;maven-dependency-plugin:<no-version>;maven-pmd-plugin:<no-version>;maven-shade-plugin:<no-version>
commons-weaver-2.0-src/maven-plugin,commons-weaver-2.0-src/maven-plugin/pom.xml,2.0,,1.22.0,maven-checkstyle-plugin:${checkstyle.version};maven-checkstyle-plugin:<no-version>;maven-plugin-plugin:${maven.plugin.version};maven-pmd-plugin:<no-version>;maven-source-plugin:<no-version>
bcel-6.5.0-src,bcel-6.5.0-src/pom.xml,6.5.0,junit:junit:4.12,1.22.0,maven-checkstyle-plugin:${checkstyle.plugin.version};maven-jar-plugin:<no-version>;maven-pmd-plugin:3.13.0;maven-scm-publish-plugin:<no-version>;maven-source-plugin:<no-version>
commons-vfs-2.9.0,commons-vfs-2.9.0/pom.xml,2.9.0,junit:junit:4.13.2,,maven-antrun-plugin:<no-version>;maven-checkstyle-plugin:${version.checkstyle};maven-checkstyle-plugin:<no-version>;maven-javadoc-plugin:${commons.javadoc.version};maven-pmd-plugin:3.14.0;maven-pmd-plugin:<no-version>;maven-project-info-reports-plugin:${commons.project-info.version};maven-surefire-plugin:2.22.0;maven-surefire-plugin:<no-version>
commons-vfs-2.9.0/commons-vfs2,commons-vfs-2.9.0/commons-vfs2/pom.xml,2.9.0,junit:junit:<no-version>,1.22.0,maven-antrun-plugin:<no-version>;maven-jar-plugin:<no-version>;maven-surefire-plugin:<no-version>
commons-vfs-2.9.0/commons-vfs2-jackrabbit1,commons-vfs-2.9.0/commons-vfs2-jackrabbit1/pom.xml,2.9.0,junit:junit:<no-version>,,maven-antrun-plugin:<no-version>;maven-jar-plugin:<no-version>;maven-surefire-plugin:<no-version>
commons-vfs-2.9.0/commons-vfs2-jackrabbit2,commons-vfs-2.9.0/commons-vfs2-jackrabbit2/pom.xml,2.9.0,junit:junit:<no-version>,,maven-antrun-plugin:<no-version>;maven-jar-plugin:<no-version>;maven-surefire-plugin:<no-version>
commons-vfs-2.9.0/commons-vfs2-examples,commons-vfs-2.9.0/commons-vfs2-examples/pom.xml,2.9.0,junit:junit:<no-version>,1.22.0,
commons-vfs-2.9.0/commons-vfs2-distribution,commons-vfs-2.9.0/commons-vfs2-distribution/pom.xml,2.9.0,junit:junit:<no-version>,,
http-request,http-request/pom.xml,6.0,junit:junit:4.12,1.22.0,maven-compiler-plugin:2.3.2;maven-gpg-plugin:1.4;maven-jar-plugin:2.3.2;maven-javadoc-plugin:2.8;maven-site-plugin:3.0;maven-source-plugin:2.1.2
joda-time,joda-time/pom.xml,2.11.2,junit:junit:4.12,1.22.0,maven-assembly-plugin:${maven-assembly-plugin.version};maven-assembly-plugin:<no-version>;maven-changes-plugin:${maven-changes-plugin.version};maven-checkstyle-plugin:${maven-checkstyle-plugin.version};maven-clean-plugin:${maven-clean-plugin.version};maven-compiler-plugin:${maven-compiler-plugin.version};maven-dependency-plugin:${maven-dependency-plugin.version};maven-deploy-plugin:${maven-deploy-plugin.version};maven-enforcer-plugin:${maven-enforcer-plugin.version};maven-enforcer-plugin:<no-version>;maven-gpg-plugin:${maven-gpg-plugin.version};maven-gpg-plugin:<no-version>;maven-install-plugin:${maven-install-plugin.version};maven-jar-plugin:${maven-jar-plugin.version};maven-jar-plugin:<no-version>;maven-javadoc-plugin:${maven-javadoc-plugin.version};maven-javadoc-plugin:<no-version>;maven-jxr-plugin:${maven-jxr-plugin.version};maven-plugin-plugin:${maven-plugin-plugin.version};maven-pmd-plugin:${maven-pmd-plugin.version};maven-project-info-reports-plugin:${maven-project-info-reports-plugin.version};maven-release-plugin:${maven-release-plugin.version};maven-repository-plugin:${maven-repository-plugin.version};maven-resources-plugin:${maven-resources-plugin.version};maven-site-plugin:${maven-site-plugin.version};maven-source-plugin:${maven-source-plugin.version};maven-source-plugin:<no-version>;maven-surefire-plugin:${maven-surefire-plugin.version};maven-surefire-report-plugin:${maven-surefire-report-plugin.version};maven-toolchains-plugin:${maven-toolchains-plugin.version}
