classname,method,docstring,annotations,method_definition
org.apache.bcel.EnclosingMethodAttributeTestCase,void testCheckMethodLevelNamedInnerClass(),"/**
     * Verify for an inner class declared inside the 'main' method that the
     * enclosing method attribute is set correctly.
     */",,"public void testCheckMethodLevelNamedInnerClass()
            throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.AttributeTestClassEM01$1S"");
        final ConstantPool pool = clazz.getConstantPool();
        final Attribute[] encMethodAttrs = findAttribute(""EnclosingMethod"", clazz);
        assertTrue(""Expected 1 EnclosingMethod attribute but found ""
                + encMethodAttrs.length, encMethodAttrs.length == 1);
        final EnclosingMethod em = (EnclosingMethod) encMethodAttrs[0];
        final String enclosingClassName = em.getEnclosingClass().getBytes(pool);
        final String enclosingMethodName = em.getEnclosingMethod().getName(pool);
        assertTrue(
                ""Expected class name to be '""+PACKAGE_BASE_SIG+""/data/AttributeTestClassEM01' but was ""
                        + enclosingClassName, enclosingClassName
                        .equals(PACKAGE_BASE_SIG+""/data/AttributeTestClassEM01""));
        assertTrue(""Expected method name to be 'main' but was ""
                + enclosingMethodName, enclosingMethodName.equals(""main""));
    }"
org.apache.bcel.EnclosingMethodAttributeTestCase,void testCheckClassLevelNamedInnerClass(),"/**
     * Verify for an inner class declared at the type level that the
     * EnclosingMethod attribute is set correctly (i.e. to a null value)
     */",,"public void testCheckClassLevelNamedInnerClass()
            throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.AttributeTestClassEM02$1"");
        final ConstantPool pool = clazz.getConstantPool();
        final Attribute[] encMethodAttrs = findAttribute(""EnclosingMethod"", clazz);
        assertTrue(""Expected 1 EnclosingMethod attribute but found ""
                + encMethodAttrs.length, encMethodAttrs.length == 1);
        final EnclosingMethod em = (EnclosingMethod) encMethodAttrs[0];
        final String enclosingClassName = em.getEnclosingClass().getBytes(pool);
        assertTrue(
                ""The class is not within a method, so method_index should be null, but it is ""
                        + em.getEnclosingMethodIndex(), em
                        .getEnclosingMethodIndex() == 0);
        assertTrue(
                ""Expected class name to be '""+PACKAGE_BASE_SIG+""/data/AttributeTestClassEM02' but was ""
                        + enclosingClassName, enclosingClassName
                        .equals(PACKAGE_BASE_SIG+""/data/AttributeTestClassEM02""));
    }"
org.apache.bcel.EnclosingMethodAttributeTestCase,void testAttributeSerializtion(),"/**
     * Check that we can save and load the attribute correctly.
     */",,"public void testAttributeSerializtion() throws ClassNotFoundException,
            IOException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.AttributeTestClassEM02$1"");
        final ConstantPool pool = clazz.getConstantPool();
        final Attribute[] encMethodAttrs = findAttribute(""EnclosingMethod"", clazz);
        assertTrue(""Expected 1 EnclosingMethod attribute but found ""
                + encMethodAttrs.length, encMethodAttrs.length == 1);
        // Write it out
        final File tfile = createTestdataFile(""AttributeTestClassEM02$1.class"");
        clazz.dump(tfile);
        // Read in the new version and check it is OK
        final SyntheticRepository repos2 = createRepos(""."");
        final JavaClass clazz2 = repos2.loadClass(""AttributeTestClassEM02$1"");
        Assert.assertNotNull(clazz2); // Use the variable to avoid a warning
        final EnclosingMethod em = (EnclosingMethod) encMethodAttrs[0];
        final String enclosingClassName = em.getEnclosingClass().getBytes(pool);
        assertTrue(
                ""The class is not within a method, so method_index should be null, but it is ""
                        + em.getEnclosingMethodIndex(), em
                        .getEnclosingMethodIndex() == 0);
        assertTrue(
                ""Expected class name to be '""+PACKAGE_BASE_SIG+""/data/AttributeTestClassEM02' but was ""
                        + enclosingClassName, enclosingClassName
                        .equals(PACKAGE_BASE_SIG+""/data/AttributeTestClassEM02""));
        tfile.deleteOnExit();
    }"
org.apache.bcel.AnnotationDefaultAttributeTestCase,void testMethodAnnotations(),"/**
     * For values in an annotation that have default values, we should be able
     * to query the AnnotationDefault attribute against the method to discover
     * the default value that was originally declared.
     */",,"public void testMethodAnnotations() throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.SimpleAnnotation"");
        final Method m = getMethod(clazz, ""fruit"");
        final AnnotationDefault a = (AnnotationDefault) findAttribute(
                ""AnnotationDefault"", m.getAttributes());
        final SimpleElementValue val = (SimpleElementValue) a.getDefaultValue();
        assertTrue(""Should be STRING but is "" + val.getElementValueType(), val
                .getElementValueType() == ElementValue.STRING);
        assertTrue(""Should have default of bananas but default is ""
                + val.getValueString(), val.getValueString().equals(""bananas""));
    }"
org.apache.bcel.NanoTimer,start(),,,"public NanoTimer start() {
        time -= System.nanoTime();
        return this;
    }"
org.apache.bcel.NanoTimer,void stop(),,,"public void stop() {
        time += System.nanoTime();
    }"
org.apache.bcel.NanoTimer,void subtract(final NanoTimer o),,,"public void subtract(final NanoTimer o) {
        time -= o.time;
    }"
org.apache.bcel.NanoTimer,void reset(),,,"public void reset() {
        time = 0;
    }"
org.apache.bcel.NanoTimer,toString(),"/**
     * May ony be called after stop has been called as many times as start.
     */",,"@Override
    public String toString() {
        return ((double) time / 1000000000) + "" s"";
    }"
org.apache.bcel.BCELBenchmark,getJarFile(),,,"private JarFile getJarFile() throws IOException {
        String javaHome = System.getProperty(""java.home"");
        return new JarFile(javaHome + ""/lib/rt.jar"");
    }"
org.apache.bcel.BCELBenchmark,getClasses(JarFile jar),,,"private Iterable<JarEntry> getClasses(JarFile jar) {
        return new IteratorIterable<>(new FilterIterator<>(new EnumerationIterator<>(jar.entries()), new Predicate<JarEntry>() {
            @Override
            public boolean evaluate(JarEntry entry) {
                return entry.getName().endsWith("".class"");
            }
        }));
    }"
org.apache.bcel.BCELBenchmark,evaluate(JarEntry entry),,,"@Override
            public boolean evaluate(JarEntry entry) {
                return entry.getName().endsWith("".class"");
            }"
org.apache.bcel.BCELBenchmark,void baseline(Blackhole bh),"/**
     * Baseline benchmark. Read the classes but don't parse them.
     */",,"@Benchmark
    public void baseline(Blackhole bh) throws IOException {
        JarFile jar = getJarFile();

        for (JarEntry entry : getClasses(jar)) {
            byte[] bytes = IOUtils.toByteArray(jar.getInputStream(entry));
            bh.consume(bytes);
        }

        jar.close();
    }"
org.apache.bcel.BCELBenchmark,void parser(Blackhole bh),,,"@Benchmark
    public void parser(Blackhole bh) throws IOException {
        JarFile jar = getJarFile();

        for (JarEntry entry : getClasses(jar)) {
            byte[] bytes = IOUtils.toByteArray(jar.getInputStream(entry));

            JavaClass clazz = new ClassParser(new ByteArrayInputStream(bytes), entry.getName()).parse();
            bh.consume(clazz);
        }

        jar.close();
    }"
org.apache.bcel.BCELBenchmark,void generator(Blackhole bh),,,"@Benchmark
    public void generator(Blackhole bh) throws IOException {
        JarFile jar = getJarFile();

        for (JarEntry entry : getClasses(jar)) {
            byte[] bytes = IOUtils.toByteArray(jar.getInputStream(entry));

            JavaClass clazz = new ClassParser(new ByteArrayInputStream(bytes), entry.getName()).parse();

            ClassGen cg = new ClassGen(clazz);

            for (Method m : cg.getMethods()) {
                MethodGen mg = new MethodGen(m, cg.getClassName(), cg.getConstantPool());
                InstructionList il = mg.getInstructionList();

                if (il != null) {
                    mg.getInstructionList().setPositions();
                    mg.setMaxLocals();
                    mg.setMaxStack();
                }
                cg.replaceMethod(m, mg.getMethod());
            }

            bh.consume(cg.getJavaClass().getBytes());
        }

        jar.close();
    }"
org.apache.bcel.HandleTestCase,void branchHandles(),"/**
     * Asserts that branch handles can be added an instruction list, without
     * corrupting the list.
     */",,"static void branchHandles() {
        for (int i = 0; i < MAXI; i++) {
            final InstructionList list = new InstructionList();
            final InstructionHandle start = list.append(new NOP());
            try {
                for (int j = 0; j < MAXJ; j++) {
                    list.append(new GOTO(start));
                }
                final InstructionHandle[] instructionHandles = list.getInstructionHandles();
                for (int j = 0; j < instructionHandles.length; j++) {
                    final InstructionHandle handle = instructionHandles[j];
                    if (j > 0) {
                        checkLinkage(handle, j);
                        if (start != ((GOTO) handle.getInstruction()).getTarget()) {
                            final AssertionFailedError error = new AssertionFailedError(
                                    ""unexpected instruction at index "" + j);
                            exception = error;
                            throw error;
                        }
                    }
                }
                if (exception != null) {
                    return;
                }
            } catch (final NullPointerException e) {
                System.out.println(""NPE at i="" + i);
                exception = e;
                throw e;
            }
            list.dispose(); // this initializes caching of unused instruction handles
        }
    }"
org.apache.bcel.HandleTestCase,"void checkLinkage(final InstructionHandle ih, final int index)","/**
     * Assert that opposite next/prev pairs always match.
     */",,"static void checkLinkage(final InstructionHandle ih, final int index) {
        final InstructionHandle prev = ih.getPrev();
        final InstructionHandle next = ih.getNext();
        if ((prev != null && prev.getNext() != ih) || (next != null && next.getPrev() != ih)) {
            final AssertionFailedError error = new AssertionFailedError(""corrupt instruction list at index "" + index);
            exception = error;
            throw error;
        }
    }"
org.apache.bcel.HandleTestCase,void handles(),"/**
     * Asserts that instruction handles can be added an instruction list, without
     * corrupting the list.
     */",,"static void handles() {
        for (int i = 0; i < MAXI; i++) {
            final InstructionList list = new InstructionList();
            try {
                for (int j = 0; j < MAXJ; j++) {
                    list.append(new ILOAD(j));
                }
                final InstructionHandle[] instructionHandles = list.getInstructionHandles();
                for (int j = 0; j < instructionHandles.length; j++) {
                    final InstructionHandle handle = instructionHandles[j];
                    checkLinkage(handle, j);
                    if (j != ((ILOAD) handle.getInstruction()).getIndex()) {
                        final AssertionFailedError error = new AssertionFailedError(""unexpected instruction at index "" + j);
                        exception = error;
                        throw error;
                    }
                }
                if (exception != null) {
                    return;
                }
            } catch (final NullPointerException e) {
                System.out.println(""NPE at i="" + i);
                exception = e;
                throw e;
            }
            list.dispose(); // this initializes caching of unused instruction handles
        }
    }"
org.apache.bcel.HandleTestCase,void perform(final Runnable r),"/**
     * Concurrently run the given runnable in two threads.
     */",,"private void perform(final Runnable r) throws Throwable {
        exception = null;
        final Thread t1 = new Thread(r);
        final Thread t2 = new Thread(r);
        t1.start();
        t2.start();
        t1.join();
        t2.join();
        if (exception != null) {
            throw exception;
        }
    }"
org.apache.bcel.HandleTestCase,void testBranchHandle(),"/**
     * Assert that two independent instruction lists can be modified concurrently.
     * Here: inserting branch instructions.
     */",,"@Test
    public void testBranchHandle() throws Throwable {
        perform(HandleTestCase::branchHandles);
    }"
org.apache.bcel.HandleTestCase,void testInstructionHandle(),"/**
     * Assert that two independent instruction lists can be modified concurrently.
     * Here: inserting regular instructions.
     */",,"@Test
    public void testInstructionHandle() throws Throwable {
        perform(HandleTestCase::handles);
    }"
org.apache.bcel.EnumAccessFlagTestCase,void testEnumClassSaysItIs(),"/**
     * An enumerated type, once compiled, should result in a class file that is
     * marked such that we can determine from the access flags (through BCEL)
     * that it was originally an enum type declaration.
     */",,"public void testEnumClassSaysItIs() throws ClassNotFoundException
    {
        JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.SimpleEnum"");
        assertTrue(
                ""Expected SimpleEnum class to say it was an enum - but it didn't !"",
                clazz.isEnum());
        clazz = getTestClass(PACKAGE_BASE_NAME+"".data.SimpleClass"");
        assertTrue(
                ""Expected SimpleClass class to say it was not an enum - but it didn't !"",
                !clazz.isEnum());
    }"
org.apache.bcel.AbstractCounterVisitorTestCase,getTestClass(),,,protected abstract JavaClass getTestClass() throws ClassNotFoundException;
org.apache.bcel.AbstractCounterVisitorTestCase,void setUp(),,,"@Override
    public void setUp() throws ClassNotFoundException
    {
        visitor = new CounterVisitor();
        new DescendingVisitor(getTestClass(), getVisitor()).visit();
    }"
org.apache.bcel.AbstractCounterVisitorTestCase,getVisitor(),,,"public CounterVisitor getVisitor()
    {
        if (visitor == null) {
            visitor = new CounterVisitor();
        }
        return visitor;
    }"
org.apache.bcel.AbstractCounterVisitorTestCase,void setVisitor(final CounterVisitor visitor),,,"public void setVisitor(final CounterVisitor visitor)
    {
        this.visitor = visitor;
    }"
org.apache.bcel.ElementValueGenTestCase,createClassGen(final String classname),,,"private ClassGen createClassGen(final String classname)
    {
        return new ClassGen(classname, ""java.lang.Object"", ""<generated>"",
                Const.ACC_PUBLIC | Const.ACC_SUPER, null);
    }"
org.apache.bcel.ElementValueGenTestCase,void testCreateIntegerElementValue(),"/**
     * Create primitive element values
     */",,"public void testCreateIntegerElementValue() throws Exception
    {
        final ClassGen cg = createClassGen(""HelloWorld"");
        final ConstantPoolGen cp = cg.getConstantPool();
        final SimpleElementValueGen evg = new SimpleElementValueGen(
                ElementValueGen.PRIMITIVE_INT, cp, 555);
        // Creation of an element like that should leave a new entry in the
        // cpool
        assertTrue(""Should have the same index in the constantpool but ""
                + evg.getIndex() + ""!="" + cp.lookupInteger(555),
                evg.getIndex() == cp.lookupInteger(555));
        checkSerialize(evg, cp);
    }"
org.apache.bcel.ElementValueGenTestCase,void testCreateFloatElementValue(),,,"public void testCreateFloatElementValue() throws Exception
    {
        final ClassGen cg = createClassGen(""HelloWorld"");
        final ConstantPoolGen cp = cg.getConstantPool();
        final SimpleElementValueGen evg = new SimpleElementValueGen(
                ElementValueGen.PRIMITIVE_FLOAT, cp, 111.222f);
        // Creation of an element like that should leave a new entry in the
        // cpool
        assertTrue(""Should have the same index in the constantpool but ""
                + evg.getIndex() + ""!="" + cp.lookupFloat(111.222f), evg
                .getIndex() == cp.lookupFloat(111.222f));
        checkSerialize(evg, cp);
    }"
org.apache.bcel.ElementValueGenTestCase,void testCreateDoubleElementValue(),,,"public void testCreateDoubleElementValue() throws Exception
    {
        final ClassGen cg = createClassGen(""HelloWorld"");
        final ConstantPoolGen cp = cg.getConstantPool();
        final SimpleElementValueGen evg = new SimpleElementValueGen(
                ElementValueGen.PRIMITIVE_DOUBLE, cp, 333.44);
        // Creation of an element like that should leave a new entry in the
        // cpool
        final int idx = cp.lookupDouble(333.44);
        assertTrue(""Should have the same index in the constantpool but ""
                + evg.getIndex() + ""!="" + idx, evg.getIndex() == idx);
        checkSerialize(evg, cp);
    }"
org.apache.bcel.ElementValueGenTestCase,void testCreateLongElementValue(),,,"public void testCreateLongElementValue() throws Exception
    {
        final ClassGen cg = createClassGen(""HelloWorld"");
        final ConstantPoolGen cp = cg.getConstantPool();
        final SimpleElementValueGen evg = new SimpleElementValueGen(
                ElementValueGen.PRIMITIVE_LONG, cp, 3334455L);
        // Creation of an element like that should leave a new entry in the
        // cpool
        final int idx = cp.lookupLong(3334455L);
        assertTrue(""Should have the same index in the constantpool but ""
                + evg.getIndex() + ""!="" + idx, evg.getIndex() == idx);
        checkSerialize(evg, cp);
    }"
org.apache.bcel.ElementValueGenTestCase,void testCreateCharElementValue(),,,"public void testCreateCharElementValue() throws Exception
    {
        final ClassGen cg = createClassGen(""HelloWorld"");
        final ConstantPoolGen cp = cg.getConstantPool();
        final SimpleElementValueGen evg = new SimpleElementValueGen(
                ElementValueGen.PRIMITIVE_CHAR, cp, 't');
        // Creation of an element like that should leave a new entry in the
        // cpool
        final int idx = cp.lookupInteger('t');
        assertTrue(""Should have the same index in the constantpool but ""
                + evg.getIndex() + ""!="" + idx, evg.getIndex() == idx);
        checkSerialize(evg, cp);
    }"
org.apache.bcel.ElementValueGenTestCase,void testCreateByteElementValue(),,,"public void testCreateByteElementValue() throws Exception
    {
        final ClassGen cg = createClassGen(""HelloWorld"");
        final ConstantPoolGen cp = cg.getConstantPool();
        final SimpleElementValueGen evg = new SimpleElementValueGen(
                ElementValueGen.PRIMITIVE_CHAR, cp, (byte) 'z');
        // Creation of an element like that should leave a new entry in the
        // cpool
        final int idx = cp.lookupInteger((byte) 'z');
        assertTrue(""Should have the same index in the constantpool but ""
                + evg.getIndex() + ""!="" + idx, evg.getIndex() == idx);
        checkSerialize(evg, cp);
    }"
org.apache.bcel.ElementValueGenTestCase,void testCreateBooleanElementValue(),,,"public void testCreateBooleanElementValue() throws Exception
    {
        final ClassGen cg = createClassGen(""HelloWorld"");
        final ConstantPoolGen cp = cg.getConstantPool();
        final SimpleElementValueGen evg = new SimpleElementValueGen(
                ElementValueGen.PRIMITIVE_BOOLEAN, cp, true);
        // Creation of an element like that should leave a new entry in the
        // cpool
        final int idx = cp.lookupInteger(1); // 1 == true
        assertTrue(""Should have the same index in the constantpool but ""
                + evg.getIndex() + ""!="" + idx, evg.getIndex() == idx);
        checkSerialize(evg, cp);
    }"
org.apache.bcel.ElementValueGenTestCase,void testCreateShortElementValue(),,,"public void testCreateShortElementValue() throws Exception
    {
        final ClassGen cg = createClassGen(""HelloWorld"");
        final ConstantPoolGen cp = cg.getConstantPool();
        final SimpleElementValueGen evg = new SimpleElementValueGen(
                ElementValueGen.PRIMITIVE_SHORT, cp, (short) 42);
        // Creation of an element like that should leave a new entry in the
        // cpool
        final int idx = cp.lookupInteger(42);
        assertTrue(""Should have the same index in the constantpool but ""
                + evg.getIndex() + ""!="" + idx, evg.getIndex() == idx);
        checkSerialize(evg, cp);
    }"
org.apache.bcel.ElementValueGenTestCase,void testCreateStringElementValue(),,,"public void testCreateStringElementValue() throws Exception
    {
        // Create HelloWorld
        final ClassGen cg = createClassGen(""HelloWorld"");
        final ConstantPoolGen cp = cg.getConstantPool();
        final SimpleElementValueGen evg = new SimpleElementValueGen(
                ElementValueGen.STRING, cp, ""hello"");
        // Creation of an element like that should leave a new entry in the
        // cpool
        assertTrue(""Should have the same index in the constantpool but ""
                + evg.getIndex() + ""!="" + cp.lookupUtf8(""hello""), evg
                .getIndex() == cp.lookupUtf8(""hello""));
        checkSerialize(evg, cp);
    }"
org.apache.bcel.ElementValueGenTestCase,void testCreateEnumElementValue(),,,"public void testCreateEnumElementValue() throws Exception
    {
        final ClassGen cg = createClassGen(""HelloWorld"");
        final ConstantPoolGen cp = cg.getConstantPool();
        final ObjectType enumType = new ObjectType(""SimpleEnum""); // Supports rainbow
                                                            // :)
        final EnumElementValueGen evg = new EnumElementValueGen(enumType, ""Red"", cp);
        // Creation of an element like that should leave a new entry in the
        // cpool
        assertTrue(
                ""The new ElementValue value index should match the contents of the constantpool but ""
                        + evg.getValueIndex() + ""!="" + cp.lookupUtf8(""Red""),
                evg.getValueIndex() == cp.lookupUtf8(""Red""));
        // BCELBUG: Should the class signature or class name be in the constant
        // pool? (see note in ConstantPool)
        // assertTrue(""The new ElementValue type index should match the contents
        // of the constantpool but ""+
        // evg.getTypeIndex()+""!=""+cp.lookupClass(enumType.getSignature()),
        // evg.getTypeIndex()==cp.lookupClass(enumType.getSignature()));
        checkSerialize(evg, cp);
    }"
org.apache.bcel.ElementValueGenTestCase,void testCreateClassElementValue(),,,"public void testCreateClassElementValue() throws Exception
    {
        final ClassGen cg = createClassGen(""HelloWorld"");
        final ConstantPoolGen cp = cg.getConstantPool();
        final ObjectType classType = new ObjectType(""java.lang.Integer"");
        final ClassElementValueGen evg = new ClassElementValueGen(classType, cp);
        assertTrue(""Unexpected value for contained class: '""
                + evg.getClassString() + ""'"", evg.getClassString().contains(""Integer""));
        checkSerialize(evg, cp);
    }"
