classname,method,docstring,method_definition
org.apache.bcel.Const,getItemName(final int index),"/**
   *
   * @param index
   * @return the item name
   * @since 6.0
   */","public static String getItemName(final int index) {
      return ITEM_NAMES[index];
  }"
org.apache.bcel.Const,getMethodHandleName(final int index),"/**
   *
   * @param index
   * @return the method handle name
   * @since 6.0
   */","public static String getMethodHandleName(final int index) {
      return METHODHANDLE_NAMES[index];
  }"
org.apache.bcel.ExceptionConst,"mergeExceptions(final Class<?>[] input, final Class<?> ... extraClasses)",,"private static Class<?>[] mergeExceptions(final Class<?>[] input, final Class<?> ... extraClasses) {
        final int extraLen = extraClasses == null ? 0 : extraClasses.length;
        final Class<?>[] excs = new Class<?>[input.length + extraLen];
        System.arraycopy(input, 0, excs, 0, input.length);
        if (extraLen > 0) {
            System.arraycopy(extraClasses, 0, excs, input.length, extraLen);
        }
        return excs;
    }"
org.apache.bcel.ExceptionConst,"createExceptions(final EXCS type, final Class<?> ... extraClasses)","/**
     * Creates a copy of the specified Exception Class array combined with any additional Exception classes.
     * @param type the basic array type
     * @param extraClasses additional classes, if any
     * @return the merged array
     */","public static Class<?>[] createExceptions(final EXCS type, final Class<?> ... extraClasses) {
        switch (type) {
        case EXCS_CLASS_AND_INTERFACE_RESOLUTION:
            return mergeExceptions(EXCS_CLASS_AND_INTERFACE_RESOLUTION, extraClasses);
        case EXCS_ARRAY_EXCEPTION:
            return mergeExceptions(EXCS_ARRAY_EXCEPTION, extraClasses);
        case EXCS_FIELD_AND_METHOD_RESOLUTION:
            return mergeExceptions(EXCS_FIELD_AND_METHOD_RESOLUTION, extraClasses);
        case EXCS_INTERFACE_METHOD_RESOLUTION:
            return mergeExceptions(EXCS_INTERFACE_METHOD_RESOLUTION, extraClasses);
        case EXCS_STRING_RESOLUTION:
            return mergeExceptions(EXCS_STRING_RESOLUTION, extraClasses);
        default:
            throw new AssertionError(""Cannot happen; unexpected enum value: "" + type);
        }
    }"
org.apache.bcel.Repository,getRepository(),"/**
     * @return currently used repository instance
     */","public static org.apache.bcel.util.Repository getRepository() {
        return repository;
    }"
org.apache.bcel.Repository,void setRepository( final org.apache.bcel.util.Repository rep ),"/**
     * Sets repository instance to be used for class loading
     */","public static void setRepository( final org.apache.bcel.util.Repository rep ) {
        repository = rep;
    }"
org.apache.bcel.Repository,lookupClass( final String class_name ),"/**
     * Lookups class somewhere found on your CLASSPATH, or whereever the
     * repository instance looks for it.
     *
     * @return class object for given fully qualified class name
     * @throws ClassNotFoundException if the class could not be found or
     * parsed correctly
     */","public static JavaClass lookupClass( final String class_name ) throws ClassNotFoundException {
        return repository.loadClass(class_name);
    }"
org.apache.bcel.Repository,lookupClass( final Class<?> clazz ),"/**
     * Tries to find class source using the internal repository instance.
     *
     * @see Class
     * @return JavaClass object for given runtime class
     * @throws ClassNotFoundException if the class could not be found or
     * parsed correctly
     */","public static JavaClass lookupClass( final Class<?> clazz ) throws ClassNotFoundException {
        return repository.loadClass(clazz);
    }"
org.apache.bcel.Repository,lookupClassFile( final String class_name ),"/**
     * @return class file object for given Java class by looking on the
     *  system class path; returns null if the class file can't be
     *  found
     */","public static ClassPath.ClassFile lookupClassFile( final String class_name ) {
        try {
            final ClassPath path = repository.getClassPath();
            if (path == null) {
                return null;
            }
            return path.getClassFile(class_name);
        } catch (final IOException e) {
            return null;
        }
    }"
org.apache.bcel.Repository,void clearCache(),"/**
     * Clears the repository.
     */","public static void clearCache() {
        repository.clear();
    }"
org.apache.bcel.Repository,addClass( final JavaClass clazz ),"/**
     * Adds clazz to repository if there isn't an equally named class already in there.
     *
     * @return old entry in repository
     */","public static JavaClass addClass( final JavaClass clazz ) {
        final JavaClass old = repository.findClass(clazz.getClassName());
        repository.storeClass(clazz);
        return old;
    }"
org.apache.bcel.Repository,void removeClass( final String clazz ),"/**
     * Removes class with given (fully qualified) name from repository.
     */","public static void removeClass( final String clazz ) {
        repository.removeClass(repository.findClass(clazz));
    }"
org.apache.bcel.Repository,void removeClass( final JavaClass clazz ),"/**
     * Removes given class from repository.
     */","public static void removeClass( final JavaClass clazz ) {
        repository.removeClass(clazz);
    }"
org.apache.bcel.Repository,getSuperClasses( final JavaClass clazz ),"/**
     * @return list of super classes of clazz in ascending order, i.e.,
     * Object is always the last element
     * @throws ClassNotFoundException if any of the superclasses can't be found
     */","public static JavaClass[] getSuperClasses( final JavaClass clazz ) throws ClassNotFoundException {
        return clazz.getSuperClasses();
    }"
org.apache.bcel.Repository,getSuperClasses( final String class_name ),"/**
     * @return list of super classes of clazz in ascending order, i.e.,
     * Object is always the last element.
     * @throws ClassNotFoundException if the named class or any of its
     *  superclasses can't be found
     */","public static JavaClass[] getSuperClasses( final String class_name ) throws ClassNotFoundException {
        final JavaClass jc = lookupClass(class_name);
        return getSuperClasses(jc);
    }"
org.apache.bcel.Repository,getInterfaces( final JavaClass clazz ),"/**
     * @return all interfaces implemented by class and its super
     * classes and the interfaces that those interfaces extend, and so on.
     * (Some people call this a transitive hull).
     * @throws ClassNotFoundException if any of the class's
     *  superclasses or superinterfaces can't be found
     */","public static JavaClass[] getInterfaces( final JavaClass clazz ) throws ClassNotFoundException {
        return clazz.getAllInterfaces();
    }"
org.apache.bcel.Repository,getInterfaces( final String class_name ),"/**
     * @return all interfaces implemented by class and its super
     * classes and the interfaces that extend those interfaces, and so on
     * @throws ClassNotFoundException if the named class can't be found,
     *   or if any of its superclasses or superinterfaces can't be found
     */","public static JavaClass[] getInterfaces( final String class_name ) throws ClassNotFoundException {
        return getInterfaces(lookupClass(class_name));
    }"
org.apache.bcel.Repository,"instanceOf( final JavaClass clazz, final JavaClass super_class )","/**
     * Equivalent to runtime ""instanceof"" operator.
     * @return true, if clazz is an instance of super_class
     * @throws ClassNotFoundException if any superclasses or superinterfaces
     *   of clazz can't be found
     */","public static boolean instanceOf( final JavaClass clazz, final JavaClass super_class )
            throws ClassNotFoundException {
        return clazz.instanceOf(super_class);
    }"
org.apache.bcel.Repository,"instanceOf( final String clazz, final String super_class )","/**
     * @return true, if clazz is an instance of super_class
     * @throws ClassNotFoundException if either clazz or super_class
     *   can't be found
     */","public static boolean instanceOf( final String clazz, final String super_class )
            throws ClassNotFoundException {
        return instanceOf(lookupClass(clazz), lookupClass(super_class));
    }"
org.apache.bcel.Repository,"instanceOf( final JavaClass clazz, final String super_class )","/**
     * @return true, if clazz is an instance of super_class
     * @throws ClassNotFoundException if super_class can't be found
     */","public static boolean instanceOf( final JavaClass clazz, final String super_class )
            throws ClassNotFoundException {
        return instanceOf(clazz, lookupClass(super_class));
    }"
org.apache.bcel.Repository,"instanceOf( final String clazz, final JavaClass super_class )","/**
     * @return true, if clazz is an instance of super_class
     * @throws ClassNotFoundException if clazz can't be found
     */","public static boolean instanceOf( final String clazz, final JavaClass super_class )
            throws ClassNotFoundException {
        return instanceOf(lookupClass(clazz), super_class);
    }"
org.apache.bcel.Repository,"implementationOf( final JavaClass clazz, final JavaClass inter )","/**
     * @return true, if clazz is an implementation of interface inter
     * @throws ClassNotFoundException if any superclasses or superinterfaces
     *   of clazz can't be found
     */","public static boolean implementationOf( final JavaClass clazz, final JavaClass inter )
            throws ClassNotFoundException {
        return clazz.implementationOf(inter);
    }"
org.apache.bcel.Repository,"implementationOf( final String clazz, final String inter )","/**
     * @return true, if clazz is an implementation of interface inter
     * @throws ClassNotFoundException if clazz, inter, or any superclasses
     *   or superinterfaces of clazz can't be found
     */","public static boolean implementationOf( final String clazz, final String inter )
            throws ClassNotFoundException {
        return implementationOf(lookupClass(clazz), lookupClass(inter));
    }"
org.apache.bcel.Repository,"implementationOf( final JavaClass clazz, final String inter )","/**
     * @return true, if clazz is an implementation of interface inter
     * @throws ClassNotFoundException if inter or any superclasses
     *   or superinterfaces of clazz can't be found
     */","public static boolean implementationOf( final JavaClass clazz, final String inter )
            throws ClassNotFoundException {
        return implementationOf(clazz, lookupClass(inter));
    }"
org.apache.bcel.Repository,"implementationOf( final String clazz, final JavaClass inter )","/**
     * @return true, if clazz is an implementation of interface inter
     * @throws ClassNotFoundException if clazz or any superclasses or
     *   superinterfaces of clazz can't be found
     */","public static boolean implementationOf( final String clazz, final JavaClass inter )
            throws ClassNotFoundException {
        return implementationOf(lookupClass(clazz), inter);
    }"
org.apache.bcel.generic.StackInstruction,getType( final ConstantPoolGen cp ),"/** @return Type.UNKNOWN
     */","public Type getType( final ConstantPoolGen cp ) {
        return Type.UNKNOWN;
    }"
org.apache.bcel.generic.I2S,void accept( final Visitor v ),"/**
     * Call corresponding visitor method(s). The order is:
     * Call visitor methods of implemented interfaces first, then
     * call methods according to the class hierarchy in descending order,
     * i.e., the most specific visitXXX() call comes last.
     *
     * @param v Visitor object
     */","@Override
    public void accept( final Visitor v ) {
        v.visitTypedInstruction(this);
        v.visitStackProducer(this);
        v.visitStackConsumer(this);
        v.visitConversionInstruction(this);
        v.visitI2S(this);
    }"
org.apache.bcel.generic.NamedAndTyped,getName(),,String getName();
org.apache.bcel.generic.NamedAndTyped,getType(),,Type getType();
org.apache.bcel.generic.NamedAndTyped,void setName( String name ),,void setName( String name );
org.apache.bcel.generic.NamedAndTyped,void setType( Type type ),,void setType( Type type );
org.apache.bcel.generic.ElementValueGen,getElementValue(),"/**
     * Subtypes return an immutable variant of the ElementValueGen
     */",public abstract ElementValue getElementValue();
org.apache.bcel.generic.ElementValueGen,getElementValueType(),,"public int getElementValueType()
    {
        return type;
    }"
org.apache.bcel.generic.ElementValueGen,stringifyValue(),,public abstract String stringifyValue();
org.apache.bcel.generic.ElementValueGen,void dump(DataOutputStream dos),,public abstract void dump(DataOutputStream dos) throws IOException;
org.apache.bcel.generic.ElementValueGen,"readElementValue(final DataInput dis,
            final ConstantPoolGen cpGen)",,"public static ElementValueGen readElementValue(final DataInput dis,
            final ConstantPoolGen cpGen) throws IOException
    {
        final int type = dis.readUnsignedByte();
        switch (type)
        {
        case 'B': // byte
            return new SimpleElementValueGen(PRIMITIVE_BYTE, dis
                    .readUnsignedShort(), cpGen);
        case 'C': // char
            return new SimpleElementValueGen(PRIMITIVE_CHAR, dis
                    .readUnsignedShort(), cpGen);
        case 'D': // double
            return new SimpleElementValueGen(PRIMITIVE_DOUBLE, dis
                    .readUnsignedShort(), cpGen);
        case 'F': // float
            return new SimpleElementValueGen(PRIMITIVE_FLOAT, dis
                    .readUnsignedShort(), cpGen);
        case 'I': // int
            return new SimpleElementValueGen(PRIMITIVE_INT, dis
                    .readUnsignedShort(), cpGen);
        case 'J': // long
            return new SimpleElementValueGen(PRIMITIVE_LONG, dis
                    .readUnsignedShort(), cpGen);
        case 'S': // short
            return new SimpleElementValueGen(PRIMITIVE_SHORT, dis
                    .readUnsignedShort(), cpGen);
        case 'Z': // boolean
            return new SimpleElementValueGen(PRIMITIVE_BOOLEAN, dis
                    .readUnsignedShort(), cpGen);
        case 's': // String
            return new SimpleElementValueGen(STRING, dis.readUnsignedShort(),
                    cpGen);
        case 'e': // Enum constant
            return new EnumElementValueGen(dis.readUnsignedShort(), dis
                    .readUnsignedShort(), cpGen);
        case 'c': // Class
            return new ClassElementValueGen(dis.readUnsignedShort(), cpGen);
        case '@': // Annotation
            // TODO: isRuntimeVisible ??????????
            // FIXME
            return new AnnotationElementValueGen(ANNOTATION,
                    new AnnotationEntryGen(AnnotationEntry.read(dis, cpGen
                            .getConstantPool(), true), cpGen, false), cpGen);
        case '[': // Array
            final int numArrayVals = dis.readUnsignedShort();
            final ElementValue[] evalues = new ElementValue[numArrayVals];
            for (int j = 0; j < numArrayVals; j++)
            {
                evalues[j] = ElementValue.readElementValue(dis, cpGen
                        .getConstantPool());
            }
            return new ArrayElementValueGen(ARRAY, evalues, cpGen);
        default:
            throw new IllegalArgumentException(""Unexpected element value kind in annotation: "" + type);
        }
    }"
org.apache.bcel.generic.ElementValueGen,getConstantPool(),,"protected ConstantPoolGen getConstantPool()
    {
        return cpGen;
    }"
org.apache.bcel.generic.ElementValueGen,"copy(final ElementValue value,
            final ConstantPoolGen cpool, final boolean copyPoolEntries)","/**
     * Creates an (modifiable) ElementValueGen copy of an (immutable)
     * ElementValue - constant pool is assumed correct.
     */","public static ElementValueGen copy(final ElementValue value,
            final ConstantPoolGen cpool, final boolean copyPoolEntries)
    {
        switch (value.getElementValueType())
        {
        case 'B': // byte
        case 'C': // char
        case 'D': // double
        case 'F': // float
        case 'I': // int
        case 'J': // long
        case 'S': // short
        case 'Z': // boolean
        case 's': // String
            return new SimpleElementValueGen((SimpleElementValue) value, cpool,
                    copyPoolEntries);
        case 'e': // Enum constant
            return new EnumElementValueGen((EnumElementValue) value, cpool,
                    copyPoolEntries);
        case '@': // Annotation
            return new AnnotationElementValueGen(
                    (AnnotationElementValue) value, cpool, copyPoolEntries);
        case '[': // Array
            return new ArrayElementValueGen((ArrayElementValue) value, cpool,
                    copyPoolEntries);
        case 'c': // Class
            return new ClassElementValueGen((ClassElementValue) value, cpool,
                    copyPoolEntries);
        default:
            throw new UnsupportedOperationException(""Not implemented yet! ("" + value.getElementValueType() + "")"");
        }
    }"
org.apache.bcel.generic.IFNONNULL,negate(),"/**
     * @return negation of instruction
     */","@Override
    public IfInstruction negate() {
        return new IFNULL(super.getTarget());
    }"
org.apache.bcel.generic.IFNONNULL,void accept( final Visitor v ),"/**
     * Call corresponding visitor method(s). The order is:
     * Call visitor methods of implemented interfaces first, then
     * call methods according to the class hierarchy in descending order,
     * i.e., the most specific visitXXX() call comes last.
     *
     * @param v Visitor object
     */","@Override
    public void accept( final Visitor v ) {
        v.visitStackConsumer(this);
        v.visitBranchInstruction(this);
        v.visitIfInstruction(this);
        v.visitIFNONNULL(this);
    }"
org.apache.bcel.generic.ArrayType,getBasicType(),"/**
     * @return basic type of array, i.e., for int[][][] the basic type is int
     */","public Type getBasicType() {
        return basicType;
    }"
org.apache.bcel.generic.ArrayType,getElementType(),"/**
     * @return element type of array, i.e., for int[][][] the element type is int[][]
     */","public Type getElementType() {
        if (dimensions == 1) {
            return basicType;
        }
        return new ArrayType(basicType, dimensions - 1);
    }"
org.apache.bcel.generic.ArrayType,getDimensions(),"/** @return number of dimensions of array
     */","public int getDimensions() {
        return dimensions;
    }"
org.apache.bcel.generic.ArrayType,hashCode(),"/** @return a hash code value for the object.
     */","@Override
    public int hashCode() {
        return basicType.hashCode() ^ dimensions;
    }"
org.apache.bcel.generic.ArrayType,equals( final Object _type ),"/** @return true if both type objects refer to the same array type.
     */","@Override
    public boolean equals( final Object _type ) {
        if (_type instanceof ArrayType) {
            final ArrayType array = (ArrayType) _type;
            return (array.dimensions == dimensions) && array.basicType.equals(basicType);
        }
        return false;
    }"
org.apache.bcel.generic.LAND,void accept( final Visitor v ),"/**
     * Call corresponding visitor method(s). The order is:
     * Call visitor methods of implemented interfaces first, then
     * call methods according to the class hierarchy in descending order,
     * i.e., the most specific visitXXX() call comes last.
     *
     * @param v Visitor object
     */","@Override
    public void accept( final Visitor v ) {
        v.visitTypedInstruction(this);
        v.visitStackProducer(this);
        v.visitStackConsumer(this);
        v.visitArithmeticInstruction(this);
        v.visitLAND(this);
    }"
org.apache.bcel.generic.L2I,void accept( final Visitor v ),"/**
     * Call corresponding visitor method(s). The order is:
     * Call visitor methods of implemented interfaces first, then
     * call methods according to the class hierarchy in descending order,
     * i.e., the most specific visitXXX() call comes last.
     *
     * @param v Visitor object
     */","@Override
    public void accept( final Visitor v ) {
        v.visitTypedInstruction(this);
        v.visitStackProducer(this);
        v.visitStackConsumer(this);
        v.visitConversionInstruction(this);
        v.visitL2I(this);
    }"
org.apache.bcel.generic.FieldObserver,void notify( FieldGen field ),,void notify( FieldGen field );
org.apache.bcel.generic.F2I,void accept( final Visitor v ),"/**
     * Call corresponding visitor method(s). The order is:
     * Call visitor methods of implemented interfaces first, then
     * call methods according to the class hierarchy in descending order,
     * i.e., the most specific visitXXX() call comes last.
     *
     * @param v Visitor object
     */","@Override
    public void accept( final Visitor v ) {
        v.visitTypedInstruction(this);
        v.visitStackProducer(this);
        v.visitStackConsumer(this);
        v.visitConversionInstruction(this);
        v.visitF2I(this);
    }"
org.apache.bcel.generic.LASTORE,void accept( final Visitor v ),"/**
     * Call corresponding visitor method(s). The order is:
     * Call visitor methods of implemented interfaces first, then
     * call methods according to the class hierarchy in descending order,
     * i.e., the most specific visitXXX() call comes last.
     *
     * @param v Visitor object
     */","@Override
    public void accept( final Visitor v ) {
        v.visitStackConsumer(this);
        v.visitExceptionThrower(this);
        v.visitTypedInstruction(this);
        v.visitArrayInstruction(this);
        v.visitLASTORE(this);
    }"
org.apache.bcel.generic.LADD,void accept( final Visitor v ),"/**
     * Call corresponding visitor method(s). The order is:
     * Call visitor methods of implemented interfaces first, then
     * call methods according to the class hierarchy in descending order,
     * i.e., the most specific visitXXX() call comes last.
     *
     * @param v Visitor object
     */","@Override
    public void accept( final Visitor v ) {
        v.visitTypedInstruction(this);
        v.visitStackProducer(this);
        v.visitStackConsumer(this);
        v.visitArithmeticInstruction(this);
        v.visitLADD(this);
    }"
org.apache.bcel.generic.Visitor,void visitStackInstruction( StackInstruction obj ),,void visitStackInstruction( StackInstruction obj );
org.apache.bcel.generic.Visitor,void visitLocalVariableInstruction( LocalVariableInstruction obj ),,void visitLocalVariableInstruction( LocalVariableInstruction obj );
org.apache.bcel.generic.Visitor,void visitBranchInstruction( BranchInstruction obj ),,void visitBranchInstruction( BranchInstruction obj );
org.apache.bcel.generic.Visitor,void visitLoadClass( LoadClass obj ),,void visitLoadClass( LoadClass obj );
org.apache.bcel.generic.Visitor,void visitFieldInstruction( FieldInstruction obj ),,void visitFieldInstruction( FieldInstruction obj );
org.apache.bcel.generic.Visitor,void visitIfInstruction( IfInstruction obj ),,void visitIfInstruction( IfInstruction obj );
org.apache.bcel.generic.Visitor,void visitConversionInstruction( ConversionInstruction obj ),,void visitConversionInstruction( ConversionInstruction obj );
org.apache.bcel.generic.Visitor,void visitPopInstruction( PopInstruction obj ),,void visitPopInstruction( PopInstruction obj );
org.apache.bcel.generic.Visitor,void visitStoreInstruction( StoreInstruction obj ),,void visitStoreInstruction( StoreInstruction obj );
org.apache.bcel.generic.Visitor,void visitTypedInstruction( TypedInstruction obj ),,void visitTypedInstruction( TypedInstruction obj );
org.apache.bcel.generic.Visitor,void visitSelect( Select obj ),,void visitSelect( Select obj );
org.apache.bcel.generic.Visitor,void visitJsrInstruction( JsrInstruction obj ),,void visitJsrInstruction( JsrInstruction obj );
org.apache.bcel.generic.Visitor,void visitGotoInstruction( GotoInstruction obj ),,void visitGotoInstruction( GotoInstruction obj );
org.apache.bcel.generic.Visitor,void visitUnconditionalBranch( UnconditionalBranch obj ),,void visitUnconditionalBranch( UnconditionalBranch obj );
org.apache.bcel.generic.Visitor,void visitPushInstruction( PushInstruction obj ),,void visitPushInstruction( PushInstruction obj );
org.apache.bcel.generic.Visitor,void visitArithmeticInstruction( ArithmeticInstruction obj ),,void visitArithmeticInstruction( ArithmeticInstruction obj );
org.apache.bcel.generic.Visitor,void visitCPInstruction( CPInstruction obj ),,void visitCPInstruction( CPInstruction obj );
org.apache.bcel.generic.Visitor,void visitInvokeInstruction( InvokeInstruction obj ),,void visitInvokeInstruction( InvokeInstruction obj );
org.apache.bcel.generic.Visitor,void visitArrayInstruction( ArrayInstruction obj ),,void visitArrayInstruction( ArrayInstruction obj );
org.apache.bcel.generic.Visitor,void visitAllocationInstruction( AllocationInstruction obj ),,void visitAllocationInstruction( AllocationInstruction obj );
org.apache.bcel.generic.Visitor,void visitReturnInstruction( ReturnInstruction obj ),,void visitReturnInstruction( ReturnInstruction obj );
org.apache.bcel.generic.Visitor,void visitFieldOrMethod( FieldOrMethod obj ),,void visitFieldOrMethod( FieldOrMethod obj );
org.apache.bcel.generic.Visitor,void visitConstantPushInstruction( ConstantPushInstruction obj ),,void visitConstantPushInstruction( ConstantPushInstruction obj );
org.apache.bcel.generic.Visitor,void visitExceptionThrower( ExceptionThrower obj ),,void visitExceptionThrower( ExceptionThrower obj );
org.apache.bcel.generic.Visitor,void visitLoadInstruction( LoadInstruction obj ),,void visitLoadInstruction( LoadInstruction obj );
org.apache.bcel.generic.Visitor,void visitVariableLengthInstruction( VariableLengthInstruction obj ),,void visitVariableLengthInstruction( VariableLengthInstruction obj );
org.apache.bcel.generic.Visitor,void visitStackProducer( StackProducer obj ),,void visitStackProducer( StackProducer obj );
org.apache.bcel.generic.Visitor,void visitStackConsumer( StackConsumer obj ),,void visitStackConsumer( StackConsumer obj );
org.apache.bcel.generic.Visitor,void visitACONST_NULL( ACONST_NULL obj ),,void visitACONST_NULL( ACONST_NULL obj );
org.apache.bcel.generic.Visitor,void visitGETSTATIC( GETSTATIC obj ),,void visitGETSTATIC( GETSTATIC obj );
org.apache.bcel.generic.Visitor,void visitIF_ICMPLT( IF_ICMPLT obj ),,void visitIF_ICMPLT( IF_ICMPLT obj );
org.apache.bcel.generic.Visitor,void visitMONITOREXIT( MONITOREXIT obj ),,void visitMONITOREXIT( MONITOREXIT obj );
org.apache.bcel.generic.Visitor,void visitIFLT( IFLT obj ),,void visitIFLT( IFLT obj );
org.apache.bcel.generic.Visitor,void visitLSTORE( LSTORE obj ),,void visitLSTORE( LSTORE obj );
org.apache.bcel.generic.Visitor,void visitPOP2( POP2 obj ),,void visitPOP2( POP2 obj );
org.apache.bcel.generic.Visitor,void visitBASTORE( BASTORE obj ),,void visitBASTORE( BASTORE obj );
org.apache.bcel.generic.Visitor,void visitISTORE( ISTORE obj ),,void visitISTORE( ISTORE obj );
org.apache.bcel.generic.Visitor,void visitCHECKCAST( CHECKCAST obj ),,void visitCHECKCAST( CHECKCAST obj );
org.apache.bcel.generic.Visitor,void visitFCMPG( FCMPG obj ),,void visitFCMPG( FCMPG obj );
org.apache.bcel.generic.Visitor,void visitI2F( I2F obj ),,void visitI2F( I2F obj );
org.apache.bcel.generic.Visitor,void visitATHROW( ATHROW obj ),,void visitATHROW( ATHROW obj );
org.apache.bcel.generic.Visitor,void visitDCMPL( DCMPL obj ),,void visitDCMPL( DCMPL obj );
org.apache.bcel.generic.Visitor,void visitARRAYLENGTH( ARRAYLENGTH obj ),,void visitARRAYLENGTH( ARRAYLENGTH obj );
org.apache.bcel.generic.Visitor,void visitDUP( DUP obj ),,void visitDUP( DUP obj );
org.apache.bcel.generic.Visitor,void visitINVOKESTATIC( INVOKESTATIC obj ),,void visitINVOKESTATIC( INVOKESTATIC obj );
org.apache.bcel.generic.Visitor,void visitLCONST( LCONST obj ),,void visitLCONST( LCONST obj );
org.apache.bcel.generic.Visitor,void visitDREM( DREM obj ),,void visitDREM( DREM obj );
org.apache.bcel.generic.Visitor,void visitIFGE( IFGE obj ),,void visitIFGE( IFGE obj );
org.apache.bcel.generic.Visitor,void visitCALOAD( CALOAD obj ),,void visitCALOAD( CALOAD obj );
org.apache.bcel.generic.Visitor,void visitLASTORE( LASTORE obj ),,void visitLASTORE( LASTORE obj );
org.apache.bcel.generic.Visitor,void visitI2D( I2D obj ),,void visitI2D( I2D obj );
org.apache.bcel.generic.Visitor,void visitDADD( DADD obj ),,void visitDADD( DADD obj );
org.apache.bcel.generic.Visitor,void visitINVOKESPECIAL( INVOKESPECIAL obj ),,void visitINVOKESPECIAL( INVOKESPECIAL obj );
org.apache.bcel.generic.Visitor,void visitIAND( IAND obj ),,void visitIAND( IAND obj );
org.apache.bcel.generic.Visitor,void visitPUTFIELD( PUTFIELD obj ),,void visitPUTFIELD( PUTFIELD obj );
org.apache.bcel.generic.Visitor,void visitILOAD( ILOAD obj ),,void visitILOAD( ILOAD obj );
org.apache.bcel.generic.Visitor,void visitDLOAD( DLOAD obj ),,void visitDLOAD( DLOAD obj );
org.apache.bcel.generic.Visitor,void visitDCONST( DCONST obj ),,void visitDCONST( DCONST obj );
org.apache.bcel.generic.Visitor,void visitNEW( NEW obj ),,void visitNEW( NEW obj );
org.apache.bcel.generic.Visitor,void visitIFNULL( IFNULL obj ),,void visitIFNULL( IFNULL obj );
org.apache.bcel.generic.Visitor,void visitLSUB( LSUB obj ),,void visitLSUB( LSUB obj );
org.apache.bcel.generic.Visitor,void visitL2I( L2I obj ),,void visitL2I( L2I obj );
org.apache.bcel.generic.Visitor,void visitISHR( ISHR obj ),,void visitISHR( ISHR obj );
org.apache.bcel.generic.Visitor,void visitTABLESWITCH( TABLESWITCH obj ),,void visitTABLESWITCH( TABLESWITCH obj );
org.apache.bcel.generic.Visitor,void visitIINC( IINC obj ),,void visitIINC( IINC obj );
org.apache.bcel.generic.Visitor,void visitDRETURN( DRETURN obj ),,void visitDRETURN( DRETURN obj );
org.apache.bcel.generic.Visitor,void visitFSTORE( FSTORE obj ),,void visitFSTORE( FSTORE obj );
org.apache.bcel.generic.Visitor,void visitDASTORE( DASTORE obj ),,void visitDASTORE( DASTORE obj );
org.apache.bcel.generic.Visitor,void visitIALOAD( IALOAD obj ),,void visitIALOAD( IALOAD obj );
