classname,method,docstring,method_definition
com.github.scribejava.httpclient.ning.NingHttpClient,"doExecuteAsync(String userAgent, Map<String, String> headers, Verb httpVerb,
            String completeUrl, BodySetter bodySetter, Object bodyContents, OAuthAsyncRequestCallback<T> callback,
            OAuthRequest.ResponseConverter<T> converter)",,"private <T> Future<T> doExecuteAsync(String userAgent, Map<String, String> headers, Verb httpVerb,
            String completeUrl, BodySetter bodySetter, Object bodyContents, OAuthAsyncRequestCallback<T> callback,
            OAuthRequest.ResponseConverter<T> converter) {
        final AsyncHttpClient.BoundRequestBuilder boundRequestBuilder;
        switch (httpVerb) {
            case GET:
                boundRequestBuilder = client.prepareGet(completeUrl);
                break;
            case POST:
                boundRequestBuilder = client.preparePost(completeUrl);
                break;
            case PUT:
                boundRequestBuilder = client.preparePut(completeUrl);
                break;
            case DELETE:
                boundRequestBuilder = client.prepareDelete(completeUrl);
                break;
            default:
                throw new IllegalArgumentException(""message build error: unknown verb type"");
        }

        if (httpVerb.isPermitBody()) {
            if (!headers.containsKey(CONTENT_TYPE)) {
                boundRequestBuilder.addHeader(CONTENT_TYPE, DEFAULT_CONTENT_TYPE);
            }
            bodySetter.setBody(boundRequestBuilder, bodyContents);
        }

        for (Map.Entry<String, String> header : headers.entrySet()) {
            boundRequestBuilder.addHeader(header.getKey(), header.getValue());
        }

        if (userAgent != null) {
            boundRequestBuilder.setHeader(OAuthConstants.USER_AGENT_HEADER_NAME, userAgent);
        }

        return boundRequestBuilder.execute(new OAuthAsyncCompletionHandler<>(callback, converter));
    }"
com.github.scribejava.httpclient.ning.NingHttpClient.BodySetter,"setBody(AsyncHttpClient.BoundRequestBuilder requestBuilder,
                    Object bodyContents)",,"@Override
            AsyncHttpClient.BoundRequestBuilder setBody(AsyncHttpClient.BoundRequestBuilder requestBuilder,
                    Object bodyContents) {
                return requestBuilder.setBody((byte[]) bodyContents);
            }"
com.github.scribejava.httpclient.ning.NingHttpClient.BodySetter,"setBody(AsyncHttpClient.BoundRequestBuilder requestBuilder,
                    Object bodyContents)",,"@Override
            AsyncHttpClient.BoundRequestBuilder setBody(AsyncHttpClient.BoundRequestBuilder requestBuilder,
                    Object bodyContents) {
                return requestBuilder.setBody((String) bodyContents);
            }"
com.github.scribejava.httpclient.ning.NingHttpClient.BodySetter,"setBody(AsyncHttpClient.BoundRequestBuilder requestBuilder,
                    Object bodyContents)",,"@Override
            AsyncHttpClient.BoundRequestBuilder setBody(AsyncHttpClient.BoundRequestBuilder requestBuilder,
                    Object bodyContents) {
                return requestBuilder.setBody((File) bodyContents);
            }"
com.github.scribejava.httpclient.ning.NingHttpClient.BodySetter,"setBody(AsyncHttpClient.BoundRequestBuilder requestBuilder,
                Object bodyContents)",,"abstract AsyncHttpClient.BoundRequestBuilder setBody(AsyncHttpClient.BoundRequestBuilder requestBuilder,
                Object bodyContents);"
com.github.scribejava.httpclient.ning.NingProvider,createClient(HttpClientConfig httpClientConfig),,"@Override
    public HttpClient createClient(HttpClientConfig httpClientConfig) {
        if (httpClientConfig instanceof NingHttpClientConfig) {
            return new NingHttpClient((NingHttpClientConfig) httpClientConfig);
        }
        return null;
    }"
com.github.scribejava.httpclient.ning.OAuthAsyncCompletionHandler,onCompleted(com.ning.http.client.Response ningResponse),,"@Override
    public T onCompleted(com.ning.http.client.Response ningResponse) {
        try {
            final Map<String, String> headersMap = new HashMap<>();

            for (Map.Entry<String, List<String>> header : ningResponse.getHeaders().entrySet()) {
                final StringBuilder value = new StringBuilder();
                for (String str : header.getValue()) {
                    value.append(str);
                }
                headersMap.put(header.getKey(), value.toString());
            }

            final Response response = new Response(ningResponse.getStatusCode(), ningResponse.getStatusText(),
                    headersMap, ningResponse.getResponseBodyAsStream());

            @SuppressWarnings(""unchecked"")
            final T t = converter == null ? (T) response : converter.convert(response);
            if (callback != null) {
                callback.onCompleted(t);
            }
            return t;
        } catch (IOException | RuntimeException e) {
            onThrowable(e);
            return null;
        }
    }"
com.github.scribejava.httpclient.ning.OAuthAsyncCompletionHandler,void onThrowable(Throwable t),,"@Override
    public void onThrowable(Throwable t) {
        if (callback != null) {
            callback.onThrowable(t);
        }
    }"
com.github.scribejava.httpclient.ahc.AhcHttpClient,void close(),,"@Override
    public void close() throws IOException {
        client.close();
    }"
com.github.scribejava.httpclient.ahc.AhcHttpClient,"executeAsync(String userAgent, Map<String, String> headers, Verb httpVerb, String completeUrl,
            byte[] bodyContents, OAuthAsyncRequestCallback<T> callback, OAuthRequest.ResponseConverter<T> converter)",,"@Override
    public <T> Future<T> executeAsync(String userAgent, Map<String, String> headers, Verb httpVerb, String completeUrl,
            byte[] bodyContents, OAuthAsyncRequestCallback<T> callback, OAuthRequest.ResponseConverter<T> converter) {
        return doExecuteAsync(userAgent, headers, httpVerb, completeUrl, BodySetter.BYTE_ARRAY, bodyContents, callback,
                converter);
    }"
com.github.scribejava.httpclient.ahc.AhcHttpClient,"executeAsync(String userAgent, Map<String, String> headers, Verb httpVerb, String completeUrl,
            MultipartPayload bodyContents, OAuthAsyncRequestCallback<T> callback,
            OAuthRequest.ResponseConverter<T> converter)",,"@Override
    public <T> Future<T> executeAsync(String userAgent, Map<String, String> headers, Verb httpVerb, String completeUrl,
            MultipartPayload bodyContents, OAuthAsyncRequestCallback<T> callback,
            OAuthRequest.ResponseConverter<T> converter) {

        throw new UnsupportedOperationException(""AhcHttpClient does not support MultipartPayload yet."");
    }"
com.github.scribejava.httpclient.ahc.AhcHttpClient,"executeAsync(String userAgent, Map<String, String> headers, Verb httpVerb, String completeUrl,
            String bodyContents, OAuthAsyncRequestCallback<T> callback, OAuthRequest.ResponseConverter<T> converter)",,"@Override
    public <T> Future<T> executeAsync(String userAgent, Map<String, String> headers, Verb httpVerb, String completeUrl,
            String bodyContents, OAuthAsyncRequestCallback<T> callback, OAuthRequest.ResponseConverter<T> converter) {
        return doExecuteAsync(userAgent, headers, httpVerb, completeUrl, BodySetter.STRING, bodyContents, callback,
                converter);
    }"
com.github.scribejava.httpclient.ahc.AhcHttpClient,"executeAsync(String userAgent, Map<String, String> headers, Verb httpVerb, String completeUrl,
            File bodyContents, OAuthAsyncRequestCallback<T> callback, OAuthRequest.ResponseConverter<T> converter)",,"@Override
    public <T> Future<T> executeAsync(String userAgent, Map<String, String> headers, Verb httpVerb, String completeUrl,
            File bodyContents, OAuthAsyncRequestCallback<T> callback, OAuthRequest.ResponseConverter<T> converter) {
        return doExecuteAsync(userAgent, headers, httpVerb, completeUrl, BodySetter.FILE, bodyContents, callback,
                converter);
    }"
com.github.scribejava.httpclient.ahc.AhcHttpClient,"doExecuteAsync(String userAgent, Map<String, String> headers, Verb httpVerb,
            String completeUrl, BodySetter bodySetter, Object bodyContents, OAuthAsyncRequestCallback<T> callback,
            OAuthRequest.ResponseConverter<T> converter)",,"private <T> Future<T> doExecuteAsync(String userAgent, Map<String, String> headers, Verb httpVerb,
            String completeUrl, BodySetter bodySetter, Object bodyContents, OAuthAsyncRequestCallback<T> callback,
            OAuthRequest.ResponseConverter<T> converter) {
        final BoundRequestBuilder boundRequestBuilder;
        switch (httpVerb) {
            case GET:
                boundRequestBuilder = client.prepareGet(completeUrl);
                break;
            case POST:
                boundRequestBuilder = client.preparePost(completeUrl);
                break;
            case PUT:
                boundRequestBuilder = client.preparePut(completeUrl);
                break;
            case DELETE:
                boundRequestBuilder = client.prepareDelete(completeUrl);
                break;
            default:
                throw new IllegalArgumentException(""message build error: unknown verb type"");
        }

        if (httpVerb.isPermitBody()) {
            if (!headers.containsKey(CONTENT_TYPE)) {
                boundRequestBuilder.addHeader(CONTENT_TYPE, DEFAULT_CONTENT_TYPE);
            }
            bodySetter.setBody(boundRequestBuilder, bodyContents);
        }

        for (Map.Entry<String, String> header : headers.entrySet()) {
            boundRequestBuilder.addHeader(header.getKey(), header.getValue());
        }

        if (userAgent != null) {
            boundRequestBuilder.setHeader(OAuthConstants.USER_AGENT_HEADER_NAME, userAgent);
        }

        return boundRequestBuilder.execute(new OAuthAsyncCompletionHandler<>(callback, converter));
    }"
com.github.scribejava.httpclient.ahc.AhcHttpClient.BodySetter,"setBody(BoundRequestBuilder requestBuilder, Object bodyContents)",,"@Override
            BoundRequestBuilder setBody(BoundRequestBuilder requestBuilder, Object bodyContents) {
                return requestBuilder.setBody((byte[]) bodyContents);
            }"
com.github.scribejava.httpclient.ahc.AhcHttpClient.BodySetter,"setBody(BoundRequestBuilder requestBuilder, Object bodyContents)",,"@Override
            BoundRequestBuilder setBody(BoundRequestBuilder requestBuilder, Object bodyContents) {
                return requestBuilder.setBody((String) bodyContents);
            }"
com.github.scribejava.httpclient.ahc.AhcHttpClient.BodySetter,"setBody(BoundRequestBuilder requestBuilder, Object bodyContents)",,"@Override
            BoundRequestBuilder setBody(BoundRequestBuilder requestBuilder, Object bodyContents) {
                return requestBuilder.setBody((File) bodyContents);
            }"
com.github.scribejava.httpclient.ahc.AhcHttpClient.BodySetter,"setBody(BoundRequestBuilder requestBuilder, Object bodyContents)",,"abstract BoundRequestBuilder setBody(BoundRequestBuilder requestBuilder, Object bodyContents);"
com.github.scribejava.httpclient.ahc.AhcProvider,createClient(HttpClientConfig config),,"@Override
    public HttpClient createClient(HttpClientConfig config) {
        if (config instanceof AhcHttpClientConfig) {
            return new AhcHttpClient((AhcHttpClientConfig) config);
        }
        return null;
    }"
com.github.scribejava.httpclient.ahc.OAuthAsyncCompletionHandler,onCompleted(org.asynchttpclient.Response ahcResponse),,"@Override
    public T onCompleted(org.asynchttpclient.Response ahcResponse) {
        try {
            final Map<String, String> headersMap = new HashMap<>();
            for (Map.Entry<String, String> header : ahcResponse.getHeaders()) {
                headersMap.put(header.getKey(), header.getValue());
            }

            final Response response = new Response(ahcResponse.getStatusCode(), ahcResponse.getStatusText(), headersMap,
                    ahcResponse.getResponseBodyAsStream());

            @SuppressWarnings(""unchecked"")
            final T t = converter == null ? (T) response : converter.convert(response);
            if (callback != null) {
                callback.onCompleted(t);
            }
            return t;
        } catch (IOException | RuntimeException e) {
            onThrowable(e);
            return null;
        }
    }"
com.github.scribejava.httpclient.ahc.OAuthAsyncCompletionHandler,void onThrowable(Throwable t),,"@Override
    public void onThrowable(Throwable t) {
        if (callback != null) {
            callback.onThrowable(t);
        }
    }"
com.github.scribejava.httpclient.ahc.AhcHttpClientConfig,getClientConfig(),,"public AsyncHttpClientConfig getClientConfig() {
        return clientConfig;
    }"
com.github.scribejava.httpclient.ahc.AhcHttpClientConfig,createDefaultConfig(),,"@Override
    public AhcHttpClientConfig createDefaultConfig() {
        return defaultConfig();
    }"
com.github.scribejava.httpclient.ahc.AhcHttpClientConfig,defaultConfig(),,"public static AhcHttpClientConfig defaultConfig() {
        return new AhcHttpClientConfig(null);
    }"
com.github.scribejava.core.utils.Preconditions,"void checkNotNull(Object object, String errorMsg)","/**
     * Checks that an object is not null.
     *
     * @param object any object
     * @param errorMsg error message
     *
     * @throws IllegalArgumentException if the object is null
     */","public static void checkNotNull(Object object, String errorMsg) {
        check(object != null, errorMsg);
    }"
com.github.scribejava.core.utils.Preconditions,"void checkEmptyString(String string, String errorMsg)","/**
     * Checks that a string is not null or empty
     *
     * @param string any string
     * @param errorMsg error message
     *
     * @throws IllegalArgumentException if the string is null or empty
     */","public static void checkEmptyString(String string, String errorMsg) {
        check(hasText(string), errorMsg);
    }"
com.github.scribejava.core.utils.Preconditions,hasText(String str),,"public static boolean hasText(String str) {
        if (str == null || str.isEmpty()) {
            return false;
        }
        final int strLen = str.length();
        for (int i = 0; i < strLen; i++) {
            if (!Character.isWhitespace(str.charAt(i))) {
                return true;
            }
        }
        return false;
    }"
com.github.scribejava.core.utils.Preconditions,"void check(boolean requirements, String error)",,"private static void check(boolean requirements, String error) {
        if (!requirements) {
            throw new IllegalArgumentException(hasText(error) ? error : DEFAULT_MESSAGE);
        }
    }"
com.github.scribejava.core.utils.OAuthEncoder,encode(String plain),,"public static String encode(String plain) {
        Preconditions.checkNotNull(plain, ""Cannot encode null object"");
        String encoded;
        try {
            encoded = URLEncoder.encode(plain, CHARSET);
        } catch (UnsupportedEncodingException uee) {
            throw new OAuthException(""Charset not found while encoding string: "" + CHARSET, uee);
        }
        for (Map.Entry<String, String> rule : ENCODING_RULES.entrySet()) {
            encoded = applyRule(encoded, rule.getKey(), rule.getValue());
        }
        return encoded;
    }"
com.github.scribejava.core.utils.OAuthEncoder,"applyRule(String encoded, String toReplace, String replacement)",,"private static String applyRule(String encoded, String toReplace, String replacement) {
        return encoded.replaceAll(Pattern.quote(toReplace), replacement);
    }"
com.github.scribejava.core.utils.OAuthEncoder,decode(String encoded),,"public static String decode(String encoded) {
        Preconditions.checkNotNull(encoded, ""Cannot decode null object"");
        try {
            return URLDecoder.decode(encoded, CHARSET);
        } catch (UnsupportedEncodingException uee) {
            throw new OAuthException(""Charset not found while decoding string: "" + CHARSET, uee);
        }
    }"
com.github.scribejava.core.utils.StreamUtils,getStreamContents(InputStream is),"/**
     * Returns the stream contents as an UTF-8 encoded string
     *
     * @param is input stream
     * @return string contents
     * @throws java.io.IOException in any. SocketTimeout in example
     */","public static String getStreamContents(InputStream is) throws IOException {
        Preconditions.checkNotNull(is, ""Cannot get String from a null object"");
        final char[] buffer = new char[0x10000];
        final StringBuilder out = new StringBuilder();
        try (Reader in = new InputStreamReader(is, ""UTF-8"")) {
            int read;
            do {
                read = in.read(buffer, 0, buffer.length);
                if (read > 0) {
                    out.append(buffer, 0, read);
                }
            } while (read >= 0);
        }
        return out.toString();
    }"
com.github.scribejava.core.utils.StreamUtils,getGzipStreamContents(InputStream is),"/**
     * Return String content from a gzip stream
     *
     * @param is input stream
     * @return string contents
     * @throws java.io.IOException in any. SocketTimeout in example
     */","public static String getGzipStreamContents(InputStream is) throws IOException {
        Preconditions.checkNotNull(is, ""Cannot get String from a null object"");
        final GZIPInputStream gis = new GZIPInputStream(is);
        return getStreamContents(gis);
    }"
com.github.scribejava.core.pkce.PKCE,getCodeChallenge(),,"public String getCodeChallenge() {
        return codeChallenge;
    }"
com.github.scribejava.core.pkce.PKCE,void setCodeChallenge(String codeChallenge),,"public void setCodeChallenge(String codeChallenge) {
        this.codeChallenge = codeChallenge;
    }"
com.github.scribejava.core.pkce.PKCE,getCodeChallengeMethod(),,"public PKCECodeChallengeMethod getCodeChallengeMethod() {
        return codeChallengeMethod;
    }"
com.github.scribejava.core.pkce.PKCE,void setCodeChallengeMethod(PKCECodeChallengeMethod codeChallengeMethod),,"public void setCodeChallengeMethod(PKCECodeChallengeMethod codeChallengeMethod) {
        this.codeChallengeMethod = codeChallengeMethod;
    }"
com.github.scribejava.core.pkce.PKCE,getCodeVerifier(),,"public String getCodeVerifier() {
        return codeVerifier;
    }"
com.github.scribejava.core.pkce.PKCE,void setCodeVerifier(String codeVerifier),,"public void setCodeVerifier(String codeVerifier) {
        this.codeVerifier = codeVerifier;
    }"
com.github.scribejava.core.pkce.PKCE,getAuthorizationUrlParams(),,"public Map<String, String> getAuthorizationUrlParams() {
        final Map<String, String> params = new HashMap<>();
        params.put(PKCE_CODE_CHALLENGE_PARAM, codeChallenge);
        params.put(PKCE_CODE_CHALLENGE_METHOD_PARAM, codeChallengeMethod.name());
        return params;
    }"
com.github.scribejava.core.pkce.PKCEService,defaultInstance(),,"public static PKCEService defaultInstance() {
        return DefaultInstanceHolder.INSTANCE;
    }"
com.github.scribejava.core.pkce.PKCEService,generatePKCE(),,"public PKCE generatePKCE() {
        final byte[] bytes = new byte[numberOFOctets];
        RANDOM.nextBytes(bytes);
        return generatePKCE(bytes);
    }"
com.github.scribejava.core.pkce.PKCEService,generatePKCE(byte[] randomBytes),,"public PKCE generatePKCE(byte[] randomBytes) {
        final String codeVerifier = Base64.encodeUrlWithoutPadding(randomBytes);

        final PKCE pkce = new PKCE();
        pkce.setCodeVerifier(codeVerifier);
        try {
            pkce.setCodeChallenge(pkce.getCodeChallengeMethod().transform2CodeChallenge(codeVerifier));
        } catch (NoSuchAlgorithmException nsaE) {
            pkce.setCodeChallengeMethod(PKCECodeChallengeMethod.PLAIN);
            try {
                pkce.setCodeChallenge(PKCECodeChallengeMethod.PLAIN.transform2CodeChallenge(codeVerifier));
            } catch (NoSuchAlgorithmException unrealE) {
                throw new IllegalStateException(""It's just cannot be"", unrealE);
            }
        }
        return pkce;
    }"
com.github.scribejava.core.pkce.PKCECodeChallengeMethod,transform2CodeChallenge(String codeVerifier),,"@Override
        public String transform2CodeChallenge(String codeVerifier) throws NoSuchAlgorithmException {
            return Base64.encodeUrlWithoutPadding(
                    MessageDigest.getInstance(""SHA-256"").digest(codeVerifier.getBytes(StandardCharsets.US_ASCII)));
        }"
com.github.scribejava.core.pkce.PKCECodeChallengeMethod,transform2CodeChallenge(String codeVerifier),,"@Override
        public String transform2CodeChallenge(String codeVerifier) {
            return codeVerifier;
        }"
com.github.scribejava.core.pkce.PKCECodeChallengeMethod,transform2CodeChallenge(String codeVerifier),,public abstract String transform2CodeChallenge(String codeVerifier) throws NoSuchAlgorithmException;
com.github.scribejava.core.builder.ServiceBuilder,callback(String callback),,"@Override
    public ServiceBuilder callback(String callback) {
        this.callback = callback;
        return this;
    }"
com.github.scribejava.core.builder.ServiceBuilder,apiKey(String apiKey),,"@Override
    public final ServiceBuilder apiKey(String apiKey) {
        Preconditions.checkEmptyString(apiKey, ""Invalid Api key"");
        this.apiKey = apiKey;
        return this;
    }"
com.github.scribejava.core.builder.ServiceBuilder,apiSecret(String apiSecret),,"@Override
    public ServiceBuilder apiSecret(String apiSecret) {
        Preconditions.checkEmptyString(apiSecret, ""Invalid Api secret"");
        this.apiSecret = apiSecret;
        return this;
    }"
com.github.scribejava.core.builder.ServiceBuilder,apiSecretIsEmptyStringUnsafe(),,"@Override
    public ServiceBuilder apiSecretIsEmptyStringUnsafe() {
        apiSecret = """";
        return this;
    }"
com.github.scribejava.core.builder.ServiceBuilder,setScope(String scope),,"private ServiceBuilder setScope(String scope) {
        Preconditions.checkEmptyString(scope, ""Invalid OAuth scope"");
        this.scope = scope;
        return this;
    }"
com.github.scribejava.core.builder.ServiceBuilder,defaultScope(String defaultScope),,"@Override
    public ServiceBuilderOAuth20 defaultScope(String defaultScope) {
        return setScope(defaultScope);
    }"
com.github.scribejava.core.builder.ServiceBuilder,defaultScope(ScopeBuilder scopeBuilder),,"@Override
    public ServiceBuilderOAuth20 defaultScope(ScopeBuilder scopeBuilder) {
        return setScope(scopeBuilder.build());
    }"
com.github.scribejava.core.builder.ServiceBuilder,withScope(String scope),,"@Override
    public ServiceBuilderOAuth10a withScope(String scope) {
        return setScope(scope);
    }"
com.github.scribejava.core.builder.ServiceBuilder,debugStream(OutputStream debugStream),,"@Override
    public ServiceBuilder debugStream(OutputStream debugStream) {
        Preconditions.checkNotNull(debugStream, ""debug stream can't be null"");
        this.debugStream = debugStream;
        return this;
    }"
com.github.scribejava.core.builder.ServiceBuilder,responseType(String responseType),,"@Override
    public ServiceBuilderOAuth20 responseType(String responseType) {
        Preconditions.checkEmptyString(responseType, ""Invalid OAuth responseType"");
        this.responseType = responseType;
        return this;
    }"
com.github.scribejava.core.builder.ServiceBuilder,httpClientConfig(HttpClientConfig httpClientConfig),,"@Override
    public ServiceBuilder httpClientConfig(HttpClientConfig httpClientConfig) {
        Preconditions.checkNotNull(httpClientConfig, ""httpClientConfig can't be null"");
        this.httpClientConfig = httpClientConfig;
        return this;
    }"
com.github.scribejava.core.builder.ServiceBuilder,httpClient(HttpClient httpClient),,"@Override
    public ServiceBuilder httpClient(HttpClient httpClient) {
        this.httpClient = httpClient;
        return this;
    }"
com.github.scribejava.core.builder.ServiceBuilder,userAgent(String userAgent),,"@Override
    public ServiceBuilder userAgent(String userAgent) {
        this.userAgent = userAgent;
        return this;
    }"
com.github.scribejava.core.builder.ServiceBuilder,debug(),,"@Override
    public ServiceBuilder debug() {
        return debugStream(System.out);
    }"
com.github.scribejava.core.builder.ServiceBuilder,build(DefaultApi10a api),,"@Override
    public OAuth10aService build(DefaultApi10a api) {
        return api.createService(apiKey, apiSecret, callback, scope, debugStream, userAgent, httpClientConfig,
                httpClient);
    }"
com.github.scribejava.core.builder.ServiceBuilder,build(DefaultApi20 api),,"@Override
    public OAuth20Service build(DefaultApi20 api) {
        return api.createService(apiKey, apiSecret, callback, scope, responseType, debugStream, userAgent,
                httpClientConfig, httpClient);
    }"
com.github.scribejava.core.builder.ServiceBuilderOAuth10a,callback(String callback),,"@Override
    ServiceBuilderOAuth10a callback(String callback);"
com.github.scribejava.core.builder.ServiceBuilderOAuth10a,apiKey(String apiKey),,"@Override
    ServiceBuilderOAuth10a apiKey(String apiKey);"
com.github.scribejava.core.builder.ServiceBuilderOAuth10a,apiSecret(String apiSecret),,"@Override
    ServiceBuilderOAuth10a apiSecret(String apiSecret);"
com.github.scribejava.core.builder.ServiceBuilderOAuth10a,apiSecretIsEmptyStringUnsafe(),,"@Override
    ServiceBuilderOAuth10a apiSecretIsEmptyStringUnsafe();"
com.github.scribejava.core.builder.ServiceBuilderOAuth10a,httpClientConfig(HttpClientConfig httpClientConfig),,"@Override
    ServiceBuilderOAuth10a httpClientConfig(HttpClientConfig httpClientConfig);"
com.github.scribejava.core.builder.ServiceBuilderOAuth10a,httpClient(HttpClient httpClient),,"@Override
    ServiceBuilderOAuth10a httpClient(HttpClient httpClient);"
com.github.scribejava.core.builder.ServiceBuilderOAuth10a,userAgent(String userAgent),,"@Override
    ServiceBuilderOAuth10a userAgent(String userAgent);"
com.github.scribejava.core.builder.ServiceBuilderOAuth10a,debugStream(OutputStream debugStream),,"@Override
    ServiceBuilderOAuth10a debugStream(OutputStream debugStream);"
com.github.scribejava.core.builder.ServiceBuilderOAuth10a,debug(),,"@Override
    ServiceBuilderOAuth10a debug();"
com.github.scribejava.core.builder.ServiceBuilderOAuth10a,withScope(String scope),"/**
     * Configures the OAuth 1.0a scope. This is only necessary in some APIs
     *
     * @param scope The OAuth scope
     * @return the {@link ServiceBuilder} instance for method chaining
     */",ServiceBuilderOAuth10a withScope(String scope);
com.github.scribejava.core.builder.ServiceBuilderOAuth10a,build(DefaultApi10a api),,OAuth10aService build(DefaultApi10a api);
com.github.scribejava.core.builder.ServiceBuilderOAuth20,callback(String callback),,"@Override
    ServiceBuilderOAuth20 callback(String callback);"
com.github.scribejava.core.builder.ServiceBuilderOAuth20,apiKey(String apiKey),,"@Override
    ServiceBuilderOAuth20 apiKey(String apiKey);"
com.github.scribejava.core.builder.ServiceBuilderOAuth20,apiSecret(String apiSecret),,"@Override
    ServiceBuilderOAuth20 apiSecret(String apiSecret);"
com.github.scribejava.core.builder.ServiceBuilderOAuth20,apiSecretIsEmptyStringUnsafe(),,"@Override
    ServiceBuilderOAuth20 apiSecretIsEmptyStringUnsafe();"
com.github.scribejava.core.builder.ServiceBuilderOAuth20,httpClientConfig(HttpClientConfig httpClientConfig),,"@Override
    ServiceBuilderOAuth20 httpClientConfig(HttpClientConfig httpClientConfig);"
com.github.scribejava.core.builder.ServiceBuilderOAuth20,httpClient(HttpClient httpClient),,"@Override
    ServiceBuilderOAuth20 httpClient(HttpClient httpClient);"
com.github.scribejava.core.builder.ServiceBuilderOAuth20,userAgent(String userAgent),,"@Override
    ServiceBuilderOAuth20 userAgent(String userAgent);"
com.github.scribejava.core.builder.ServiceBuilderOAuth20,debugStream(OutputStream debugStream),,"@Override
    ServiceBuilderOAuth20 debugStream(OutputStream debugStream);"
com.github.scribejava.core.builder.ServiceBuilderOAuth20,debug(),,"@Override
    ServiceBuilderOAuth20 debug();"
com.github.scribejava.core.builder.ServiceBuilderOAuth20,responseType(String responseType),,ServiceBuilderOAuth20 responseType(String responseType);
