focal_method,test_prefix,docstring
"  public HttpResponseBodyPart getPart() {
    return part;
  }","  public void test2()  throws Throwable  {
      HttpResponseBodyPartProgress httpResponseBodyPartProgress0 = new HttpResponseBodyPartProgress((HttpResponseBodyPart) null);
      HttpResponseBodyPart httpResponseBodyPart0 = httpResponseBodyPartProgress0.getPart();
      assertNull(httpResponseBodyPart0);
}",
"  public long getTotal() {
    return total;
  }","  public void test0()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress(0L, 0L, 0L);
      long long0 = contentWriteProgress0.getTotal();
      assertEquals(0L, long0);
}",
"  public long getCurrent() {
    return current;
  }","  public void test1()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress((-2L), (-2L), (-2L));
      long long0 = contentWriteProgress0.getTotal();
      assertEquals((-2L), contentWriteProgress0.getCurrent());
}",
"  public long getTotal() {
    return total;
  }","  public void test2()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress((-2L), (-2L), (-2L));
      long long0 = contentWriteProgress0.getTotal();
      assertEquals((-2L), long0);
}",
"  public long getAmount() {
    return amount;
  }","  public void test3()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress((-2L), (-2L), (-2L));
      long long0 = contentWriteProgress0.getTotal();
      assertEquals((-2L), contentWriteProgress0.getAmount());
}",
"  public long getCurrent() {
    return current;
  }","  public void test4()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress(0L, 0L, 0L);
      long long0 = contentWriteProgress0.getCurrent();
      assertEquals(0L, long0);
}",
"  public long getCurrent() {
    return current;
  }","  public void test5()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress((-1638L), (-1638L), (-1638L));
      long long0 = contentWriteProgress0.getCurrent();
      assertEquals((-1638L), long0);
}",
"  public long getTotal() {
    return total;
  }","  public void test6()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress((-1638L), (-1638L), (-1638L));
      long long0 = contentWriteProgress0.getCurrent();
      assertEquals((-1638L), contentWriteProgress0.getTotal());
}",
"  public long getAmount() {
    return amount;
  }","  public void test7()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress((-1638L), (-1638L), (-1638L));
      long long0 = contentWriteProgress0.getCurrent();
      assertEquals((-1638L), contentWriteProgress0.getAmount());
}",
"  public long getAmount() {
    return amount;
  }","  public void test8()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress(0L, 0L, 0L);
      long long0 = contentWriteProgress0.getAmount();
      assertEquals(0L, long0);
}",
"  public long getAmount() {
    return amount;
  }","  public void test9()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress((-7L), (-7L), (-7L));
      long long0 = contentWriteProgress0.getAmount();
      assertEquals((-7L), long0);
}",
"  public long getCurrent() {
    return current;
  }","  public void test10()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress((-7L), (-7L), (-7L));
      long long0 = contentWriteProgress0.getAmount();
      assertEquals((-7L), contentWriteProgress0.getCurrent());
}",
"  public long getTotal() {
    return total;
  }","  public void test11()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress((-7L), (-7L), (-7L));
      long long0 = contentWriteProgress0.getAmount();
      assertEquals((-7L), contentWriteProgress0.getTotal());
}",
"  public long getTotal() {
    return total;
  }","  public void test12()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress(2538L, 2538L, 2538L);
      long long0 = contentWriteProgress0.getTotal();
      assertEquals(2538L, long0);
}",
"  public long getAmount() {
    return amount;
  }","  public void test13()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress(2538L, 2538L, 2538L);
      long long0 = contentWriteProgress0.getTotal();
      assertEquals(2538L, contentWriteProgress0.getAmount());
}",
"  public long getCurrent() {
    return current;
  }","  public void test14()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress(2538L, 2538L, 2538L);
      long long0 = contentWriteProgress0.getTotal();
      assertEquals(2538L, contentWriteProgress0.getCurrent());
}",
"  public long getTotal() {
    return total;
  }","  public void test15()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress(2538L, 2538L, 2538L);
      long long0 = contentWriteProgress0.getCurrent();
      assertEquals(2538L, contentWriteProgress0.getTotal());
}",
"  public long getCurrent() {
    return current;
  }","  public void test16()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress(2538L, 2538L, 2538L);
      long long0 = contentWriteProgress0.getCurrent();
      assertEquals(2538L, long0);
}",
"  public long getAmount() {
    return amount;
  }","  public void test17()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress(2538L, 2538L, 2538L);
      long long0 = contentWriteProgress0.getCurrent();
      assertEquals(2538L, contentWriteProgress0.getAmount());
}",
"  public String toString() {
    return ""ContentWriteProgress [amount="" + amount + "", current="" + current + "", total="" + total + ""]"";
  }","  public void test18()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress(2538L, 2538L, 2538L);
      String string0 = contentWriteProgress0.toString();
      assertEquals(""ContentWriteProgress [amount=2538, current=2538, total=2538]"", string0);
}",
"  public long getAmount() {
    return amount;
  }","  public void test19()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress(2538L, 2538L, 2538L);
      long long0 = contentWriteProgress0.getAmount();
      assertEquals(2538L, long0);
}",
"  public long getCurrent() {
    return current;
  }","  public void test20()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress(2538L, 2538L, 2538L);
      long long0 = contentWriteProgress0.getAmount();
      assertEquals(2538L, contentWriteProgress0.getCurrent());
}",
"  public long getTotal() {
    return total;
  }","  public void test21()  throws Throwable  {
      ContentWriteProgress contentWriteProgress0 = new ContentWriteProgress(2538L, 2538L, 2538L);
      long long0 = contentWriteProgress0.getAmount();
      assertEquals(2538L, contentWriteProgress0.getTotal());
}",
"  public void consume(ByteBuffer byteBuffer) throws IOException {
    byteBuffer.put(byteBuffer);
  }","  public void test0()  throws Throwable  {
      ByteBuffer byteBuffer0 = ByteBuffer.allocateDirect((short)324);
      ByteBuffer byteBuffer1 = byteBuffer0.asReadOnlyBuffer();
      ByteBufferBodyConsumer byteBufferBodyConsumer0 = new ByteBufferBodyConsumer(byteBuffer0);
      // Undeclared exception!
      try { 
        byteBufferBodyConsumer0.consume(byteBuffer1);
        fail(""Expecting exception: ReadOnlyBufferException"");
      } catch(ReadOnlyBufferException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""java.nio.DirectByteBufferR"", e);
      }
  }","/**
   * {@inheritDoc}
   */"
"  public void consume(ByteBuffer byteBuffer) throws IOException {
    byteBuffer.put(byteBuffer);
  }","  public void test1()  throws Throwable  {
      ByteBufferBodyConsumer byteBufferBodyConsumer0 = new ByteBufferBodyConsumer((ByteBuffer) null);
      // Undeclared exception!
      try { 
        byteBufferBodyConsumer0.consume((ByteBuffer) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.asynchttpclient.extras.simple.ByteBufferBodyConsumer"", e);
      }
  }","/**
   * {@inheritDoc}
   */"
"  public void close() throws IOException {
    byteBuffer.flip();
  }","  public void test2()  throws Throwable  {
      ByteBufferBodyConsumer byteBufferBodyConsumer0 = new ByteBufferBodyConsumer((ByteBuffer) null);
      // Undeclared exception!
      try { 
        byteBufferBodyConsumer0.close();
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.asynchttpclient.extras.simple.ByteBufferBodyConsumer"", e);
      }
  }","/**
   * {@inheritDoc}
   */"
"  public void close() throws IOException {
    byteBuffer.flip();
  }","  public void test3()  throws Throwable  {
      ByteBuffer byteBuffer0 = ByteBuffer.allocateDirect((short)324);
      ByteBufferBodyConsumer byteBufferBodyConsumer0 = new ByteBufferBodyConsumer(byteBuffer0);
      byteBufferBodyConsumer0.close();
  }","/**
   * {@inheritDoc}
   */"
"  public void consume(ByteBuffer byteBuffer) throws IOException {
    byteBuffer.put(byteBuffer);
  }","  public void test4()  throws Throwable  {
      ByteBuffer byteBuffer0 = ByteBuffer.allocateDirect((short)324);
      ByteBufferBodyConsumer byteBufferBodyConsumer0 = new ByteBufferBodyConsumer(byteBuffer0);
      // Undeclared exception!
      try { 
        byteBufferBodyConsumer0.consume(byteBuffer0);
        fail(""Expecting exception: IllegalArgumentException"");
      } catch(IllegalArgumentException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""java.nio.DirectByteBuffer"", e);
      }
  }","/**
   * {@inheritDoc}
   */"
"  private SimpleAsyncHttpClient(AsyncHttpClientConfig config, RequestBuilder requestBuilder, ThrowableHandler defaultThrowableHandler,
                                ErrorDocumentBehaviour errorDocumentBehaviour, boolean resumeEnabled, AsyncHttpClient ahc, SimpleAHCTransferListener listener) {
    this.config = config;
    this.requestBuilder = requestBuilder;
    this.defaultThrowableHandler = defaultThrowableHandler;
    this.resumeEnabled = resumeEnabled;
    this.errorDocumentBehaviour = errorDocumentBehaviour;
    this.asyncHttpClient = ahc;
    this.listener = listener;

    this.derived = ahc != null;
  }","  public void test0()  throws Throwable  {
      SimpleAsyncHttpClient.Builder simpleAsyncHttpClient_Builder0 = new SimpleAsyncHttpClient.Builder();
      SimpleAsyncHttpClient.Builder simpleAsyncHttpClient_Builder1 = simpleAsyncHttpClient_Builder0.setHeader(""io.netty.handler.ssl.JettyAlpnSslEngine"", simpleAsyncHttpClient_Builder0);
      assertSame(simpleAsyncHttpClient_Builder1, simpleAsyncHttpClient_Builder0);
}",
"  private SimpleAsyncHttpClient(AsyncHttpClientConfig config, RequestBuilder requestBuilder, ThrowableHandler defaultThrowableHandler,
                                ErrorDocumentBehaviour errorDocumentBehaviour, boolean resumeEnabled, AsyncHttpClient ahc, SimpleAHCTransferListener listener) {
    this.config = config;
    this.requestBuilder = requestBuilder;
    this.defaultThrowableHandler = defaultThrowableHandler;
    this.resumeEnabled = resumeEnabled;
    this.errorDocumentBehaviour = errorDocumentBehaviour;
    this.asyncHttpClient = ahc;
    this.listener = listener;

    this.derived = ahc != null;
  }","  public void test1()  throws Throwable  {
      SimpleAsyncHttpClient.Builder simpleAsyncHttpClient_Builder0 = new SimpleAsyncHttpClient.Builder();
      char[] charArray0 = new char[4];
      charArray0[0] = 'v';
      charArray0[1] = 'p';
      charArray0[2] = '4';
      charArray0[3] = '5';
      AsciiString asciiString0 = new AsciiString(charArray0);
      SimpleAsyncHttpClient.Builder simpleAsyncHttpClient_Builder1 = simpleAsyncHttpClient_Builder0.addHeader(asciiString0, (Object) null);
      assertSame(simpleAsyncHttpClient_Builder0, simpleAsyncHttpClient_Builder1);
}",
"  private SimpleAsyncHttpClient(AsyncHttpClientConfig config, RequestBuilder requestBuilder, ThrowableHandler defaultThrowableHandler,
                                ErrorDocumentBehaviour errorDocumentBehaviour, boolean resumeEnabled, AsyncHttpClient ahc, SimpleAHCTransferListener listener) {
    this.config = config;
    this.requestBuilder = requestBuilder;
    this.defaultThrowableHandler = defaultThrowableHandler;
    this.resumeEnabled = resumeEnabled;
    this.errorDocumentBehaviour = errorDocumentBehaviour;
    this.asyncHttpClient = ahc;
    this.listener = listener;

    this.derived = ahc != null;
  }","  public void test2()  throws Throwable  {
      SimpleAsyncHttpClient.Builder simpleAsyncHttpClient_Builder0 = new SimpleAsyncHttpClient.Builder();
      SimpleAsyncHttpClient.DerivedBuilder simpleAsyncHttpClient_DerivedBuilder0 = simpleAsyncHttpClient_Builder0.setVirtualHost(""EMI"");
      assertSame(simpleAsyncHttpClient_DerivedBuilder0, simpleAsyncHttpClient_Builder0);
}",
"  private SimpleAsyncHttpClient(AsyncHttpClientConfig config, RequestBuilder requestBuilder, ThrowableHandler defaultThrowableHandler,
                                ErrorDocumentBehaviour errorDocumentBehaviour, boolean resumeEnabled, AsyncHttpClient ahc, SimpleAHCTransferListener listener) {
    this.config = config;
    this.requestBuilder = requestBuilder;
    this.defaultThrowableHandler = defaultThrowableHandler;
    this.resumeEnabled = resumeEnabled;
    this.errorDocumentBehaviour = errorDocumentBehaviour;
    this.asyncHttpClient = ahc;
    this.listener = listener;

    this.derived = ahc != null;
  }","  public void test3()  throws Throwable  {
      SimpleAsyncHttpClient.Builder simpleAsyncHttpClient_Builder0 = new SimpleAsyncHttpClient.Builder();
      // Undeclared exception!
      try { 
        simpleAsyncHttpClient_Builder0.setUrl(""61"");
        fail(""Expecting exception: IllegalArgumentException"");
      } catch(IllegalArgumentException e) {
         //
         // 61 could not be parsed into a proper Uri, missing scheme
         //
         verifyException(""org.asynchttpclient.uri.Uri"", e);
      }
  }",
"  private SimpleAsyncHttpClient(AsyncHttpClientConfig config, RequestBuilder requestBuilder, ThrowableHandler defaultThrowableHandler,
                                ErrorDocumentBehaviour errorDocumentBehaviour, boolean resumeEnabled, AsyncHttpClient ahc, SimpleAHCTransferListener listener) {
    this.config = config;
    this.requestBuilder = requestBuilder;
    this.defaultThrowableHandler = defaultThrowableHandler;
    this.resumeEnabled = resumeEnabled;
    this.errorDocumentBehaviour = errorDocumentBehaviour;
    this.asyncHttpClient = ahc;
    this.listener = listener;

    this.derived = ahc != null;
  }","  public void test4()  throws Throwable  {
      SimpleAsyncHttpClient.Builder simpleAsyncHttpClient_Builder0 = new SimpleAsyncHttpClient.Builder();
      SimpleAsyncHttpClient.DerivedBuilder simpleAsyncHttpClient_DerivedBuilder0 = simpleAsyncHttpClient_Builder0.setResumableDownload(true);
      assertSame(simpleAsyncHttpClient_DerivedBuilder0, simpleAsyncHttpClient_Builder0);
}",
"  private SimpleAsyncHttpClient(AsyncHttpClientConfig config, RequestBuilder requestBuilder, ThrowableHandler defaultThrowableHandler,
                                ErrorDocumentBehaviour errorDocumentBehaviour, boolean resumeEnabled, AsyncHttpClient ahc, SimpleAHCTransferListener listener) {
    this.config = config;
    this.requestBuilder = requestBuilder;
    this.defaultThrowableHandler = defaultThrowableHandler;
    this.resumeEnabled = resumeEnabled;
    this.errorDocumentBehaviour = errorDocumentBehaviour;
    this.asyncHttpClient = ahc;
    this.listener = listener;

    this.derived = ahc != null;
  }","  public void test5()  throws Throwable  {
      SimpleAsyncHttpClient.Builder simpleAsyncHttpClient_Builder0 = new SimpleAsyncHttpClient.Builder();
      LinkedList<Param> linkedList0 = new LinkedList<Param>();
      SimpleAsyncHttpClient.DerivedBuilder simpleAsyncHttpClient_DerivedBuilder0 = simpleAsyncHttpClient_Builder0.setFormParams((List<Param>) linkedList0);
      assertSame(simpleAsyncHttpClient_DerivedBuilder0, simpleAsyncHttpClient_Builder0);
}",
"  private SimpleAsyncHttpClient(AsyncHttpClientConfig config, RequestBuilder requestBuilder, ThrowableHandler defaultThrowableHandler,
                                ErrorDocumentBehaviour errorDocumentBehaviour, boolean resumeEnabled, AsyncHttpClient ahc, SimpleAHCTransferListener listener) {
    this.config = config;
    this.requestBuilder = requestBuilder;
    this.defaultThrowableHandler = defaultThrowableHandler;
    this.resumeEnabled = resumeEnabled;
    this.errorDocumentBehaviour = errorDocumentBehaviour;
    this.asyncHttpClient = ahc;
    this.listener = listener;

    this.derived = ahc != null;
  }","  public void test6()  throws Throwable  {
      SimpleAsyncHttpClient.Builder simpleAsyncHttpClient_Builder0 = new SimpleAsyncHttpClient.Builder();
      SimpleAsyncHttpClient.DerivedBuilder simpleAsyncHttpClient_DerivedBuilder0 = simpleAsyncHttpClient_Builder0.setFollowRedirect(false);
      assertSame(simpleAsyncHttpClient_Builder0, simpleAsyncHttpClient_DerivedBuilder0);
}",
"  private SimpleAsyncHttpClient(AsyncHttpClientConfig config, RequestBuilder requestBuilder, ThrowableHandler defaultThrowableHandler,
                                ErrorDocumentBehaviour errorDocumentBehaviour, boolean resumeEnabled, AsyncHttpClient ahc, SimpleAHCTransferListener listener) {
    this.config = config;
    this.requestBuilder = requestBuilder;
    this.defaultThrowableHandler = defaultThrowableHandler;
    this.resumeEnabled = resumeEnabled;
    this.errorDocumentBehaviour = errorDocumentBehaviour;
    this.asyncHttpClient = ahc;
    this.listener = listener;

    this.derived = ahc != null;
  }","  public void test7()  throws Throwable  {
      SimpleAsyncHttpClient.Builder simpleAsyncHttpClient_Builder0 = new SimpleAsyncHttpClient.Builder();
      SimpleAsyncHttpClient.DerivedBuilder simpleAsyncHttpClient_DerivedBuilder0 = simpleAsyncHttpClient_Builder0.addQueryParam(""8"", ""GET"");
      assertSame(simpleAsyncHttpClient_DerivedBuilder0, simpleAsyncHttpClient_Builder0);
}",
"  private SimpleAsyncHttpClient(AsyncHttpClientConfig config, RequestBuilder requestBuilder, ThrowableHandler defaultThrowableHandler,
                                ErrorDocumentBehaviour errorDocumentBehaviour, boolean resumeEnabled, AsyncHttpClient ahc, SimpleAHCTransferListener listener) {
    this.config = config;
    this.requestBuilder = requestBuilder;
    this.defaultThrowableHandler = defaultThrowableHandler;
    this.resumeEnabled = resumeEnabled;
    this.errorDocumentBehaviour = errorDocumentBehaviour;
    this.asyncHttpClient = ahc;
    this.listener = listener;

    this.derived = ahc != null;
  }","  public void test8()  throws Throwable  {
      SimpleAsyncHttpClient.Builder simpleAsyncHttpClient_Builder0 = new SimpleAsyncHttpClient.Builder();
      SimpleAsyncHttpClient.DerivedBuilder simpleAsyncHttpClient_DerivedBuilder0 = simpleAsyncHttpClient_Builder0.addFormParam(""Reauthenticated cached principal '"", ""-H3>As^1EOC=G65T+"");
      assertSame(simpleAsyncHttpClient_Builder0, simpleAsyncHttpClient_DerivedBuilder0);
}",
